day,successful_transaction_count,unique_sending_addresses,unique_receiving_addresses,unique_active_addresses,native_fees_paid,block_count,native_transfer_count
2024-03-01 00:00:00.000 UTC,47658,10144,,,348.23867008611194,14291,20962
2024-03-02 00:00:00.000 UTC,47071,9162,,,441.1320326123201,14300,19269
2024-03-03 00:00:00.000 UTC,48217,9827,,,349.51845196131484,14286,20452
2024-03-04 00:00:00.000 UTC,54228,13790,,,461.49751961749297,14244,28825
2024-03-05 00:00:00.000 UTC,55026,13382,,,472.76407836239,14246,27780
2024-03-06 00:00:00.000 UTC,49741,10482,,,375.31108275070494,14285,22796
2024-03-07 00:00:00.000 UTC,50326,11055,,,447.0422190535015,14246,21494
2024-03-08 00:00:00.000 UTC,47821,10012,,,348.77709799730866,14293,21652
2024-03-09 00:00:00.000 UTC,48066,10453,,,338.8818193323156,14302,20667
2024-03-10 00:00:00.000 UTC,47810,10353,,,330.9288670710159,14318,19221
2024-03-11 00:00:00.000 UTC,51740,12291,,,406.32286868460324,14300,25351
2024-03-12 00:00:00.000 UTC,47201,9758,,,333.15654641870975,14294,19739
2024-03-13 00:00:00.000 UTC,48366,10130,,,355.6213254279147,14308,21566
2024-03-14 00:00:00.000 UTC,50518,10894,,,461.82421844891155,14318,21381
2024-03-15 00:00:00.000 UTC,46785,9027,,,331.38337592311103,14328,21228
2024-03-16 00:00:00.000 UTC,45289,8482,,,299.0537075214878,14320,16922
2024-03-17 00:00:00.000 UTC,44566,8181,,,291.79784883718344,14327,18152
2024-03-18 00:00:00.000 UTC,45926,9001,,,453.13237112200056,14322,20034
2024-03-19 00:00:00.000 UTC,46720,8687,,,313.35131057209855,14331,17952
2024-03-20 00:00:00.000 UTC,45617,8091,,,321.2920100801194,14287,17035
2024-03-21 00:00:00.000 UTC,44417,7975,,,286.94930975808535,14313,18012
2024-03-22 00:00:00.000 UTC,43453,7410,,,271.30820670038946,14306,16882
2024-03-23 00:00:00.000 UTC,42241,7158,,,236.6506292966863,14326,13574
2024-03-24 00:00:00.000 UTC,42142,7407,,,249.97396373919096,14308,15202
2024-03-25 00:00:00.000 UTC,46019,8946,,,302.4950547587859,14298,16950
2024-03-26 00:00:00.000 UTC,47337,9488,,,340.120647725511,14321,22593
2024-03-27 00:00:00.000 UTC,47897,9430,,,335.01622367681927,14321,18711
2024-03-28 00:00:00.000 UTC,47327,9264,,,319.62973815570797,14317,17082
2024-03-29 00:00:00.000 UTC,46717,8637,,,328.4825813345062,14315,16679
2024-03-30 00:00:00.000 UTC,45318,8205,,,301.93578614450433,14342,15562
2024-03-31 00:00:00.000 UTC,44229,8430,,,301.91315871349326,14335,19547
