variant_id,largest_asset,largest_asset_contribution,largest_asset_to_portfolio_net_profit,positive_contribution_concentration,herfindahl_positive_contribution,profitable_asset_count,losing_asset_count,btc_contribution
RD12_BASELINE,BTC/USDT,8316.354983366731,1.131901450671518,0.7951903692496561,0.6742747081954967,2,3,8316.354983366731
RD12_E01_NO_LONG_TERM_TREND,BTC/USDT,8316.354983366731,1.131901450671518,0.7951903692496561,0.6742747081954967,2,3,8316.354983366731
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,ADA/USDT,21226.08192678726,0.7027330794416801,0.6606030993716312,0.5109055624662647,3,2,8407.505031662658
RD12_E03_NO_RSI_ENTRY_FILTER,BTC/USDT,15508.878843112432,1.3429819468881394,0.828838873712643,0.7162700097291992,2,3,15508.878843112432
RD12_E04_NO_VOLUME_CONFIRMATION,BTC/USDT,7082.06229405259,1.3271976600459714,0.6928579776962972,0.574388399122211,2,3,7082.06229405259
RD12_E05_NO_VOLATILITY_SANITY,BTC/USDT,8288.000551747582,1.223645402916295,0.7914683446582863,0.6668954872321777,3,2,8288.000551747582
RD12_X01_NO_TRAILING_STOP,BTC/USDT,8855.085314608823,1.221225540423327,0.8066898451785468,0.6881173222712821,2,3,8855.085314608823
RD12_X02_NO_EMA50_EXIT,BTC/USDT,8258.248406562645,1.239071724831028,0.846685740330078,0.7403820050964287,2,3,8258.248406562645
RD12_X03_NO_RSI_EXIT,BTC/USDT,7638.140620451643,1.4146356859590525,0.7831729760376774,0.6603738687160701,2,3,7638.140620451643
RD12_X04_NO_TIME_STOP,BTC/USDT,7797.18002026537,1.2754585198289643,0.7985130041497264,0.678220027292989,2,2,7797.18002026537
RD12_G01_BREAKOUT_CORE_ONLY,ADA/USDT,19650.32835171348,0.5177712909646429,0.45129564885115786,0.4016597062059376,3,2,18652.857439116346
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,BTC/USDT,10992.185509394552,1.5716441381334583,0.8832845232229883,0.7938140514845469,2,3,10992.185509394552
