order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
ADA_USDT-ORD-000001,ADA_USDT-SIG-000001,2023-02-16T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.3759941428571429,ACCEPTED,
ADA_USDT-ORD-000002,ADA_USDT-SIG-000002,2023-03-22T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.31944242857142857,ACCEPTED,
ADA_USDT-ORD-000003,ADA_USDT-SIG-000003,2023-03-28T00:00:00Z,ADA/USDT,sell,momentum_failure_close_below_ema50,,ACCEPTED,
ADA_USDT-ORD-000004,ADA_USDT-SIG-000004,2023-04-01T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.34891642857142857,ACCEPTED,
ADA_USDT-ORD-000005,ADA_USDT-SIG-000005,2023-04-21T00:00:00Z,ADA/USDT,sell,trailing_stop_close,,ACCEPTED,
ADA_USDT-ORD-000006,ADA_USDT-SIG-000006,2023-05-29T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.360259,ACCEPTED,
ADA_USDT-ORD-000007,ADA_USDT-SIG-000007,2023-06-01T00:00:00Z,ADA/USDT,sell,momentum_failure_close_below_ema50,,ACCEPTED,
ADA_USDT-ORD-000008,ADA_USDT-SIG-000008,2024-02-10T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.49384414285714284,ACCEPTED,
ADA_USDT-ORD-000009,ADA_USDT-SIG-000009,2024-03-11T00:00:00Z,ADA/USDT,sell,time_stop_30_bars,,ACCEPTED,
ADA_USDT-ORD-000010,ADA_USDT-SIG-000010,2024-11-08T00:00:00Z,ADA/USDT,buy,regime_momentum_breakout_entry,0.3639857142857143,ACCEPTED,
ADA_USDT-ORD-000011,ADA_USDT-SIG-000011,2024-12-08T00:00:00Z,ADA/USDT,sell,time_stop_30_bars,,ACCEPTED,
RISK-ORD-000001,,2023-02-25T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
