order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
DOT_USDT-ORD-000001,DOT_USDT-SIG-000001,2023-02-04T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.089785714285714,ACCEPTED,
DOT_USDT-ORD-000002,DOT_USDT-SIG-000002,2023-02-18T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.423914285714286,ACCEPTED,
DOT_USDT-ORD-000003,DOT_USDT-SIG-000003,2023-04-15T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.265085714285714,ACCEPTED,
DOT_USDT-ORD-000004,DOT_USDT-SIG-000004,2023-11-07T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,4.440557142857143,ACCEPTED,
DOT_USDT-ORD-000005,DOT_USDT-SIG-000005,2023-11-27T00:00:00Z,DOT/USDT,sell,rsi_failure_below_45,,ACCEPTED,
DOT_USDT-ORD-000006,DOT_USDT-SIG-000006,2024-02-28T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,7.505871428571428,ACCEPTED,
DOT_USDT-ORD-000007,DOT_USDT-SIG-000007,2024-03-20T00:00:00Z,DOT/USDT,sell,trailing_stop_close,,ACCEPTED,
DOT_USDT-ORD-000008,DOT_USDT-SIG-000008,2024-05-22T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.951371428571428,ACCEPTED,
RISK-ORD-000001,,2023-02-10T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000002,,2023-02-26T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000003,,2023-04-20T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000004,,2024-05-24T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
