order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
DOT_USDT-ORD-000001,DOT_USDT-SIG-000001,2023-02-20T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.528728571428571,ACCEPTED,
DOT_USDT-ORD-000002,DOT_USDT-SIG-000002,2023-04-15T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.265085714285714,ACCEPTED,
DOT_USDT-ORD-000003,DOT_USDT-SIG-000003,2023-12-06T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,5.377671428571429,ACCEPTED,
DOT_USDT-ORD-000004,DOT_USDT-SIG-000004,2024-01-05T00:00:00Z,DOT/USDT,sell,rsi_failure_below_45,,ACCEPTED,
DOT_USDT-ORD-000005,DOT_USDT-SIG-000005,2024-02-15T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,7.0693,ACCEPTED,
DOT_USDT-ORD-000006,DOT_USDT-SIG-000006,2024-03-16T00:00:00Z,DOT/USDT,sell,time_stop_30_bars,,ACCEPTED,
DOT_USDT-ORD-000007,DOT_USDT-SIG-000007,2024-05-22T00:00:00Z,DOT/USDT,buy,regime_momentum_breakout_entry,6.951371428571428,ACCEPTED,
RISK-ORD-000001,,2023-02-25T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000002,,2023-04-20T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000003,,2024-05-24T00:00:00Z,DOT/USDT,sell,stop_loss,,ACCEPTED,
