fill_id,order_id,symbol,side,timestamp,quantity,price,fee,slippage_cost,reason
FILL-000001,ETH_USDT-ORD-000001,ETH/USDT,buy,2023-03-16T00:00:00Z,6.3227808815129904,1700.2196849999998,10.750116518690039,5.372372073308365,regime_momentum_breakout_entry
FILL-000002,ETH_USDT-ORD-000002,ETH/USDT,sell,2023-04-15T00:00:00Z,6.3227808815129904,2010.6841550000001,12.713115333995104,6.359737535765435,time_stop_30_bars
FILL-000003,ETH_USDT-ORD-000003,ETH/USDT,buy,2023-05-30T00:00:00Z,10.230497773291269,1909.39422,19.534053316045217,9.762145585229995,regime_momentum_breakout_entry
FILL-000004,RISK-ORD-000001,ETH/USDT,sell,2023-06-06T00:00:00Z,10.230497773291269,1808.846552857143,18.50540063123059,9.257328980105347,stop_loss
FILL-000005,ETH_USDT-ORD-000004,ETH/USDT,buy,2023-07-15T00:00:00Z,8.235040505198636,2005.452225,16.514980304115728,8.253363470322704,regime_momentum_breakout_entry
FILL-000006,RISK-ORD-000002,ETH/USDT,sell,2023-07-18T00:00:00Z,8.235040505198636,1882.01852,15.498498743733991,7.753125934834412,stop_loss
FILL-000007,ETH_USDT-ORD-000005,ETH/USDT,buy,2023-12-04T00:00:00Z,6.695023374067732,2165.712315,14.499494570431342,7.246124223104119,regime_momentum_breakout_entry
FILL-000008,ETH_USDT-ORD-000006,ETH/USDT,sell,2023-12-21T00:00:00Z,6.695023374067732,2177.01095,14.575139195851397,7.291215205528463,rsi_failure_below_45
FILL-000009,ETH_USDT-ORD-000007,ETH/USDT,buy,2024-01-12T00:00:00Z,3.969531471770865,2585.87229,10.264701437135196,5.129785825654771,regime_momentum_breakout_entry
FILL-000010,RISK-ORD-000003,ETH/USDT,sell,2024-01-23T00:00:00Z,3.969531471770865,2333.111432142857,9.261359257039468,4.632996126583025,stop_loss
FILL-000011,ETH_USDT-ORD-000008,ETH/USDT,buy,2024-04-10T00:00:00Z,2.87532697061436,3696.54735,10.62878229360804,5.311735279164438,regime_momentum_breakout_entry
FILL-000012,RISK-ORD-000004,ETH/USDT,sell,2024-04-13T00:00:00Z,2.87532697061436,3351.0907592857147,9.635481641150768,4.820150896023396,stop_loss
FILL-000013,ETH_USDT-ORD-000009,ETH/USDT,buy,2024-05-22T00:00:00Z,3.181704054655186,3663.5108399999995,11.656207293901225,5.8251910514249,regime_momentum_breakout_entry
FILL-000014,ETH_USDT-ORD-000010,ETH/USDT,sell,2024-06-11T00:00:00Z,3.181704054655186,3704.536805,11.78673977308787,5.896318045566718,rsi_failure_below_45
FILL-000015,ETH_USDT-ORD-000011,ETH/USDT,buy,2024-11-29T00:00:00Z,2.458181458769656,3655.2967349999994,8.98538266027826,4.490446107085588,regime_momentum_breakout_entry
FILL-000016,ETH_USDT-ORD-000012,ETH/USDT,sell,2024-12-20T00:00:00Z,2.458181458769656,3624.90664,8.910678292219014,4.4575679300745445,rsi_failure_below_45
