order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
ETH_USDT-ORD-000001,ETH_USDT-SIG-000001,2023-01-09T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1238.0142857142857,ACCEPTED,
ETH_USDT-ORD-000002,ETH_USDT-SIG-000002,2023-02-08T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000003,ETH_USDT-SIG-000003,2023-03-15T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1542.0614285714285,ACCEPTED,
ETH_USDT-ORD-000004,ETH_USDT-SIG-000004,2023-04-14T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000005,ETH_USDT-SIG-000005,2023-04-15T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1962.3057142857144,ACCEPTED,
ETH_USDT-ORD-000006,ETH_USDT-SIG-000006,2023-05-29T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1809.7514285714287,ACCEPTED,
ETH_USDT-ORD-000007,ETH_USDT-SIG-000007,2023-07-14T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1882.96,ACCEPTED,
ETH_USDT-ORD-000008,ETH_USDT-SIG-000008,2023-10-02T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1646.705714285714,ACCEPTED,
ETH_USDT-ORD-000009,ETH_USDT-SIG-000009,2023-10-24T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,1664.7185714285715,ACCEPTED,
ETH_USDT-ORD-000010,ETH_USDT-SIG-000010,2023-11-23T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000011,ETH_USDT-SIG-000011,2023-12-03T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2016.6100000000004,ACCEPTED,
ETH_USDT-ORD-000012,ETH_USDT-SIG-000012,2023-12-20T00:00:00Z,ETH/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ETH_USDT-ORD-000013,ETH_USDT-SIG-000013,2024-01-11T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2334.2785714285715,ACCEPTED,
ETH_USDT-ORD-000014,ETH_USDT-SIG-000014,2024-02-13T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2506.072857142857,ACCEPTED,
ETH_USDT-ORD-000015,ETH_USDT-SIG-000015,2024-03-14T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
ETH_USDT-ORD-000016,ETH_USDT-SIG-000016,2024-04-09T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,3352.767142857143,ACCEPTED,
ETH_USDT-ORD-000017,ETH_USDT-SIG-000017,2024-05-21T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,3356.02,ACCEPTED,
ETH_USDT-ORD-000018,ETH_USDT-SIG-000018,2024-06-10T00:00:00Z,ETH/USDT,sell,rsi_failure_below_45,,ACCEPTED,
ETH_USDT-ORD-000019,ETH_USDT-SIG-000019,2024-09-22T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2402.69,ACCEPTED,
ETH_USDT-ORD-000020,ETH_USDT-SIG-000020,2024-09-23T00:00:00Z,ETH/USDT,sell,momentum_failure_close_below_ema50,,ACCEPTED,
ETH_USDT-ORD-000021,ETH_USDT-SIG-000021,2024-09-24T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2427.1642857142856,ACCEPTED,
ETH_USDT-ORD-000022,ETH_USDT-SIG-000022,2024-09-26T00:00:00Z,ETH/USDT,sell,momentum_failure_close_below_ema50,,ACCEPTED,
ETH_USDT-ORD-000023,ETH_USDT-SIG-000023,2024-10-21T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2558.9657142857145,ACCEPTED,
ETH_USDT-ORD-000024,ETH_USDT-SIG-000024,2024-11-08T00:00:00Z,ETH/USDT,buy,regime_momentum_breakout_entry,2626.3842857142854,ACCEPTED,
ETH_USDT-ORD-000025,ETH_USDT-SIG-000025,2024-12-08T00:00:00Z,ETH/USDT,sell,time_stop_30_bars,,ACCEPTED,
RISK-ORD-000001,,2023-04-20T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000002,,2023-06-06T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000003,,2023-07-18T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000004,,2023-10-03T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000005,,2024-01-23T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000006,,2024-04-13T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000007,,2024-10-24T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
