signal_id,timestamp,symbol,side,reason,close,ema_50,ema_200,atr_14,rsi_14,previous_high_20,previous_volume_mean_20,atr_fraction,breakout_strength,volume_ratio,stop_loss
BTC_USDT-SIG-000001,2020-01-29T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,9375.0,8138.845702980661,8784.90832024275,338.32142857142856,62.93536971503077,9197.8,1447.165436642,0.03608761904761905,0.01926547652699573,1.299627316358625,8698.357142857143
BTC_USDT-SIG-000002,2020-02-26T00:00:00Z,BTC/USDT,sell,rsi_failure_below_45,9318.4,9235.103406048747,9020.48797855422,436.28571428571456,35.13922219665341,10496.5,1292.7019282420001,0.04681980965463112,-0.11223741247082364,1.2327955084179802,
BTC_USDT-SIG-000003,2020-06-02T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,10201.0,8777.599883806604,8436.380443168333,452.7357142857142,56.29758713136728,9946.3,3146.549061614,0.044381503213970615,0.025607512341272676,1.1874627911993958,9295.528571428571
BTC_USDT-SIG-000004,2020-07-23T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,9516.1,9225.61031898915,8797.01834586197,161.77857142857178,53.90262751159201,9467.9,2027.7581064345,0.01700051191439474,0.0050908860465361805,1.3180571337966602,9192.542857142857
BTC_USDT-SIG-000005,2020-08-22T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,11529.4,10812.83543209948,9463.35618186376,466.7857142857147,48.89420203227735,12450.0,4598.245675264499,0.04048655734779908,-0.07394377510040162,0.8931826850560249,
BTC_USDT-SIG-000006,2020-10-13T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,11530.7,10834.426151527234,10027.271872448466,279.9071428571429,72.2254657396104,11488.7,1600.3530454850002,0.024274947995971005,0.0036557661006031417,1.1823286698820699,10970.885714285714
BTC_USDT-SIG-000007,2020-11-12T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,15688.4,12927.387907820128,10923.4198862688,800.9857142857144,75.14038517532549,15959.6,2778.753883522,0.05105592120839056,-0.016992907090403353,0.6676060239558502,
BTC_USDT-SIG-000008,2020-12-01T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,19693.9,15553.815059565497,12104.667822018142,1264.7571428571428,69.4316656458108,19480.0,2362.6102657655,0.0642207558105374,0.01098049281314184,1.54027468865709,17164.385714285716
BTC_USDT-SIG-000009,2020-12-31T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,28868.1,20610.118805780432,14670.264187004495,1700.2571428571425,83.24221199621972,28418.2,2273.3147947335,0.05889743844787647,0.015831403818679535,1.3624180806306168,
BTC_USDT-SIG-000010,2021-04-14T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,63578.7,54601.25086549171,37176.26009531833,2458.9999999999995,65.78887077875748,61350.0,4011.931675497,0.03867647498297385,0.0363276283618581,1.7214426395096678,58660.7
BTC_USDT-SIG-000011,2021-10-05T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,49223.7,45169.64704291788,42132.268764948625,2706.207142857143,65.14258940206649,49219.4,5788.0999785055,0.054977727047278914,8.736392560648731e-05,1.8222891935970689,43811.28571428571
BTC_USDT-SIG-000012,2021-11-04T00:00:00Z,BTC/USDT,sell,rsi_failure_below_45,62894.0,55835.14302575027,46722.28608750994,3137.2714285714283,42.62421698050626,66985.9,8576.2872270065,0.0498818874387291,-0.061085989738138835,0.8382500183484761,
BTC_USDT-SIG-000013,2021-11-09T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,67509.5,57140.62001259445,47513.60114891683,2902.65,60.521974756958464,66985.9,7686.731262226,0.04299617090927944,0.007816570352865426,1.1563253825978066,61704.2
BTC_USDT-SIG-000014,2023-02-16T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,24327.7,21196.328937900118,21425.027647282026,755.228571428572,55.061259474630674,24264.0,5888.920709271,0.03104397750007489,0.0026252884932409515,1.4298288238902683,22817.242857142857
