fill_id,order_id,symbol,side,timestamp,quantity,price,fee,slippage_cost,reason
FILL-000001,ETH_USDT-ORD-000001,ETH/USDT,buy,2020-02-04T00:00:00Z,61.409067908603724,188.57423999999997,11.580168309973335,5.787190559706814,regime_momentum_breakout_entry
FILL-000002,ETH_USDT-ORD-000002,ETH/USDT,sell,2020-02-28T00:00:00Z,61.409067908603724,223.91798500000002,13.750594746822712,6.878736741782246,rsi_failure_below_45
FILL-000003,ETH_USDT-ORD-000003,ETH/USDT,buy,2020-04-20T00:00:00Z,39.53509569462282,187.503705,7.412976920271327,3.7046361420646314,regime_momentum_breakout_entry
FILL-000004,ETH_USDT-ORD-000004,ETH/USDT,sell,2020-05-12T00:00:00Z,39.53509569462282,187.496205,7.412680407053617,3.708194300677147,rsi_failure_below_45
FILL-000005,ETH_USDT-ORD-000005,ETH/USDT,buy,2020-06-01T00:00:00Z,43.45617915849431,243.78182999999999,10.593826880065603,5.294266306879362,regime_momentum_breakout_entry
FILL-000006,RISK-ORD-000001,ETH/USDT,sell,2020-06-16T00:00:00Z,43.45617915849431,220.16986,9.56774088146061,4.786263572516563,stop_loss
FILL-000007,ETH_USDT-ORD-000006,ETH/USDT,buy,2020-07-24T00:00:00Z,61.677645031996455,263.921895,16.278080955981842,8.134972991495173,regime_momentum_breakout_entry
FILL-000008,ETH_USDT-ORD-000007,ETH/USDT,sell,2020-08-23T00:00:00Z,61.677645031996455,387.76602,23.916494937030038,11.964229583306672,time_stop_30_bars
FILL-000009,ETH_USDT-ORD-000008,ETH/USDT,buy,2020-09-03T00:00:00Z,21.020829230682644,475.71774,9.999981374546286,4.997491941302492,regime_momentum_breakout_entry
FILL-000010,RISK-ORD-000002,ETH/USDT,sell,2020-09-03T00:00:00Z,21.020829230682644,423.80370642857145,8.908705340165362,4.456580960562962,stop_loss
FILL-000011,ETH_USDT-ORD-000009,ETH/USDT,buy,2020-10-24T00:00:00Z,31.194603571733193,414.1069499999999,12.917902141549538,6.455723209170184,regime_momentum_breakout_entry
FILL-000012,RISK-ORD-000003,ETH/USDT,sell,2020-10-31T00:00:00Z,31.194603571733193,379.4330457142857,11.836263443072461,5.9210922676700655,stop_loss
FILL-000013,ETH_USDT-ORD-000010,ETH/USDT,buy,2020-11-08T00:00:00Z,24.318624893164422,456.077925,11.091187980127776,5.542822578774501,regime_momentum_breakout_entry
FILL-000014,ETH_USDT-ORD-000011,ETH/USDT,sell,2020-12-08T00:00:00Z,24.318624893164422,601.4991,14.627630986475998,7.3174742303531755,time_stop_30_bars
FILL-000015,ETH_USDT-ORD-000012,ETH/USDT,buy,2020-12-19T00:00:00Z,15.87774718283926,643.191435,10.21243099509759,5.103663665715937,regime_momentum_breakout_entry
FILL-000016,RISK-ORD-000004,ETH/USDT,sell,2020-12-22T00:00:00Z,15.87774718283926,573.6401792857143,9.108113740617158,4.556335037827493,stop_loss
