fill_id,order_id,symbol,side,timestamp,quantity,price,fee,slippage_cost,reason
FILL-000001,ADA_USDT-ORD-000001,ADA/USDT,buy,2020-05-21T00:00:00Z,147989.35791614148,0.0567993855,8.405704590176398,4.200751919128635,regime_momentum_breakout_entry
FILL-000002,ADA_USDT-ORD-000002,ADA/USDT,sell,2020-06-20T00:00:00Z,147989.35791614148,0.081797081,12.105097496604614,6.055576536570592,rsi_failure_below_45
FILL-000003,ADA_USDT-ORD-000003,ADA/USDT,buy,2020-07-03T00:00:00Z,101725.06619648827,0.096756354,9.842546515580855,4.9188138508649955,regime_momentum_breakout_entry
FILL-000004,ADA_USDT-ORD-000004,ADA/USDT,sell,2020-07-24T00:00:00Z,101725.06619648827,0.12379307250000002,12.592858494729175,6.299579036883029,rsi_failure_below_45
FILL-000005,ADA_USDT-ORD-000005,ADA/USDT,buy,2020-07-27T00:00:00Z,60292.15129379882,0.1436948115,8.663669315091902,4.329669822634633,regime_momentum_breakout_entry
FILL-000006,RISK-ORD-000001,ADA/USDT,sell,2020-08-03T00:00:00Z,60292.15129379882,0.12598326257142858,7.595801927442954,3.799800864153554,stop_loss
FILL-000007,ADA_USDT-ORD-000006,ADA/USDT,buy,2020-09-29T00:00:00Z,76857.2306581232,0.1013956725,7.79299058906802,3.8945480205237484,regime_momentum_breakout_entry
FILL-000008,ADA_USDT-ORD-000007,ADA/USDT,sell,2020-09-30T00:00:00Z,76857.2306581232,0.10021486750000001,7.702237186820755,3.8530451159683614,momentum_failure_close_below_ema50
FILL-000009,ADA_USDT-ORD-000008,ADA/USDT,buy,2020-11-22T00:00:00Z,71054.49295127709,0.1183181295,8.40703469856604,4.201416640962539,regime_momentum_breakout_entry
FILL-000010,ADA_USDT-ORD-000009,ADA/USDT,sell,2020-12-10T00:00:00Z,71054.49295127709,0.140879525,10.010123216091765,5.007565390741253,rsi_failure_below_45
FILL-000011,ADA_USDT-ORD-000010,ADA/USDT,buy,2021-04-15T00:00:00Z,6046.480521063324,1.413550422,8.547005092163841,4.271366862650596,regime_momentum_breakout_entry
FILL-000012,RISK-ORD-000002,ADA/USDT,sell,2021-04-19T00:00:00Z,6046.480521063324,1.2362985414999998,7.475255049398746,3.739497273336041,stop_loss
FILL-000013,ADA_USDT-ORD-000011,ADA/USDT,buy,2024-02-11T00:00:00Z,22350.3376595385,0.541142436,12.094716166505203,6.044335915294954,regime_momentum_breakout_entry
FILL-000014,ADA_USDT-ORD-000012,ADA/USDT,sell,2024-03-12T00:00:00Z,22350.3376595385,0.7162187115,16.007730040104594,8.007868954529561,time_stop_30_bars
