trade_id,symbol,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_fee,exit_fee,gross_pnl,net_pnl,holding_bars,exit_reason
TRADE-000001,BTC/USDT,2020-06-03T00:00:00Z,2020-06-03T00:00:00Z,10206.20055,9290.880807142858,1.0980902273601307,11.20732908243259,10.202225417891375,-1005.1036645412155,-1026.5132190415395,0,stop_loss
TRADE-000002,BTC/USDT,2020-07-24T00:00:00Z,2020-08-23T00:00:00Z,9520.85805,11523.53535,2.598859426881132,24.743371695239613,29.948048475345463,5204.67678010585,5149.985359935265,30,time_stop_30_bars
TRADE-000003,BTC/USDT,2020-10-14T00:00:00Z,2020-11-13T00:00:00Z,11536.3653,15678.65675,1.841330346335495,21.242259513301786,28.86958646355285,7627.326950251061,7577.215104274206,30,time_stop_30_bars
TRADE-000004,BTC/USDT,2020-12-02T00:00:00Z,2021-01-01T00:00:00Z,19703.6469,28853.765900000002,0.43989443808927037,8.667524681384894,12.692611137339851,4025.0864559549577,4003.726320136233,30,time_stop_30_bars
TRADE-000005,BTC/USDT,2021-04-15T00:00:00Z,2021-04-19T00:00:00Z,63610.489349999996,58631.36965,0.2337562376574757,14.869348666006925,13.705448378088708,-1163.900287918218,-1192.4750849623138,4,stop_loss
TRADE-000006,BTC/USDT,2021-10-06T00:00:00Z,2021-11-05T00:00:00Z,49248.31184999999,62862.453050000004,0.21061502303280363,10.372434334614445,13.239776997024288,2867.342662409844,2843.730451078205,30,rsi_failure_below_45
TRADE-000007,BTC/USDT,2021-11-10T00:00:00Z,2021-11-17T00:00:00Z,67543.15469999998,61673.3479,0.20098746258713107,13.575327278283053,12.39556970367437,-1179.7575746086843,-1205.728471590642,7,stop_loss
TRADE-000008,BTC/USDT,2023-03-16T00:00:00Z,2023-04-15T00:00:00Z,24688.838249999997,30357.4137,0.5067349858454308,12.510698101153878,15.383163601573386,2872.4655004195083,2844.571638716781,30,time_stop_30_bars
TRADE-000009,BTC/USDT,2023-06-22T00:00:00Z,2023-07-19T00:00:00Z,28319.45265,30126.1294,0.6600764395763807,18.6930034759639,19.885548232569327,1192.5447566054286,1153.9662048968953,27,rsi_failure_below_45
TRADE-000010,BTC/USDT,2023-12-03T00:00:00Z,2023-12-21T00:00:00Z,38700.140400000004,42247.66560000001,0.5512343493958217,21.332846714920958,23.28836446050824,1955.5177455872843,1910.8965344118549,18,rsi_failure_below_45
TRADE-000011,BTC/USDT,2024-01-04T00:00:00Z,2024-01-04T00:00:00Z,44967.6726,42092.11484285714,0.4276031695470237,19.22831933091285,17.99872171974304,-1229.597611169817,-1266.824652220473,0,stop_loss
TRADE-000012,BTC/USDT,2024-01-10T00:00:00Z,2024-01-13T00:00:00Z,46972.67459999999,43029.51733571428,0.3080160456311227,14.468337483009476,13.253781775162556,-1214.5557078469215,-1242.2778271050934,3,stop_loss
TRADE-000013,BTC/USDT,2024-02-28T00:00:00Z,2024-03-24T00:00:00Z,54499.43609999999,63762.00305000001,0.3624029398641998,19.750755863581098,23.10753735695008,3356.78149336898,3313.923200148449,25,rsi_failure_below_45
TRADE-000014,BTC/USDT,2024-05-17T00:00:00Z,2024-06-05T00:00:00Z,66243.9054,68774.3956,0.23587722933785782,15.62542886627116,16.22231388351376,596.8850172426017,565.0372744928169,19,rsi_failure_below_45
TRADE-000015,BTC/USDT,2024-07-17T00:00:00Z,2024-08-04T00:00:00Z,64752.05984999999,61463.053100000005,0.2235908426868937,14.477967627573673,13.742575836738295,-735.3917908353783,-763.6123342996902,18,momentum_failure_close_below_ema50
TRADE-000016,BTC/USDT,2024-08-25T00:00:00Z,2024-08-28T00:00:00Z,64073.0205,58626.11513571429,0.22642152745258873,14.507511170111032,13.274214537639761,-1233.2966324712697,-1261.0783581790206,3,stop_loss
TRADE-000017,BTC/USDT,2024-09-20T00:00:00Z,2024-10-03T00:00:00Z,61785.77745,60784.1927,0.25854846473854437,15.974617902374876,15.715659702956836,-258.95819941803927,-290.64847702337096,13,momentum_failure_close_below_ema50
TRADE-000018,BTC/USDT,2024-10-30T00:00:00Z,2024-11-29T00:00:00Z,69996.48075,95806.37285000001,0.31564777263549926,22.0942332410611,30.241068194388674,8146.834953327572,8094.4996518921225,30,time_stop_30_bars
TRADE-000019,BTC/USDT,2024-12-18T00:00:00Z,2024-12-20T00:00:00Z,106113.33015,96759.16764285715,0.13884777929824235,14.733600245268725,13.434795553957063,-1298.8046913116627,-1326.9730871108884,2,stop_loss
