variant_id,seed,resamples,trade_expectancy_ci_low,trade_expectancy_ci_high,daily_return_difference_ci_low,daily_return_difference_ci_high
RD12_BASELINE,20260730,2000,586.7558699873936,2693.195790829092,0.0,0.0
RD12_E01_NO_LONG_TERM_TREND,20260730,2000,586.7558699873936,2693.195790829092,0.0,0.0
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,20260730,2000,602.93471178561,3701.445768850734,-6.43352720331633e-06,0.00016790712052354036
RD12_E03_NO_RSI_ENTRY_FILTER,20260730,2000,675.9798709442401,2918.780218954437,-1.3980084023944061e-05,0.00018054269165733894
RD12_E04_NO_VOLUME_CONFIRMATION,20260730,2000,646.4143900252236,2763.8368760275694,-3.127824427249882e-05,0.00012035779896164652
RD12_E05_NO_VOLATILITY_SANITY,20260730,2000,797.4072330072137,2991.65297859836,-1.3873187125405273e-05,0.0001140897660147985
RD12_X01_NO_TRAILING_STOP,20260730,2000,610.4721017667059,2723.456647834953,-1.4793104789432228e-05,2.868502752252344e-05
RD12_X02_NO_EMA50_EXIT,20260730,2000,585.0657076731011,2692.064708298576,-4.481635907620473e-07,2.644534714719309e-07
RD12_X03_NO_RSI_EXIT,20260730,2000,377.0594074192651,2538.5453913446254,-9.708590374995968e-05,4.869327537242818e-05
RD12_X04_NO_TIME_STOP,20260730,2000,460.8720582468323,4981.197322749372,-8.162976921763969e-05,0.0002335132143360154
RD12_G01_BREAKOUT_CORE_ONLY,20260730,2000,348.66685075479,2210.498096813967,-1.730628924155594e-05,0.0003300160288861265
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,20260730,2000,481.3402954420679,2652.825921647716,-8.815533467622698e-05,7.122967253966605e-05
