variant_id,largest_asset,largest_asset_to_net_profit,pnl_contribution_by_asset
RD12_BASELINE,BTC/USDT,0.5763449750758879,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 34533.78991107198, ""ETH/USDT"": 15050.551052645196}"
RD12_E01_NO_LONG_TERM_TREND,BTC/USDT,0.5763449750758879,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 34533.78991107198, ""ETH/USDT"": 15050.551052645196}"
RD12_E02_NO_MEDIUM_TERM_ALIGNMENT,ADA/USDT,0.4335355993042361,"{""ADA/USDT"": 35708.11577051407, ""BTC/USDT"": 32009.065866565124, ""ETH/USDT"": 14647.71718050482}"
RD12_E03_NO_RSI_ENTRY_FILTER,BTC/USDT,0.5769081460221809,"{""ADA/USDT"": 23234.53894727882, ""BTC/USDT"": 47987.50168723655, ""ETH/USDT"": 11958.448353399743}"
RD12_E04_NO_VOLUME_CONFIRMATION,BTC/USDT,0.6004235402394213,"{""ADA/USDT"": 12523.712670684301, ""BTC/USDT"": 43663.60848078981, ""ETH/USDT"": 16534.025622136272}"
RD12_E05_NO_VOLATILITY_SANITY,BTC/USDT,0.4825367550284049,"{""ADA/USDT"": 22992.14624283432, ""BTC/USDT"": 35988.50068746895, ""ETH/USDT"": 15601.237894927184}"
RD12_X01_NO_TRAILING_STOP,BTC/USDT,0.5825066762202477,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 35406.81293336397, ""ETH/USDT"": 15042.449367271749}"
RD12_X02_NO_EMA50_EXIT,BTC/USDT,0.5761853849261895,"{""ADA/USDT"": 10334.269251501402, ""BTC/USDT"": 34511.539582349935, ""ETH/USDT"": 15050.780849295508}"
RD12_X03_NO_RSI_EXIT,BTC/USDT,0.4824883719684596,"{""ADA/USDT"": 11719.362328025845, ""BTC/USDT"": 25947.584036406628, ""ETH/USDT"": 16111.725918477643}"
RD12_X04_NO_TIME_STOP,BTC/USDT,0.775820371489183,"{""ADA/USDT"": 8743.98382373586, ""BTC/USDT"": 61946.219467665134, ""ETH/USDT"": 9155.88189035272}"
RD12_G01_BREAKOUT_CORE_ONLY,BTC/USDT,0.5119850394187038,"{""ADA/USDT"": 32338.347539824066, ""BTC/USDT"": 55699.85120028147, ""ETH/USDT"": 20753.75202377187}"
RD12_G02_INITIAL_STOP_AND_TIME_EXIT_ONLY,BTC/USDT,0.531621107506314,"{""ADA/USDT"": 11730.79812864382, ""BTC/USDT"": 31056.990272757223, ""ETH/USDT"": 15631.619395322585}"
