symbol,provider,source_kind,path,frequency,first_timestamp,last_timestamp,row_count,duplicate_count,missing_daily_interval_count,maximum_gap_days,missing_value_count,continuous,timezone,contains_2025,contains_2026,eligible_for_long_history,exclusion_reason
BTC/USDT,kucoin,RD11_REGISTERED_LOCAL,data/research/multi_asset_daily/kucoin/BTC_USDT.parquet,1d,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,0,0,1,0,True,UTC,False,False,False,SUPERSEDED_SHORT_RD12_SOURCE
BTC/USDT,kucoin,RD13_SINGLE_ACQUISITION_BATCH,data/research/rd13/acquired/kucoin/BTC_USDT.parquet,1d,2017-10-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2623,0,7,3,0,False,UTC,False,False,True,
ETH/USDT,kucoin,RD11_REGISTERED_LOCAL,data/research/multi_asset_daily/kucoin/ETH_USDT.parquet,1d,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,0,0,1,0,True,UTC,False,False,False,SUPERSEDED_SHORT_RD12_SOURCE
ETH/USDT,kucoin,RD13_SINGLE_ACQUISITION_BATCH,data/research/rd13/acquired/kucoin/ETH_USDT.parquet,1d,2017-10-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,2614,0,16,7,0,False,UTC,False,False,True,
ADA/USDT,kucoin,RD11_REGISTERED_LOCAL,data/research/multi_asset_daily/kucoin/ADA_USDT.parquet,1d,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,0,0,1,0,True,UTC,False,False,False,SUPERSEDED_SHORT_RD12_SOURCE
ADA/USDT,kucoin,RD13_SINGLE_ACQUISITION_BATCH,data/research/rd13/acquired/kucoin/ADA_USDT.parquet,1d,2019-07-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2007,0,0,1,0,True,UTC,False,False,True,
AVAX/USDT,kucoin,RD11_REGISTERED_LOCAL,data/research/multi_asset_daily/kucoin/AVAX_USDT.parquet,1d,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,0,0,1,0,True,UTC,False,False,False,SUPERSEDED_SHORT_RD12_SOURCE
AVAX/USDT,kucoin,RD13_SINGLE_ACQUISITION_BATCH,data/research/rd13/acquired/kucoin/AVAX_USDT.parquet,1d,2021-03-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,1397,0,0,1,0,True,UTC,False,False,True,
DOT/USDT,kucoin,RD11_REGISTERED_LOCAL,data/research/multi_asset_daily/kucoin/DOT_USDT.parquet,1d,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,929,0,0,1,0,True,UTC,False,False,False,SUPERSEDED_SHORT_RD12_SOURCE
DOT/USDT,kucoin,RD13_SINGLE_ACQUISITION_BATCH,data/research/rd13/acquired/kucoin/DOT_USDT.parquet,1d,2020-08-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1593,0,0,1,0,True,UTC,False,False,True,
