order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
RD14-RD14_LONG_HISTORY_COHORT-0000001,RD14-SIG-00000164,2019-10-27T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,8291.4,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000002,RD14-EXIT-00000020,2019-11-16T00:00:00Z,BTC/USDT,sell,HEALTH_SCORE_CONFIRMED_DETERIORATION,,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000003,RD14-SIG-00000361,2020-01-07T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,132.88714285714286,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000004,RD14-SIG-00000363,2020-01-08T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,7662.5,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000005,RD14-EXIT-00000126,2020-03-01T00:00:00Z,BTC/USDT,sell,HEALTH_SCORE_CONFIRMED_DETERIORATION,,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000006,RD14-SIG-00000608,2020-05-08T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,9019.842857142858,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000007,RD14-SIG-00000641,2020-05-20T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,0.050042142857142854,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000008,RD14-SIG-00000665,2020-05-31T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,220.28,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000009,RD14-SIG-00000756,2020-07-23T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,247.53285714285713,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000010,RD14-EXIT-00001196,2021-11-24T00:00:00Z,ADA/USDT,sell,HEALTH_SCORE_CONFIRMED_DETERIORATION,,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000011,RD14-SIG-00001354,2022-01-18T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,1.3803545714285714,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000012,RD14-EXIT-00001258,2022-01-23T00:00:00Z,ETH/USDT,sell,HEALTH_SCORE_CONFIRMED_DETERIORATION,,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000013,RD14-SIG-00002415,2023-01-09T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,0.276332,ACCEPTED,
RD14-RD14_LONG_HISTORY_COHORT-0000014,RD14-EXIT-00001314,2023-03-06T00:00:00Z,ADA/USDT,sell,HEALTH_SCORE_CONFIRMED_DETERIORATION,,ACCEPTED,
