order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
RD15-RD15_LONG_HISTORY_COHORT-0000001,RD15-SIG-00000380,2020-01-07T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,7301.000000000001,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000002,RD15-SIG-00000381,2020-01-07T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,132.88714285714286,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000003,RD15-EXIT-00000101,2020-02-27T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000004,RD15-EXIT-00000102,2020-02-27T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000005,RD15-SIG-00000550,2020-04-07T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.03209928571428571,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000006,RD15-SIG-00000673,2020-05-20T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.050042142857142854,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000007,RD15-SIG-00000693,2020-05-29T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,198.71714285714285,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000008,RD15-EXIT-00000294,2020-08-26T00:00:00Z,ADA/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000009,RD15-EXIT-00000304,2020-09-04T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000010,RD15-SIG-00000870,2020-09-28T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.087692,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000011,RD15-SIG-00000897,2020-10-11T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,10759.571428571428,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000012,RD15-EXIT-00000356,2020-10-31T00:00:00Z,ADA/USDT,sell,COMBINED_HEALTH_FAILURE,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000013,RD15-SIG-00000931,2020-11-07T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.09684699999999999,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_LONG_HISTORY_COHORT-0000014,RD15-SIG-00000932,2020-11-07T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,412.29857142857145,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000015,RD15-EXIT-00000404,2020-11-27T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000016,RD15-SIG-00000992,2020-12-17T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,570.1685714285715,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000017,RD15-SIG-00001013,2020-12-30T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.15468485714285715,ACCEPTED,
