order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000001,RD15-SIG-00000143,2022-09-13T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,20719.385714285712,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000002,RD15-SIG-00000360,2022-10-26T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1338.9085714285713,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000003,RD15-SIG-00000363,2022-10-27T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,19522.97142857143,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000004,RD15-SIG-00000696,2023-01-07T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.2607327142857143,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000005,RD15-SIG-00000707,2023-01-09T00:00:00Z,DOT/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,4.551885714285714,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000006,RD15-EXIT-00000091,2023-02-10T00:00:00Z,DOT/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000007,RD15-EXIT-00000092,2023-02-11T00:00:00Z,ADA/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000008,RD15-SIG-00000829,2023-02-16T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.3759941428571429,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000009,RD15-SIG-00000831,2023-02-16T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,22817.242857142857,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000010,RD15-SIG-00000833,2023-02-16T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1530.24,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000011,RD15-SIG-00000939,2023-03-13T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,20259.600000000002,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000012,RD15-SIG-00000941,2023-03-13T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1443.0257142857145,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000013,RD15-EXIT-00000189,2023-04-22T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000014,RD15-EXIT-00000222,2023-05-25T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000015,RD15-SIG-00001209,2023-05-29T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.360259,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000016,RD15-SIG-00001211,2023-05-29T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,26573.428571428572,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000017,RD15-SIG-00001213,2023-05-29T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1809.7514285714287,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000018,RD15-SIG-00001242,2023-06-07T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,25387.97142857143,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000019,RD15-SIG-00001309,2023-06-21T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,26516.714285714286,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000020,RD15-SIG-00001351,2023-07-01T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1796.0585714285717,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000021,RD15-EXIT-00000296,2023-07-25T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000022,RD15-EXIT-00000304,2023-08-01T00:00:00Z,ETH/USDT,sell,THESIS_HEALTH_CONFIRMED_DETERIORATION,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000023,RD15-SIG-00001454,2023-08-02T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,28604.34285714286,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000024,RD15-SIG-00001742,2023-10-02T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.2519737142857143,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000025,RD15-SIG-00001744,2023-10-02T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,26760.72857142857,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000026,RD15-SIG-00001745,2023-10-02T00:00:00Z,DOT/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,4.044771428571429,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000027,RD15-SIG-00001746,2023-10-02T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1646.705714285714,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000028,RD15-SIG-00001756,2023-10-05T00:00:00Z,AVAX/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,9.299714285714286,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000029,RD15-SIG-00001839,2023-10-24T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.2648851428571429,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000030,RD15-SIG-00001841,2023-10-24T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,30746.385714285716,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000031,RD15-SIG-00001842,2023-10-24T00:00:00Z,DOT/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,4.0523,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000032,RD15-SIG-00001843,2023-10-24T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1664.7185714285715,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000033,RD15-EXIT-00000481,2024-01-07T00:00:00Z,ADA/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000034,RD15-SIG-00002084,2024-01-11T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,2334.2785714285715,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000035,RD15-EXIT-00000509,2024-01-23T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000036,RD15-SIG-00002199,2024-02-08T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,41943.47142857142,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000037,RD15-SIG-00002207,2024-02-10T00:00:00Z,AVAX/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,33.76957142857143,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000038,RD15-SIG-00002307,2024-03-12T00:00:00Z,AVAX/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,40.43828571428571,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000039,RD15-SIG-00002308,2024-03-12T00:00:00Z,DOT/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,9.013428571428571,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000040,RD15-SIG-00002309,2024-03-12T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,3607.9014285714284,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000041,RD15-EXIT-00000582,2024-03-20T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000042,RD15-SIG-00002413,2024-04-09T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,3352.767142857143,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000043,RD15-SIG-00002590,2024-05-16T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,61035.08571428571,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000044,RD15-SIG-00002609,2024-05-21T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.4583285714285714,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000045,RD15-SIG-00002610,2024-05-21T00:00:00Z,AVAX/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,35.62571428571429,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000046,RD15-SIG-00002611,2024-05-21T00:00:00Z,DOT/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,6.906442857142857,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000047,RD15-SIG-00002612,2024-05-21T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,3356.02,ACCEPTED,
RD15-RD15_REFERENCE_TRANSFER_COHORT-0000048,RD15-EXIT-00000671,2024-06-20T00:00:00Z,BTC/USDT,sell,THESIS_HEALTH_CONFIRMED_DETERIORATION,,ACCEPTED,
