symbol,context_timeframe,aligned_rows,future_context_violations,stale_context_violations,maximum_context_age_hours,first_aligned_signal_close,last_aligned_signal_close
BTC/USDT,4h,52297,0,0,3.0,2019-01-14T00:00:00+00:00,2025-01-01T00:00:00+00:00
BTC/USDT,1d,52297,0,0,23.0,2019-01-14T00:00:00+00:00,2025-01-01T00:00:00+00:00
BTC/USDT,1w,52297,0,0,167.0,2019-01-14T00:00:00+00:00,2025-01-01T00:00:00+00:00
ETH/USDT,4h,52297,0,0,3.0,2019-01-14T00:00:00+00:00,2025-01-01T00:00:00+00:00
ETH/USDT,1d,52297,0,0,23.0,2019-01-14T00:00:00+00:00,2025-01-01T00:00:00+00:00
ETH/USDT,1w,52297,0,0,167.0,2019-01-14T00:00:00+00:00,2025-01-01T00:00:00+00:00
SOL/USDT,4h,28609,0,0,3.0,2021-09-27T00:00:00+00:00,2025-01-01T00:00:00+00:00
SOL/USDT,1d,28609,0,0,23.0,2021-09-27T00:00:00+00:00,2025-01-01T00:00:00+00:00
SOL/USDT,1w,28609,0,0,167.0,2021-09-27T00:00:00+00:00,2025-01-01T00:00:00+00:00
LINK/USDT,4h,37177,0,0,3.0,2020-10-05T00:00:00+00:00,2025-01-01T00:00:00+00:00
LINK/USDT,1d,37177,0,0,23.0,2020-10-05T00:00:00+00:00,2025-01-01T00:00:00+00:00
LINK/USDT,1w,37177,0,0,167.0,2020-10-05T00:00:00+00:00,2025-01-01T00:00:00+00:00
AVAX/USDT,4h,32977,0,0,3.0,2021-03-29T00:00:00+00:00,2025-01-01T00:00:00+00:00
AVAX/USDT,1d,32977,0,0,23.0,2021-03-29T00:00:00+00:00,2025-01-01T00:00:00+00:00
AVAX/USDT,1w,32977,0,0,167.0,2021-03-29T00:00:00+00:00,2025-01-01T00:00:00+00:00
NEAR/USDT,4h,28609,0,0,3.0,2021-09-27T00:00:00+00:00,2025-01-01T00:00:00+00:00
NEAR/USDT,1d,28609,0,0,23.0,2021-09-27T00:00:00+00:00,2025-01-01T00:00:00+00:00
NEAR/USDT,1w,28609,0,0,167.0,2021-09-27T00:00:00+00:00,2025-01-01T00:00:00+00:00
