architecture_id,peak_time,trough_time,recovery_time,drawdown,hours_to_trough,hours_to_recovery,recovered
COMPOSITE_ALPHA_V1,2024-03-12T20:00:00+00:00,2024-12-31T18:00:00+00:00,,0.099340842472462,7054,,False
COMPOSITE_ALPHA_V1,2021-08-14T00:00:00+00:00,2023-04-10T14:00:00+00:00,2023-10-22T05:00:00+00:00,0.07040491401945526,14510,4671,True
COMPOSITE_ALPHA_V1,2019-08-06T10:00:00+00:00,2020-02-05T08:00:00+00:00,2020-02-07T02:00:00+00:00,0.06650984877672228,4390,42,True
COMPOSITE_ALPHA_V1,2020-08-14T19:00:00+00:00,2020-12-16T13:00:00+00:00,2020-12-17T03:00:00+00:00,0.052969863961402686,2970,14,True
COMPOSITE_ALPHA_V1,2020-04-30T06:00:00+00:00,2020-05-27T08:00:00+00:00,2020-05-30T05:00:00+00:00,0.0434579780205302,650,69,True
COMPOSITE_ALPHA_V1,2023-10-23T05:00:00+00:00,2023-11-28T10:00:00+00:00,2023-12-02T20:00:00+00:00,0.040120843357139835,869,106,True
COMPOSITE_ALPHA_V1,2023-12-19T02:00:00+00:00,2024-01-20T01:00:00+00:00,2024-02-11T11:00:00+00:00,0.03978308748911663,767,538,True
COMPOSITE_ALPHA_V1,2020-06-02T00:00:00+00:00,2020-07-22T22:00:00+00:00,2020-07-24T19:00:00+00:00,0.03706118295394345,1222,45,True
COMPOSITE_ALPHA_V1,2020-02-12T14:00:00+00:00,2020-02-23T04:00:00+00:00,2020-04-23T15:00:00+00:00,0.036218598585774364,254,1451,True
COMPOSITE_ALPHA_V1,2020-12-17T17:00:00+00:00,2020-12-18T01:00:00+00:00,2020-12-26T16:00:00+00:00,0.025817365199237607,8,207,True
