variant_id,decision,carry_forward,strategic_objective_met,capital_feasible,profit_factor_gte_1_20,maximum_drawdown_lte_30pct,two_x_cost_positive,two_x_cost_profit_factor_gte_1,positive_active_year_fraction_gte_50pct,top_3_trade_profit_share_lte_35pct,top_engine_profit_share_lte_80pct,both_engines_positive,trade_count_gte_100,net_return_gain_gte_10pct_points,capture_gain_gte_2pct_points,bull_capture_not_regressed,monthly_target_24pct_met,high_opportunity_bull_adequacy
BASELINE,REFERENCE_BASELINE,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False
TREND_STRONG_BULL_STRUCTURE_BREADTH,PROMISING_BUT_FRAGILE,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False
TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,PROMISING_BUT_FRAGILE,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False
COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,REJECT_EXPANSION,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
DUAL_STRONG_BULL_STRUCTURE_BREADTH,REJECT_EXPANSION,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
TREND_COOLDOWN_12H,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False
CONSENSUS_RISK_075,PROMISING_BUT_FRAGILE,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
STRONG_BULL_RISK_075,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False
STRONG_BULL_RISK_100,PROMISING_BUT_FRAGILE,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False
EVIDENCE_COMPOSITE_EXPANSION,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
