variant_id,decision,carry_forward,rationale,net_return,monthly_geometric_return,profit_factor,maximum_drawdown,two_x_net_return,two_x_profit_factor,mean_high_opportunity_capture,delta_net_return_vs_baseline,delta_high_opportunity_capture_vs_baseline,trade_count
BASELINE,REFERENCE_BASELINE,False,Frozen RD16-G comparison baseline.,0.49114198144670174,0.005563456550970125,1.338906211649608,0.099340842472462,0.1622022442330282,1.0978834295292306,0.03498456181916195,0.0,0.0,554
TREND_STRONG_BULL_STRUCTURE_BREADTH,PROMISING_BUT_FRAGILE,False,Improves at least two fixed dimensions but fails one or more retention gates.,0.5544320673813647,0.006144047897558735,1.3810003355678937,0.10249551634425258,0.2218304815720935,1.1331712312985622,0.036940466391496535,0.06329008593466301,0.001955904572334584,560
TREND_STRONG_BULL_DIAGNOSTIC_BREADTH,PROMISING_BUT_FRAGILE,False,Improves at least two fixed dimensions but fails one or more retention gates.,0.5722395489637722,0.006303205034414061,1.3132681857888187,0.08258605779870243,0.16835936886159542,1.080805222937684,0.04220812678472685,0.08109756751707042,0.007223564965564901,683
COMPRESSION_STRONG_BULL_STRUCTURE_BREADTH,REJECT_EXPANSION,False,Does not provide sufficient robust and material expansion evidence.,0.43912691743039756,0.005067805092011657,1.2706811964702474,0.1390563771308987,0.06636767760177276,1.035517686017058,0.030426366238404657,-0.05201506401630418,-0.004558195580757294,621
DUAL_STRONG_BULL_STRUCTURE_BREADTH,REJECT_EXPANSION,False,Does not provide sufficient robust and material expansion evidence.,0.5024170033650623,0.005668645594142152,1.3085518335073567,0.14044773348302086,0.12599591494083717,1.067117679149413,0.032771554490305936,0.011275021918360606,-0.002213007328856015,627
TREND_COOLDOWN_12H,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,Passes all robust expansion gates and materially improves return or high-opportunity bull capture.,0.6226862404776115,0.006744611588664684,1.405460492249722,0.09042490529773628,0.27378567924555064,1.1561361223358,0.041768783168266405,0.13154425903090972,0.006784221349104454,590
CONSENSUS_RISK_075,PROMISING_BUT_FRAGILE,False,Improves at least two fixed dimensions but fails one or more retention gates.,0.5043066603846942,0.005686198737777204,1.3401341030848861,0.0994392273697241,0.16397757216950803,1.0966144229897858,0.03440445695210385,0.013164678937992447,-0.0005801048670581038,554
STRONG_BULL_RISK_075,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,Passes all robust expansion gates and materially improves return or high-opportunity bull capture.,0.6958597909132738,0.007361399249653955,1.3306554335535514,0.12583577168468463,0.21827988145377608,1.0906784367386215,0.04906487871925844,0.20471780946657203,0.014080316900096486,554
STRONG_BULL_RISK_100,PROMISING_BUT_FRAGILE,False,Improves at least two fixed dimensions but fails one or more retention gates.,0.9005776003798145,0.008956868802751927,1.3263228319452625,0.1455563262663827,0.2743575186744873,1.0868968972862576,0.06159572708316178,0.40943561893311275,0.026611165263999828,554
EVIDENCE_COMPOSITE_EXPANSION,RETAIN_FOR_COMPOSITE_V2_REGISTRATION,True,Passes all robust expansion gates and materially improves return or high-opportunity bull capture.,0.916365563453498,0.009072777790036568,1.409847927442455,0.1130412238926507,0.4033942942691071,1.157795651363098,0.057199754959560284,0.4252235820067962,0.022215193140398333,596
