architecture_id,variant_id,window_id,start,end,days,architecture_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
COMPOSITE_ALPHA_V2,BASELINE_V2,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,BASELINE_V2,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.4104625162009674,8.977084241529303,0.04572336687029268,True,False
COMPOSITE_ALPHA_V2,BASELINE_V2,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.04494917824719458,0.33154791649728477,-0.13557370144886038,False,
COMPOSITE_ALPHA_V2,BASELINE_V2,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.013534573534331074,0.37052437252117865,0.036528159921672784,False,
COMPOSITE_ALPHA_V2,BASELINE_V2,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.010012371939380316,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,BASELINE_V2,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.1831793227343932,2.667291938689029,0.06867614304882788,True,False
COMPOSITE_ALPHA_V2,BASELINE_V2,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.06764516384684038,0.37373514866458524,-0.18099759706451815,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.007016507166893726,0.6437975137033425,-0.010898624206440917,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.23330245136845296,8.977084241529303,0.02598866682003069,True,False
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.031751864500164095,0.33154791649728477,-0.09576855386580035,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.0015169594594515168,0.37052437252117865,-0.0040940881948725505,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.010355123089293983,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.1302484890460216,2.667291938689029,0.048831733473478946,True,False
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_25,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.0515286697735845,0.37373514866458524,-0.13787482916098362,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.005613205733515203,0.6437975137033425,-0.008718899365153078,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.18986129171356625,8.977084241529303,0.021149549965816316,True,False
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.027250191328241358,0.33154791649728477,-0.08219080854475683,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.0030666844479829702,0.37052437252117865,-0.008276606548487395,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.009001535543484596,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.10712164923508749,2.667291938689029,0.040161201584757035,True,False
COMPOSITE_ALPHA_V2,PER_TRADE_NOTIONAL_20,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.042042867850439425,0.37373514866458524,-0.11249374858282728,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.40292222109781517,8.977084241529303,0.04488341762839187,True,False
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03635472962447861,0.33154791649728477,-0.10965150982867461,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.015556443889231275,0.37052437252117865,0.04198494091867625,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.005952734325227027,-0.15141585105211164,,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.018469836329165545,2.667291938689029,0.006924564972158035,True,False
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_90,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.06755092205818103,0.37373514866458524,-0.18074543510170546,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.38831391610494204,8.977084241529303,0.043256129234985355,True,False
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03289272167599033,0.33154791649728477,-0.09920955626412362,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.013484454365154885,0.37052437252117865,0.03639289440908272,False,
COMPOSITE_ALPHA_V2,PORTFOLIO_NOTIONAL_80,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.003796010612976186,-0.15141585105211164,,False,
