peak_time,trough_time,recovery_time,drawdown,hours_to_trough,hours_to_recovery,recovered,architecture_id
2024-03-12T20:00:00+00:00,2024-12-31T18:00:00+00:00,,0.11030602524673228,7054,,False,COMPOSITE_ALPHA_V3
2020-08-02T04:00:00+00:00,2020-12-16T13:00:00+00:00,2020-12-17T13:00:00+00:00,0.10267277104489891,3273,24,True,COMPOSITE_ALPHA_V3
2019-08-06T10:00:00+00:00,2020-02-05T08:00:00+00:00,2020-02-11T17:00:00+00:00,0.08999251858364476,4390,153,True,COMPOSITE_ALPHA_V3
2021-04-28T02:00:00+00:00,2023-04-10T14:00:00+00:00,2023-10-21T16:00:00+00:00,0.08620866012045492,17100,4658,True,COMPOSITE_ALPHA_V3
2020-05-30T23:00:00+00:00,2020-07-22T22:00:00+00:00,2020-07-25T18:00:00+00:00,0.0734452419160293,1271,68,True,COMPOSITE_ALPHA_V3
2021-01-04T07:00:00+00:00,2021-01-04T11:00:00+00:00,2021-01-10T08:00:00+00:00,0.06911310362425738,4,141,True,COMPOSITE_ALPHA_V3
2020-04-30T06:00:00+00:00,2020-05-27T08:00:00+00:00,2020-05-30T05:00:00+00:00,0.06549556054596661,650,69,True,COMPOSITE_ALPHA_V3
2023-12-19T02:00:00+00:00,2024-02-07T17:00:00+00:00,2024-02-14T10:00:00+00:00,0.056244885925037624,1215,161,True,COMPOSITE_ALPHA_V3
2020-02-12T14:00:00+00:00,2020-02-23T04:00:00+00:00,2020-04-26T14:00:00+00:00,0.052550467134740875,254,1522,True,COMPOSITE_ALPHA_V3
2023-11-01T18:00:00+00:00,2023-11-28T10:00:00+00:00,2023-12-04T01:00:00+00:00,0.04959509224816838,640,135,True,COMPOSITE_ALPHA_V3
