hypothesis_id,symbol,candidate_count,evaluated_count,standalone_trade_count,overlay_new_trade_count,first_signal_close,last_signal_close
FAST_MOMENTUM_BREAKOUT,BTC/USDT,797,797,453,308,2019-08-19T08:00:00+00:00,2024-12-24T17:00:00+00:00
FAST_MOMENTUM_BREAKOUT,ETH/USDT,792,792,429,286,2019-09-15T11:00:00+00:00,2024-12-31T14:00:00+00:00
FAST_MOMENTUM_BREAKOUT,SOL/USDT,350,350,165,130,2022-04-19T13:00:00+00:00,2024-12-07T15:00:00+00:00
FAST_MOMENTUM_BREAKOUT,LINK/USDT,455,455,242,209,2021-04-27T02:00:00+00:00,2024-12-24T22:00:00+00:00
FAST_MOMENTUM_BREAKOUT,AVAX/USDT,387,387,190,171,2021-10-20T13:00:00+00:00,2024-12-24T16:00:00+00:00
FAST_MOMENTUM_BREAKOUT,NEAR/USDT,259,259,130,113,2022-04-19T13:00:00+00:00,2024-12-16T01:00:00+00:00
TREND_REACCELERATION,BTC/USDT,238,238,180,120,2019-08-07T13:00:00+00:00,2024-12-15T02:00:00+00:00
TREND_REACCELERATION,ETH/USDT,207,207,157,117,2019-09-19T16:00:00+00:00,2024-12-16T17:00:00+00:00
TREND_REACCELERATION,SOL/USDT,66,66,51,41,2023-07-17T03:00:00+00:00,2024-12-06T18:00:00+00:00
TREND_REACCELERATION,LINK/USDT,77,77,55,46,2021-04-29T11:00:00+00:00,2024-12-16T09:00:00+00:00
TREND_REACCELERATION,AVAX/USDT,59,59,45,38,2021-10-22T01:00:00+00:00,2024-12-14T00:00:00+00:00
TREND_REACCELERATION,NEAR/USDT,48,48,39,34,2023-11-13T14:00:00+00:00,2024-12-06T17:00:00+00:00
VWAP_RECLAIM_CONTINUATION,BTC/USDT,639,639,377,300,2019-08-07T11:00:00+00:00,2024-12-17T17:00:00+00:00
VWAP_RECLAIM_CONTINUATION,ETH/USDT,613,613,367,299,2019-08-06T07:00:00+00:00,2024-12-16T16:00:00+00:00
VWAP_RECLAIM_CONTINUATION,SOL/USDT,273,273,148,132,2022-04-21T09:00:00+00:00,2024-12-07T10:00:00+00:00
VWAP_RECLAIM_CONTINUATION,LINK/USDT,333,333,209,186,2021-04-28T20:00:00+00:00,2024-12-25T09:00:00+00:00
VWAP_RECLAIM_CONTINUATION,AVAX/USDT,243,243,146,134,2021-10-22T00:00:00+00:00,2024-12-14T00:00:00+00:00
VWAP_RECLAIM_CONTINUATION,NEAR/USDT,225,225,134,123,2022-04-19T22:00:00+00:00,2024-12-06T17:00:00+00:00
VOLATILITY_SQUEEZE_RELEASE,BTC/USDT,232,232,172,100,2019-08-11T22:00:00+00:00,2024-12-28T23:00:00+00:00
VOLATILITY_SQUEEZE_RELEASE,ETH/USDT,217,217,150,81,2019-09-12T22:00:00+00:00,2024-12-28T15:00:00+00:00
VOLATILITY_SQUEEZE_RELEASE,SOL/USDT,71,71,45,29,2023-07-20T09:00:00+00:00,2024-12-27T10:00:00+00:00
VOLATILITY_SQUEEZE_RELEASE,LINK/USDT,99,99,68,51,2021-05-01T14:00:00+00:00,2024-12-28T18:00:00+00:00
VOLATILITY_SQUEEZE_RELEASE,AVAX/USDT,62,62,44,25,2021-11-01T15:00:00+00:00,2024-12-27T10:00:00+00:00
VOLATILITY_SQUEEZE_RELEASE,NEAR/USDT,39,39,22,13,2023-11-24T08:00:00+00:00,2024-12-14T02:00:00+00:00
RELATIVE_STRENGTH_LEADER_BREAKOUT,BTC/USDT,10,10,6,5,2019-10-26T02:00:00+00:00,2024-03-05T02:00:00+00:00
RELATIVE_STRENGTH_LEADER_BREAKOUT,ETH/USDT,41,41,28,15,2020-02-12T18:00:00+00:00,2024-05-27T03:00:00+00:00
RELATIVE_STRENGTH_LEADER_BREAKOUT,SOL/USDT,90,90,51,41,2022-07-19T13:00:00+00:00,2024-11-18T04:00:00+00:00
RELATIVE_STRENGTH_LEADER_BREAKOUT,LINK/USDT,105,105,65,53,2021-05-04T18:00:00+00:00,2024-12-23T21:00:00+00:00
RELATIVE_STRENGTH_LEADER_BREAKOUT,AVAX/USDT,114,114,57,53,2021-10-22T14:00:00+00:00,2024-12-12T17:00:00+00:00
RELATIVE_STRENGTH_LEADER_BREAKOUT,NEAR/USDT,94,94,56,49,2022-07-22T06:00:00+00:00,2024-12-06T02:00:00+00:00
DEFENSIVE_SWEEP_REVERSAL,BTC/USDT,198,198,143,142,2019-09-18T13:00:00+00:00,2024-09-16T18:00:00+00:00
DEFENSIVE_SWEEP_REVERSAL,ETH/USDT,138,138,110,105,2019-08-20T10:00:00+00:00,2024-12-23T02:00:00+00:00
DEFENSIVE_SWEEP_REVERSAL,SOL/USDT,67,67,46,45,2022-04-25T02:00:00+00:00,2024-12-30T00:00:00+00:00
DEFENSIVE_SWEEP_REVERSAL,LINK/USDT,107,107,80,79,2021-05-21T22:00:00+00:00,2024-11-04T19:00:00+00:00
DEFENSIVE_SWEEP_REVERSAL,AVAX/USDT,87,87,70,69,2021-12-05T22:00:00+00:00,2024-12-29T21:00:00+00:00
DEFENSIVE_SWEEP_REVERSAL,NEAR/USDT,39,39,34,34,2022-04-26T17:00:00+00:00,2024-12-25T22:00:00+00:00
