scope,variant_id,router_decision,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial_equity,hypothetical_profit_factor
STANDALONE,FAST_MOMENTUM_BREAKOUT,ADMITTED,1609,79714.89718482467,0.7971489718482467,1.112307549107839
STANDALONE,FAST_MOMENTUM_BREAKOUT,REJECTED_ENGINE_COOLDOWN,237,-563.8558655478191,-0.005638558655478191,0.9944854804100055
STANDALONE,FAST_MOMENTUM_BREAKOUT,REJECTED_MAX_OPEN_RISK,222,-64732.48727472231,-0.6473248727472232,0.3708456307805883
STANDALONE,FAST_MOMENTUM_BREAKOUT,REJECTED_SAME_SYMBOL_ACTIVE,972,-67803.98782480005,-0.6780398782480005,0.8515075850360226
OVERLAY,FAST_MOMENTUM_BREAKOUT,ADMITTED,1217,-174619.29335421996,-1.7461929335421995,0.6831563763499304
OVERLAY,FAST_MOMENTUM_BREAKOUT,REJECTED_ENGINE_COOLDOWN,150,-17714.262183212377,-0.17714262183212376,0.7172349969031793
OVERLAY,FAST_MOMENTUM_BREAKOUT,REJECTED_MAX_OPEN_RISK,255,-43631.12527098039,-0.43631125270980387,0.6146620558307694
OVERLAY,FAST_MOMENTUM_BREAKOUT,REJECTED_SAME_SYMBOL_OVERLAP,1418,182579.2470281672,1.8257924702816721,1.2832670405318771
STANDALONE,TREND_REACCELERATION,ADMITTED,527,83490.79273425502,0.8349079273425503,1.3096851523401547
STANDALONE,TREND_REACCELERATION,REJECTED_ENGINE_COOLDOWN,56,-10006.562393023913,-0.10006562393023913,0.6194956087796666
STANDALONE,TREND_REACCELERATION,REJECTED_MAX_OPEN_RISK,12,-7218.807105410108,-0.07218807105410108,0.11446941786713531
STANDALONE,TREND_REACCELERATION,REJECTED_SAME_SYMBOL_ACTIVE,100,-12281.658762371875,-0.12281658762371875,0.7752441081435535
OVERLAY,TREND_REACCELERATION,ADMITTED,396,-114051.82752341771,-1.1405182752341771,0.5147146495114063
OVERLAY,TREND_REACCELERATION,REJECTED_ENGINE_COOLDOWN,39,5454.405662765056,0.054544056627650564,1.2641394513227076
OVERLAY,TREND_REACCELERATION,REJECTED_MAX_OPEN_RISK,31,7751.821091336626,0.07751821091336626,1.4290131951992948
OVERLAY,TREND_REACCELERATION,REJECTED_SAME_SYMBOL_OVERLAP,229,154829.3652427651,1.5482936524276512,2.8224935040332246
STANDALONE,VWAP_RECLAIM_CONTINUATION,ADMITTED,1381,170643.5689645321,1.7064356896453212,1.2735416154185464
STANDALONE,VWAP_RECLAIM_CONTINUATION,REJECTED_ENGINE_COOLDOWN,334,-50798.265863331144,-0.5079826586333115,0.6874215589211041
STANDALONE,VWAP_RECLAIM_CONTINUATION,REJECTED_MAX_OPEN_RISK,90,-233.60847663929837,-0.002336084766392984,0.9941090284037296
STANDALONE,VWAP_RECLAIM_CONTINUATION,REJECTED_SAME_SYMBOL_ACTIVE,521,28350.169105826462,0.2835016910582646,1.1183467056748417
OVERLAY,VWAP_RECLAIM_CONTINUATION,ADMITTED,1174,-213015.67206971266,-2.130156720697127,0.6325063724869475
OVERLAY,VWAP_RECLAIM_CONTINUATION,REJECTED_ENGINE_COOLDOWN,268,-41914.6881006546,-0.419146881006546,0.7025593875725894
OVERLAY,VWAP_RECLAIM_CONTINUATION,REJECTED_MAX_OPEN_RISK,124,5281.146208885746,0.05281146208885746,1.0895387059648414
OVERLAY,VWAP_RECLAIM_CONTINUATION,REJECTED_SAME_SYMBOL_OVERLAP,760,397611.0776918696,3.976110776918696,2.3902139465182084
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,ADMITTED,501,42331.992277003636,0.4233199227700363,1.1672890886004939
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,REJECTED_ENGINE_COOLDOWN,74,19631.84893295287,0.19631848932952872,1.4922634294755872
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,REJECTED_MAX_OPEN_RISK,14,-3015.3675551896004,-0.030153675551896002,0.30589776996170764
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,REJECTED_SAME_SYMBOL_ACTIVE,131,-2380.6201048027624,-0.023806201048027623,0.9650115082586983
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,ADMITTED,299,-112134.3142647483,-1.1213431426474831,0.3407554964909203
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,REJECTED_ENGINE_COOLDOWN,38,-3544.881544784219,-0.03544881544784219,0.8357176087223385
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,REJECTED_MAX_OPEN_RISK,30,-10504.84940919215,-0.10504849409192149,0.33621073436345517
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,REJECTED_SAME_SYMBOL_OVERLAP,353,182751.89876868878,1.8275189876868878,2.1580256538534606
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,ADMITTED,263,-7534.915554544118,-0.07534915554544118,0.9341408236710287
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,REJECTED_ENGINE_COOLDOWN,23,-6350.866057163415,-0.06350866057163415,0.40865336302744837
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,REJECTED_SAME_SYMBOL_ACTIVE,168,-52577.3818742522,-0.5257738187425219,0.3426391987821547
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,ADMITTED,216,-21748.628171014127,-0.21748628171014125,0.7713504646985886
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,REJECTED_ENGINE_COOLDOWN,14,-8258.08535016682,-0.0825808535016682,0.01133020279254167
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,REJECTED_MAX_OPEN_RISK,13,8527.577700661892,0.08527577700661892,3.1303049896097477
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,REJECTED_SAME_SYMBOL_OVERLAP,211,-44984.027665440684,-0.44984027665440685,0.5393729861032734
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,ADMITTED,483,-86082.07554312979,-0.8608207554312979,0.6098562175154392
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,REJECTED_ENGINE_COOLDOWN,145,-7518.928974831913,-0.07518928974831914,0.8876606940976042
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,REJECTED_MAX_OPEN_RISK,2,-321.43512999393954,-0.003214351299939395,0.6159244932636216
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,REJECTED_SAME_SYMBOL_ACTIVE,6,-1899.260594322015,-0.01899260594322015,0.05141316945526082
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,ADMITTED,474,-110928.7369792247,-1.109287369792247,0.4967309066070497
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,REJECTED_ENGINE_COOLDOWN,140,-20783.597899198947,-0.20783597899198947,0.6804051819264093
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,REJECTED_MAX_OPEN_RISK,4,-210.23401769072518,-0.0021023401769072517,0.7487961664945819
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,REJECTED_SAME_SYMBOL_OVERLAP,18,36100.86865383672,0.3610086865383672,9.74702433694716
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,ADMITTED,2539,-502340.74037343555,-5.023407403734356,0.5917088046195962
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,REJECTED_ENGINE_COOLDOWN,428,-75200.27753184464,-0.7520027753184464,0.645279388676129
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,REJECTED_MAX_OPEN_RISK,796,-111450.12344752249,-1.114501234475225,0.700577510768556
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,REJECTED_SAME_SYMBOL_OVERLAP,4108,731834.3255981209,7.318343255981209,1.3972870230813133
