asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,rebalance_time,market_cap_rank,top6_member,top10_member,fixed6_symbol,fixed10_symbol,pit_selected
btc,BTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,618626936448.978,2021-01-04 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,113022171397.96152,2021-01-04 00:00:00+00:00,2,True,True,True,True,True
xrp,XRP,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,22697316038.74482,2021-01-04 00:00:00+00:00,3,True,True,False,True,True
link,LINK,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,13804014049.6833,2021-01-04 00:00:00+00:00,5,True,True,True,True,True
ltc,LTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,10737693162.064533,2021-01-04 00:00:00+00:00,6,True,True,False,True,True
ada,ADA,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,6582025469.578494,2021-01-04 00:00:00+00:00,9,False,True,False,True,True
btc,BTC,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,712801739056.71,2021-01-11 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,144538541298.19492,2021-01-11 00:00:00+00:00,2,True,True,True,True,True
xrp,XRP,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,31539130512.845234,2021-01-11 00:00:00+00:00,3,True,True,False,True,True
link,LINK,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,16234920489.1799,2021-01-11 00:00:00+00:00,5,True,True,True,True,True
ltc,LTC,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,11407839898.868034,2021-01-11 00:00:00+00:00,6,True,True,False,True,True
ada,ADA,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,9687636477.079222,2021-01-11 00:00:00+00:00,8,False,True,False,True,True
btc,BTC,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,671017747596.7164,2021-01-18 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,141990281349.43542,2021-01-18 00:00:00+00:00,2,True,True,True,True,True
xrp,XRP,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,27831711728.323456,2021-01-18 00:00:00+00:00,4,True,True,False,True,True
link,LINK,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,23306589144.4011,2021-01-18 00:00:00+00:00,5,True,True,True,True,True
ada,ADA,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,12226690665.955704,2021-01-18 00:00:00+00:00,7,False,True,False,True,True
ltc,LTC,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,9577399089.87275,2021-01-18 00:00:00+00:00,8,False,True,False,True,True
btc,BTC,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,599525276803.4537,2021-01-25 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,158724870354.9694,2021-01-25 00:00:00+00:00,2,True,True,True,True,True
xrp,XRP,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,27359122798.989582,2021-01-25 00:00:00+00:00,4,True,True,False,True,True
link,LINK,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,24541856549.676,2021-01-25 00:00:00+00:00,5,True,True,True,True,True
ada,ADA,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,11205504548.400707,2021-01-25 00:00:00+00:00,8,False,True,False,True,True
ltc,LTC,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,9411358614.228611,2021-01-25 00:00:00+00:00,9,False,True,False,True,True
btc,BTC,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,617261741250.7816,2021-02-01 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,150859483437.80832,2021-02-01 00:00:00+00:00,2,True,True,True,True,True
xrp,XRP,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,49293009481.97234,2021-02-01 00:00:00+00:00,3,True,True,False,True,True
link,LINK,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,22596227212.8693,2021-02-01 00:00:00+00:00,5,True,True,True,True,True
ada,ADA,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,11059331869.344397,2021-02-01 00:00:00+00:00,8,False,True,False,True,True
ltc,LTC,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,8683419493.321184,2021-02-01 00:00:00+00:00,9,False,True,False,True,True
