scenario,block_length_weeks,repetitions,p05_total_pnl,median_total_pnl,p95_total_pnl,descriptive_positive_fraction,role
OBSERVED_FIXED6,4,2000,29122.766787980665,106427.58854163406,197104.25466075502,0.9925,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
OBSERVED_FIXED6,8,2000,27001.776422669736,106643.58278137541,197002.3972243827,0.991,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
OBSERVED_FIXED6,13,2000,25453.543133339674,107634.65099108595,206633.79500006934,0.9865,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
CONFIRMED_PIT_ONLY,4,2000,-21174.284274457626,15426.528396753696,57026.313938887244,0.752,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
CONFIRMED_PIT_ONLY,8,2000,-21851.204121468178,16676.97188696231,58037.80279969009,0.781,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
CONFIRMED_PIT_ONLY,13,2000,-21425.97436611672,15676.38234826092,57139.945414764916,0.75,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
REMOVE_POSITIVE_NON_PIT,4,2000,9318.011357653571,80525.17691867477,157522.69332595126,0.9675,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
REMOVE_POSITIVE_NON_PIT,8,2000,10382.07095568055,81421.61902644436,160416.98829437958,0.9715,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
REMOVE_POSITIVE_NON_PIT,13,2000,3899.4337447341104,78790.84934184552,162646.9151942817,0.9565,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_ZERO_EDGE,4,2000,-21036.469717740547,26587.590195903846,83651.61465735307,0.813,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_ZERO_EDGE,8,2000,-23931.83600573255,25134.009758662265,81924.25892697989,0.786,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_ZERO_EDGE,13,2000,-22900.910430343745,27661.142987836098,87034.04894281698,0.792,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_POSITIVE_HAIRCUT_50,4,2000,-42538.757143768315,17373.67788630174,82392.80891899901,0.6865,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_POSITIVE_HAIRCUT_50,8,2000,-45221.297779770786,14583.24626051608,86688.36806500003,0.6595,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_POSITIVE_HAIRCUT_50,13,2000,-43510.75418448668,16410.95929716953,87130.41893257284,0.662,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,4,2000,-148300.09082546382,-100064.49526705757,-45137.00444025733,0.0,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,8,2000,-151006.15650973906,-97965.21314502464,-45904.57719296375,0.002,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,13,2000,-150029.5271743769,-97564.02367580765,-40485.0225563366,0.0015,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
