year,symbol,trade_count,net_pnl,gross_positive_pnl,gross_negative_pnl
2019,BTC,9,-3012.897071231202,893.4039710645384,-3906.30104229574
2019,ETH,6,-1496.5772132615243,390.47249230634543,-1887.0497055678698
2020,BTC,62,27013.72390639447,46849.11055606159,-19835.386649667118
2020,ETH,57,19527.04786624127,39352.25377238356,-19825.205906142288
2021,AVAX,9,536.3873786896152,6191.549048601449,-5655.161669911833
2021,BTC,2,-249.52287292312758,576.6118582076851,-826.1347311308127
2021,ETH,2,15896.342656144465,16742.9924034956,-846.6497473511338
2022,AVAX,6,-164.8718624574135,3905.9842413582537,-4070.8561038156677
2022,NEAR,1,-798.7412926862733,0.0,-798.7412926862733
2023,AVAX,8,-4594.386619655539,242.24080988124882,-4836.627429536788
2023,NEAR,2,5425.286898540055,5425.286898540055,0.0
2023,SOL,15,9208.60353611346,14358.946906874957,-5150.343370761495
2024,AVAX,15,2788.9325274156226,10638.656768904028,-7849.724241488404
2024,NEAR,19,1582.3671556860693,8948.913742562836,-7366.546586876767
2024,SOL,35,9297.465843279186,26041.47559346557,-16744.009750186382
