scenario,block_length_weeks,repetitions,p05_total_pnl,median_total_pnl,p95_total_pnl,descriptive_positive_fraction,role
OBSERVED_FIXED6,4,2000,29122.766787980665,106427.58854163406,197104.25466075502,0.9925,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
OBSERVED_FIXED6,8,2000,27001.776422669736,106643.58278137541,197002.3972243827,0.991,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
OBSERVED_FIXED6,13,2000,25453.543133339674,107634.65099108595,206633.79500006934,0.9865,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
CONFIRMED_PIT_ONLY,4,2000,14862.389961869556,72165.65580219952,142214.80349077663,0.986,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
CONFIRMED_PIT_ONLY,8,2000,13034.888783287846,76047.9915038572,144357.06568873752,0.979,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
CONFIRMED_PIT_ONLY,13,2000,7628.677989804666,71232.00344297246,147360.45709297492,0.968,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
REMOVE_POSITIVE_NON_PIT,4,2000,-63406.97834939123,3432.3741871594666,78312.94702056579,0.5285,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
REMOVE_POSITIVE_NON_PIT,8,2000,-67122.16693448092,3813.3177570521293,83993.8608956855,0.5465,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
REMOVE_POSITIVE_NON_PIT,13,2000,-76673.15369447261,3435.0770633711554,96734.01451788485,0.5275,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_ZERO_EDGE,4,2000,28258.709002996253,105714.6839434964,194139.55392406028,0.9915,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_ZERO_EDGE,8,2000,28969.57007220256,103269.26534016116,197210.11328085157,0.9925,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_ZERO_EDGE,13,2000,27378.80312203866,107789.41631680957,208323.31614241353,0.9855,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_POSITIVE_HAIRCUT_50,4,2000,28935.220048281197,106975.96817253233,195644.85257730374,0.9905,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_POSITIVE_HAIRCUT_50,8,2000,26427.072960700993,104559.25079028084,200404.30292996144,0.9845,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
UNRESOLVED_POSITIVE_HAIRCUT_50,13,2000,20141.475591453298,107994.18187838799,203139.1443883666,0.984,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,4,2000,-60777.696837200325,6298.715553506901,81372.02204270584,0.5475,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,8,2000,-64385.94564181897,5057.232563900601,87899.54154313702,0.543,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,13,2000,-74967.90019396695,5377.32166483494,94844.97666484391,0.5425,DESCRIPTIVE_ONLY_NOT_A_P_VALUE
