asset,row_count,first_time,last_time,current_cap_rows,estimated_cap_rows
ada,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
ae_eth,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
aion_eth,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
ant,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
bat,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
bch,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
bsv,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
btc,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
btg,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
btm_eth,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
cvc,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
dash,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
dcr,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
dgb,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
doge,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
drgn,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
elf,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
etc,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
eth,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
fun,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
gas,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
gno,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
gnt,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
gusd,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
icx_eth,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
knc,733,2018-12-30 00:00:00+00:00,2020-12-31 00:00:00+00:00,733,0
