source_v2_candidate_id,admission_change,originally_admitted,dynamically_admitted,dynamic_router_decision,candidate_net_pnl
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000002,RETAINED_ADMISSION,True,True,ADMITTED,-662.223413719408
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000007,RETAINED_ADMISSION,True,True,ADMITTED,-742.9581549390514
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000009,RETAINED_ADMISSION,True,True,ADMITTED,44.94393758517081
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000018,RETAINED_ADMISSION,True,True,ADMITTED,-555.607101476602
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000019,RETAINED_ADMISSION,True,True,ADMITTED,355.91673766993506
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000021,RETAINED_ADMISSION,True,True,ADMITTED,-442.8541720061467
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000022,RETAINED_ADMISSION,True,True,ADMITTED,-845.6746607421137
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000023,RETAINED_ADMISSION,True,True,ADMITTED,-505.02957498236003
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000028,RETAINED_ADMISSION,True,True,ADMITTED,34.55575463641037
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000031,RETAINED_ADMISSION,True,True,ADMITTED,-468.1140230172534
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000032,RETAINED_ADMISSION,True,True,ADMITTED,-383.558857102761
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000056,RETAINED_ADMISSION,True,True,ADMITTED,4330.236214091043
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000060,RETAINED_ADMISSION,True,True,ADMITTED,224.43812690369563
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000065,RETAINED_ADMISSION,True,True,ADMITTED,348.81370792133123
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000066,RETAINED_ADMISSION,True,True,ADMITTED,73.80427740639428
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000068,RETAINED_ADMISSION,True,True,ADMITTED,85.37548442480295
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000073,RETAINED_ADMISSION,True,True,ADMITTED,1583.1496115113448
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000076,RETAINED_ADMISSION,True,True,ADMITTED,-333.82984436911147
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000090,RETAINED_ADMISSION,True,True,ADMITTED,552.8973766305505
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000097,RETAINED_ADMISSION,True,True,ADMITTED,-848.3997848620271
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000101,RETAINED_ADMISSION,True,True,ADMITTED,418.87226021416
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000102,RETAINED_ADMISSION,True,True,ADMITTED,3313.07579442535
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000103,RETAINED_ADMISSION,True,True,ADMITTED,6833.312064484605
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000108,RETAINED_ADMISSION,True,True,ADMITTED,-691.7196503647561
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000111,RETAINED_ADMISSION,True,True,ADMITTED,-487.6157323259755
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000114,RETAINED_ADMISSION,True,True,ADMITTED,2.2192564189697848
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000115,RETAINED_ADMISSION,True,True,ADMITTED,14.510323765616917
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000120,RETAINED_ADMISSION,True,True,ADMITTED,310.78595473566605
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000124,RETAINED_ADMISSION,True,True,ADMITTED,12.761163123262186
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000126,RETAINED_ADMISSION,True,True,ADMITTED,-321.21477601660763
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000127,RETAINED_ADMISSION,True,True,ADMITTED,-466.6296765558439
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000135,RETAINED_ADMISSION,True,True,ADMITTED,-321.23527670573594
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000146,RETAINED_ADMISSION,True,True,ADMITTED,-647.1617007201878
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000147,RETAINED_ADMISSION,True,True,ADMITTED,98.25059704575884
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000148,RETAINED_ADMISSION,True,True,ADMITTED,317.8663548209923
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000156,RETAINED_ADMISSION,True,True,ADMITTED,-465.92191332846204
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000159,RETAINED_ADMISSION,True,True,ADMITTED,-764.3990451765785
