scope,variant_id,cost_multiplier,trade_count,net_return,monthly_geometric_return,maximum_drawdown,profit_factor,minimum_cash,minimum_equity,capital_feasible
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,1.0,313,0.006317585044119944,8.745376718355402e-05,0.31140102513824663,1.004321241321622,-195976.89456989022,79245.3816386671,False
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,1.5,313,-0.17399632765131678,-0.0026508703499136255,0.3763655472526295,0.8894909213654594,-205458.28469131945,70500.5147287346,False
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,2.0,313,-0.3543102403467584,-0.0060558207058267755,0.4440859386331333,0.7909654510534013,-214939.6748127489,61714.01457159017,False
STANDALONE,BREADTH_THRUST_LEADER_BREAKOUT,3.0,313,-0.7149380657376334,-0.017276606564111785,0.7334502797228915,0.6353128207366432,-233902.45505560708,28506.193426236656,False
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,1.0,750,0.5123585829738164,0.005760750646923496,0.21569831074972934,1.1669186054639133,-74960.24491815781,93619.73582481802,False
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,1.5,750,0.17567441904479897,0.0022498620918616208,0.2952215180081551,1.053528138419301,-91948.8232526336,92470.0088787334,False
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,2.0,750,-0.16100974488423747,-0.0024348015931460187,0.4041296632706416,0.9540921768841087,-108937.40158711004,83899.02551157626,False
OVERLAY,BREADTH_THRUST_LEADER_BREAKOUT,3.0,750,-0.8343780727422827,-0.02465854793429667,0.8611857520635077,0.7908804383735429,-146316.15008769487,16562.192725771725,False
STANDALONE,BTC_TO_ALT_ROTATION_BREAKOUT,1.0,28,-0.12216140614987914,-0.001807604481981806,0.14000353566622448,0.16828696958094047,35648.86936973256,87422.32867436792,True
STANDALONE,BTC_TO_ALT_ROTATION_BREAKOUT,1.5,28,-0.13199210922481808,-0.0019636926902378837,0.1490222884971475,0.13628419245408996,34758.801559320156,86455.39442941602,True
STANDALONE,BTC_TO_ALT_ROTATION_BREAKOUT,2.0,28,-0.14182281229975768,-0.002121533969475009,0.15805150815305657,0.11190048827936441,33868.7337489077,85488.46018446406,True
STANDALONE,BTC_TO_ALT_ROTATION_BREAKOUT,3.0,28,-0.16148421844963634,-0.0024426375891347663,0.1761414209089346,0.07825689125208642,32088.598128082813,83554.59169456016,True
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,1.0,584,0.9927586397427457,0.009620646965273982,0.12386089987521487,1.443951668507914,4924.12494235066,95178.94982197955,True
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,1.5,584,0.7436716475003462,0.007750390759606596,0.16367059026402908,1.3115049355318236,3982.972667682734,94429.99096855147,True
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,2.0,584,0.4945846552579203,0.005595657534826826,0.21144360799445094,1.194107054596815,3041.820393014721,93681.03211512335,True
OVERLAY,BTC_TO_ALT_ROTATION_BREAKOUT,3.0,584,-0.0035893292269046917,-4.9929787554470195e-05,0.3454973532204547,0.9987598883695049,-39330.505682747666,92183.11440826714,False
STANDALONE,DISPERSION_EXPANSION_LEADER,1.0,181,-0.10992955528428017,-0.0016157809628933872,0.2831136778601112,0.8739564818741817,-44113.91434733776,89007.04447157198,False
STANDALONE,DISPERSION_EXPANSION_LEADER,1.5,181,-0.182698444307548,-0.002797537441984077,0.31475600787957025,0.8005320473046355,-50147.62826933355,81730.1555692452,False
STANDALONE,DISPERSION_EXPANSION_LEADER,2.0,181,-0.25546733333081817,-0.0040879667965870725,0.3509485687400322,0.734771772108922,-56181.34219132959,74453.26666691818,False
STANDALONE,DISPERSION_EXPANSION_LEADER,3.0,181,-0.4010051113773552,-0.007091334913038039,0.4372089586580826,0.623134711782907,-68248.77003532133,59899.48886226448,False
OVERLAY,DISPERSION_EXPANSION_LEADER,1.0,674,0.6364917013017994,0.00686305119954711,0.20659853324838173,1.2343235211065553,-22441.54989102669,94561.60009644755,False
OVERLAY,DISPERSION_EXPANSION_LEADER,1.5,674,0.3555656414445514,0.0042333130857996615,0.26626715273258206,1.1230325213393169,-25711.286977223004,93797.84378425493,False
OVERLAY,DISPERSION_EXPANSION_LEADER,2.0,674,0.07463958158728001,0.001000086982388959,0.34166374826107027,1.024281350119021,-32326.60503115053,93034.08747206218,False
OVERLAY,DISPERSION_EXPANSION_LEADER,3.0,674,-0.48721253812723386,-0.009231489195383857,0.6035577187817659,0.85949439215103,-87692.82657278058,51278.746187276614,False
