domain_id,symbol,candidate_count,evaluated_count,standalone_trade_count,overlay_new_trade_count,first_signal_close,last_signal_close
BREADTH_THRUST_LEADER_BREAKOUT,AVAX/USDT,38,38,30,27,2021-10-22T01:00:00+00:00,2024-12-02T02:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,BTC/USDT,120,120,99,52,2019-09-04T20:00:00+00:00,2024-12-17T15:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,ETH/USDT,113,113,90,41,2019-09-17T13:00:00+00:00,2024-12-16T18:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,LINK/USDT,41,41,30,22,2021-05-07T17:00:00+00:00,2024-12-23T21:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,NEAR/USDT,36,36,27,21,2023-12-04T03:00:00+00:00,2024-11-30T17:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,SOL/USDT,51,51,37,20,2023-10-29T13:00:00+00:00,2024-12-17T13:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,AVAX/USDT,4,4,4,4,2021-11-22T16:00:00+00:00,2023-11-18T16:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,ETH/USDT,14,14,14,7,2020-04-25T06:00:00+00:00,2024-05-23T12:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,LINK/USDT,3,3,3,2,2021-08-15T21:00:00+00:00,2024-03-02T07:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,NEAR/USDT,2,2,2,1,2024-03-12T08:00:00+00:00,2024-04-27T18:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,SOL/USDT,5,5,5,3,2024-02-29T09:00:00+00:00,2024-11-21T17:00:00+00:00
DISPERSION_EXPANSION_LEADER,AVAX/USDT,32,32,25,22,2021-10-26T01:00:00+00:00,2024-12-02T04:00:00+00:00
DISPERSION_EXPANSION_LEADER,BTC/USDT,35,35,28,13,2020-01-27T20:00:00+00:00,2024-12-05T04:00:00+00:00
DISPERSION_EXPANSION_LEADER,ETH/USDT,68,68,54,19,2019-09-19T17:00:00+00:00,2024-12-04T21:00:00+00:00
DISPERSION_EXPANSION_LEADER,LINK/USDT,28,28,25,16,2021-08-11T15:00:00+00:00,2024-12-07T04:00:00+00:00
DISPERSION_EXPANSION_LEADER,NEAR/USDT,33,33,30,27,2022-04-19T01:00:00+00:00,2024-12-06T02:00:00+00:00
DISPERSION_EXPANSION_LEADER,SOL/USDT,19,19,19,10,2023-10-25T13:00:00+00:00,2024-12-06T02:00:00+00:00
VOLUME_BREADTH_THRUST,AVAX/USDT,55,55,41,33,2021-10-21T10:00:00+00:00,2024-11-29T11:00:00+00:00
VOLUME_BREADTH_THRUST,BTC/USDT,59,59,43,23,2021-08-06T16:00:00+00:00,2024-11-21T05:00:00+00:00
VOLUME_BREADTH_THRUST,ETH/USDT,52,52,41,18,2021-04-27T15:00:00+00:00,2024-11-27T21:00:00+00:00
VOLUME_BREADTH_THRUST,LINK/USDT,48,48,37,30,2021-05-07T17:00:00+00:00,2024-12-23T04:00:00+00:00
VOLUME_BREADTH_THRUST,NEAR/USDT,38,38,31,23,2022-04-19T01:00:00+00:00,2024-12-17T13:00:00+00:00
VOLUME_BREADTH_THRUST,SOL/USDT,61,61,47,25,2023-10-23T23:00:00+00:00,2024-12-17T13:00:00+00:00
CORRELATION_RELEASE_ROTATION,ETH/USDT,1,1,1,0,2020-07-26T11:00:00+00:00,2020-07-26T11:00:00+00:00
