metric,observation_count,minimum,p25,median,mean,p75,maximum
return24_rank_pct_q,202590,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6169875117231848,0.8333333333333334,1.0
return72_rank_pct_q,202302,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6170354222894484,0.8333333333333334,1.0
market_breadth_q,202734,0.0,0.25,0.5,0.4991137812766154,0.7222222222222222,1.0
breadth_1h_q,202734,0.0,0.0,0.5,0.503758619669123,1.0,1.0
breadth_impulse6_q,202722,-1.0,-0.16666666666666666,0.0,-6.82379481917767e-05,0.16666666666666666,1.0
volume_ratio20_q,202734,0.0,0.6917705263143301,0.9924297083953324,1.3264862611980546,1.485367405012756,75.16980427563432
volume_breadth_q,202734,0.0,0.0,0.16666666666666666,0.2843315214353126,0.5,1.0
previous_volume_breadth_q,202732,0.0,0.0,0.16666666666666666,0.28433843695124594,0.5,1.0
dispersion24_q,202686,3.9111781224843156e-07,0.009158031916025381,0.014929725654290047,0.01828929032472252,0.023244881760667944,0.20341224017280968
previous_dispersion24_q,202684,3.9111781224843156e-07,0.009158031916025381,0.014929845945426314,0.018289350567880933,0.023245526285197902,0.20341224017280968
prior_dispersion_q75_200_q,202446,0.0027127967735782466,0.0154949913184924,0.021725218307528684,0.023323788818010324,0.027603626705384465,0.06839752382890743
previous_prior_dispersion_q75_200_q,202444,0.0027127967735782466,0.0154949913184924,0.02172675505550462,0.0233238198873713,0.027603626705384465,0.06839752382890743
market_return24_q,202686,-0.4710721785714786,-0.018965517005519978,0.0014439270459330376,0.0014905959570910828,0.02314654782070258,0.35200970642690765
btc_alt_gap24_q,202686,-0.40682448034561935,-0.012866364092918081,0.0008631976309283473,-0.00035953551614036473,0.013989251349774672,0.22696019356365227
previous_btc_alt_gap24_q,202684,-0.40682448034561935,-0.012869030113206614,0.0008631976309283473,-0.00036041812046866374,0.013987352362552597,0.22696019356365227
average_corr72_q,202638,0.24357339245744558,0.684260431677692,0.7687432952537149,0.7526703155132415,0.8364428254542666,0.9769923446278937
previous_average_corr72_q,202636,0.24357339245744558,0.684260431677692,0.7687432952537149,0.7526679108882609,0.8364353739170217,0.9769923446278937
ema20_distance_atr_q,202734,-6.8060316352129195,-0.7788160322228368,0.010534983771409743,0.03547245179562168,0.8202520442137078,7.135962921284388
