liquidity_rank,liquidity_tier,canonical_id,resolved_symbol,category,core,median_daily_quote_volume,hourly_rows,daily_rows,first_hourly_timestamp,last_hourly_timestamp
1,A,BTC,BTC/USDT,MEGA_CAP,True,161530212.10043153,52608,2192,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00
2,A,ETH,ETH/USDT,MEGA_CAP,True,130099431.71595417,52608,2192,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00
3,A,SOL,SOL/USDT,LARGE_CAP_GROWTH,True,44298470.583735496,28848,1202,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00
4,A,XRP,XRP/USDT,LARGE_CAP,False,14558846.33166529,43848,1827,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00
5,A,NEAR,NEAR/USDT,LARGE_CAP_GROWTH,True,6181639.469058106,28848,1202,2021-09-17T01:00:00+00:00,2025-01-01T00:00:00+00:00
6,A,AVAX,AVAX/USDT,LARGE_CAP_GROWTH,True,5098319.499965258,33168,1382,2021-03-21T01:00:00+00:00,2025-01-01T00:00:00+00:00
7,B,ADA,ADA/USDT,LARGE_CAP,False,3893842.7683368116,43848,1827,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00
8,B,LTC,LTC/USDT,LEGACY_LIQUID,False,3510275.6944558006,43848,1827,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00
9,B,LINK,LINK/USDT,INFRASTRUCTURE,True,3404770.5891930996,37488,1562,2020-09-22T01:00:00+00:00,2025-01-01T00:00:00+00:00
10,B,ATOM,ATOM/USDT,LARGE_CAP,False,1301269.26363322,43848,1827,2020-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00
