domain_id,symbol,candidate_count,evaluated_count,standalone_trade_count,overlay_new_trade_count,first_signal_close,last_signal_close
BREADTH_THRUST_LEADER_BREAKOUT,ADA/USDT,60,60,45,40,2020-10-12T18:00:00+00:00,2024-12-02T16:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,ATOM/USDT,68,68,56,54,2020-08-05T11:00:00+00:00,2024-12-08T13:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,AVAX/USDT,38,38,25,22,2021-11-03T19:00:00+00:00,2024-11-25T07:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,BTC/USDT,125,125,107,55,2019-09-04T20:00:00+00:00,2024-12-17T15:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,ETH/USDT,119,119,92,41,2019-09-17T13:00:00+00:00,2024-12-16T18:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,LINK/USDT,33,33,25,17,2021-05-04T11:00:00+00:00,2024-12-23T21:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,LTC/USDT,61,61,53,48,2020-08-06T16:00:00+00:00,2024-12-05T12:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,NEAR/USDT,37,37,27,18,2023-12-04T03:00:00+00:00,2024-11-30T17:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,SOL/USDT,51,51,37,18,2023-10-26T23:00:00+00:00,2024-12-17T13:00:00+00:00
BREADTH_THRUST_LEADER_BREAKOUT,XRP/USDT,37,37,30,30,2020-08-15T16:00:00+00:00,2024-12-02T15:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,ADA/USDT,4,4,4,3,2021-01-06T13:00:00+00:00,2021-08-23T00:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,ATOM/USDT,4,4,4,4,2021-02-12T04:00:00+00:00,2021-10-20T17:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,AVAX/USDT,3,3,3,3,2022-03-30T16:00:00+00:00,2024-02-29T09:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,ETH/USDT,4,4,4,1,2020-04-25T06:00:00+00:00,2024-01-10T10:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,LINK/USDT,6,6,5,5,2021-08-16T06:00:00+00:00,2024-02-01T22:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,LTC/USDT,7,7,7,6,2020-10-22T03:00:00+00:00,2024-11-14T04:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,NEAR/USDT,1,1,1,1,2024-04-27T18:00:00+00:00,2024-04-27T18:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,SOL/USDT,2,2,2,2,2024-02-29T09:00:00+00:00,2024-11-21T18:00:00+00:00
BTC_TO_ALT_ROTATION_BREAKOUT,XRP/USDT,3,3,3,1,2021-04-04T18:00:00+00:00,2024-12-01T20:00:00+00:00
DISPERSION_EXPANSION_LEADER,ADA/USDT,28,28,26,25,2020-08-08T23:00:00+00:00,2024-12-21T07:00:00+00:00
DISPERSION_EXPANSION_LEADER,ATOM/USDT,41,41,33,30,2020-08-01T03:00:00+00:00,2023-12-12T13:00:00+00:00
DISPERSION_EXPANSION_LEADER,AVAX/USDT,25,25,21,16,2021-10-26T01:00:00+00:00,2024-12-12T03:00:00+00:00
DISPERSION_EXPANSION_LEADER,BTC/USDT,21,21,17,6,2020-01-27T20:00:00+00:00,2024-02-28T15:00:00+00:00
DISPERSION_EXPANSION_LEADER,ETH/USDT,41,41,35,12,2019-09-19T17:00:00+00:00,2024-01-10T20:00:00+00:00
DISPERSION_EXPANSION_LEADER,LINK/USDT,15,15,14,9,2021-04-30T07:00:00+00:00,2024-12-23T21:00:00+00:00
DISPERSION_EXPANSION_LEADER,LTC/USDT,27,27,24,23,2020-10-28T02:00:00+00:00,2024-12-05T13:00:00+00:00
DISPERSION_EXPANSION_LEADER,NEAR/USDT,17,17,16,12,2023-12-01T02:00:00+00:00,2024-11-11T18:00:00+00:00
DISPERSION_EXPANSION_LEADER,SOL/USDT,15,15,14,7,2023-11-09T13:00:00+00:00,2024-11-11T11:00:00+00:00
DISPERSION_EXPANSION_LEADER,XRP/USDT,33,33,28,23,2020-08-01T05:00:00+00:00,2024-12-17T11:00:00+00:00
VOLUME_BREADTH_THRUST,ADA/USDT,58,58,43,38,2020-10-10T03:00:00+00:00,2024-12-12T04:00:00+00:00
