domain_id,symbol,candidate_count,next_bar_violations,future_4h_context_violations,future_1d_context_violations,future_1w_context_violations,sealed_cutoff_violations
DAILY_PULLBACK_RECLAIM,ADA/USDT,2,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,ATOM/USDT,2,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,AVAX/USDT,2,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,BTC/USDT,8,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,ETH/USDT,12,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,LINK/USDT,2,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,LTC/USDT,4,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,NEAR/USDT,1,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,SOL/USDT,1,0,0,0,0,0
DAILY_PULLBACK_RECLAIM,XRP/USDT,4,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,ADA/USDT,1,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,ATOM/USDT,3,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,AVAX/USDT,2,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,BTC/USDT,7,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,ETH/USDT,13,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,LINK/USDT,5,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,LTC/USDT,4,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,NEAR/USDT,2,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,SOL/USDT,5,0,0,0,0,0
DAILY_COMPRESSION_BREAKOUT,XRP/USDT,5,0,0,0,0,0
WEEKLY_TREND_ACCELERATION,ADA/USDT,1,0,0,0,0,0
WEEKLY_TREND_ACCELERATION,AVAX/USDT,1,0,0,0,0,0
WEEKLY_TREND_ACCELERATION,BTC/USDT,2,0,0,0,0,0
WEEKLY_TREND_ACCELERATION,LTC/USDT,4,0,0,0,0,0
WEEKLY_TREND_ACCELERATION,NEAR/USDT,1,0,0,0,0,0
WEEKLY_TREND_ACCELERATION,XRP/USDT,2,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,ADA/USDT,8,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,ATOM/USDT,11,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,AVAX/USDT,12,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,BTC/USDT,21,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,ETH/USDT,26,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,LINK/USDT,9,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,LTC/USDT,10,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,NEAR/USDT,16,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,SOL/USDT,14,0,0,0,0,0
CROSS_SECTIONAL_LEADER_PULLBACK,XRP/USDT,20,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,ADA/USDT,14,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,ATOM/USDT,16,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,AVAX/USDT,10,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,BTC/USDT,17,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,ETH/USDT,30,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,LINK/USDT,13,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,LTC/USDT,21,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,NEAR/USDT,5,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,SOL/USDT,12,0,0,0,0,0
DEEP_PULLBACK_RECOVERY,XRP/USDT,13,0,0,0,0,0
