provider,snapshot_date,rows_available,eligible_rows,top30_available,all_reference_top6_covered,coverage_gate
coinmarketcap_public,2021-05-09,10,9,False,True,False
coinmarketcap_public,2022-06-26,10,7,False,True,False
coinmarketcap_public,2023-10-22,10,8,False,True,False
coinmarketcap_public,2024-03-10,10,8,False,True,False
coingecko_demo,2021-05-09,0,0,False,False,False
coingecko_demo,2022-06-26,0,0,False,False,False
coingecko_demo,2023-10-22,0,0,False,False,False
coingecko_demo,2024-03-10,0,0,False,False,False
coinpaprika_public,2021-05-09,0,0,False,False,False
coinpaprika_public,2022-06-26,0,0,False,False,False
coinpaprika_public,2023-10-22,0,0,False,False,False
coinpaprika_public,2024-03-10,0,0,False,False,False
cryptocompare_public,2021-05-09,0,0,False,False,False
cryptocompare_public,2022-06-26,0,0,False,False,False
cryptocompare_public,2023-10-22,0,0,False,False,False
cryptocompare_public,2024-03-10,0,0,False,False,False
tradingview_free_manual,2021-05-09,0,0,False,False,False
tradingview_free_manual,2022-06-26,0,0,False,False,False
tradingview_free_manual,2023-10-22,0,0,False,False,False
tradingview_free_manual,2024-03-10,0,0,False,False,False
