announcement_id,published_at,title,description,category,url,explicit_pairs,asset_codes,parsing_confidence,request_id
759,2018-11-06T08:08:21+00:00,Fantom (FTM) Gets Listed on KuCoin,"Dear KuCoin Users, KuCoin is extremely proud to announce yet another great project coming to our trading platform. Fantom (FTM) is now available on KuCoin.… Continue ReadingFantom (FTM) Gets Listed on KuCoin",new-listings,https://www.kucoin.com/announcement/en-fantom-ftm-gets-listed-on-kucoin?lang=en_US,,FTM,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2018-10-01_2019-01-01_p1
1751,2019-03-26T08:03:22+00:00,Monero (XMR) Gets Listed on KuCoin!,Monero (XMR) is now available on KuCoin. Supported trading pairs include XMR/BTC and XMR/ETH.,new-listings,https://www.kucoin.com/announcement/en-monero-xmr-gets-listed-on-kucoin?lang=en_US,,XMR,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1737,2019-03-22T08:11:22+00:00,DxChain (DX) Gets Listed on KuCoin!,KuCoin is extremely proud to announce yet another great project coming to our trading platform. DxChain (DX) is now available on KuCoin. Supported trading pairs include DX/BTC and DX/ETH.,new-listings,https://www.kucoin.com/announcement/en-dxchain-dx-gets-listed-on-kucoin?lang=en_US,,DX,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1699,2019-03-14T13:55:55+00:00,Ankr Network (ANKR) Gets Listed on KuCoin! ,Ankr Network (ANKR) is now available on KuCoin. Supported trading pairs include ANKR/BTC and ANKR/ETH.,new-listings,https://www.kucoin.com/announcement/en-ankr-network-ankr-gets-listed-on-kucoin?lang=en_US,,ANKR,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1677,2019-03-08T07:59:50+00:00,Fetch.Ai (FET) Gets Listed on KuCoin!,KuCoin is extremely proud to announce yet another great project coming to our trading platform. Fetch.Ai (FET) is now available on KuCoin. Supported trading pairs include FET/BTC and FET/ETH.,new-listings,https://www.kucoin.com/announcement/en-fetch-ai-fet-gets-listed-on-kucoin?lang=en_US,,FET,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1638,2019-02-28T02:01:14+00:00,Energi (NRG) Gets Listed on KuCoin!,Energi (NRG) is now available on KuCoin. Supported trading pair includes NRG/BTC.,new-listings,https://www.kucoin.com/announcement/784-20?lang=en_US,,NRG,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1635,2019-02-27T08:01:11+00:00,HotNow (HOT) Gets Listed on KuCoin! World Premiere!,HotNow (HOT) is now available on KuCoin. Supported trading pairs include HOT/BTC and HOT/ETH.,new-listings,https://www.kucoin.com/announcement/782-20?lang=en_US,,HOT,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1618,2019-02-26T08:44:38+00:00,Caspian (CSP) Gets Listed on KuCoin! World Premiere!,Caspian (CSP) is now available on KuCoin. Supported trading pairs include CSP/BTC and CSP/ETH.,new-listings,https://www.kucoin.com/announcement/772-20?lang=en_US,,CSP,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1592,2019-02-18T10:48:52+00:00,Grin (GRIN) Gets Listed on KuCoin!,Grin (GRIN) Gets Listed on KuCoin!,new-listings,https://www.kucoin.com/announcement/en-grin-grin-gets-listed-on-kucoin?lang=en_US,,GRIN,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1599,2019-02-18T09:33:20+00:00,MetaHash (MHC) Gets Listed on KuCoin! World Premiere!,MetaHash (MHC) is now available on KuCoin. Supported trading pairs include MHC/BTC and MHC/ETH.,new-listings,https://www.kucoin.com/announcement/762-20?lang=en_US,,MHC,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1597,2019-02-15T08:17:53+00:00,BitTorrent (BTT) Gets Listed on KuCoin!,BitTorrent (BTT) is now available on KuCoin. Supported trading pairs include BTT/BTC and BTT/ETH.,new-listings,https://www.kucoin.com/announcement/761-20?lang=en_US,,BTT,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1595,2019-02-15T08:11:46+00:00,Solve.Care (SOLVE) Gets Listed on KuCoin!,Solve.Care (SOLVE) is now available on KuCoin. Supported trading pair includes SOLVE/BTC.,new-listings,https://www.kucoin.com/announcement/760-20?lang=en_US,,SOLVE,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
1586,2019-01-19T05:14:40+00:00,V Systems (VSYS) Gets Listed on KuCoin! World Premiere!,V Systems (VSYS) Gets Listed on KuCoin! World Premiere!,new-listings,https://www.kucoin.com/announcement/en-KuCoin-lists-VSYS?lang=en_US,,VSYS,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-01-01_2019-04-01_p1
2122,2019-06-28T08:00:02+00:00,Tezos (XTZ) Gets Listed on KuCoin!,Tezos (XTZ) is now available on KuCoin. Supported trading pairs include XTZ/BTC and XTZ/USDT.,new-listings,https://www.kucoin.com/announcement/en-tezos-xtz-gets-listed-on-kucoin?lang=en_US,XTZ-USDT,XTZ,HIGH,announcement_new-listings_2019-04-01_2019-07-01_p1
2116,2019-06-27T08:00:02+00:00,Cryptoindex (CIX100) Gets Listed on KuCoin! World Premiere!,KuCoin is extremely proud to announce yet another great project coming to our trading platform. Cryptoindex (CIX100) is now available on KuCoin. Supported trading pair includes CIX100/USDT.,new-listings,https://www.kucoin.com/announcement/en-cryptoindex-cix100-gets-listed-on-kucoin-world-premiere?lang=en_US,CIX100-USDT,CIX100,HIGH,announcement_new-listings_2019-04-01_2019-07-01_p1
2110,2019-06-27T08:00:02+00:00,NEM (XEM) Gets Listed on KuCoin!,KuCoin is extremely proud to announce yet another great project coming to our trading platform. NEM (XEM) is now available on KuCoin. Supported trading pairs include XEM/BTC and XEM/USDT.,new-listings,https://www.kucoin.com/announcement/en-nem-xem-gets-listed-on-kucoin?lang=en_US,XEM-USDT,XEM,HIGH,announcement_new-listings_2019-04-01_2019-07-01_p1
2107,2019-06-25T08:00:02+00:00,Volume Network Token (VOL) Gets Listed on KuCoin!,Volume Network Token (VOL) is now available on KuCoin. Supported trading pairs include VOL/BTC and VOL/USDT.,new-listings,https://www.kucoin.com/announcement/en-volume-network-token-vol-gets-listed-on-kucoin?lang=en_US,VOL-USDT,VOL,HIGH,announcement_new-listings_2019-04-01_2019-07-01_p1
2103,2019-06-20T15:33:40+00:00,Algorand (ALGO) Gets Listed on KuCoin!,KuCoin is extremely proud to announce yet another great project coming to our trading platform. Algorand (ALGO) is now available on KuCoin. Supported trading pairs include ALGO/ETH and ALGO/USDT.,new-listings,https://www.kucoin.com/announcement/en-algorand-algo-gets-listed-on-kucoin?lang=en_US,ALGO-USDT,ALGO,HIGH,announcement_new-listings_2019-04-01_2019-07-01_p1
2072,2019-06-18T08:23:16+00:00,PIVX (PIVX) Gets Listed on KuCoin!,PIVX (PIVX) is now available on KuCoin. Supported trading pairs include PIVX/BTC and PIVX/ETH.,new-listings,https://www.kucoin.com/announcement/en-pivx-gets-listed-on-kucoin?lang=en_US,,PIVX,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-04-01_2019-07-01_p1
2074,2019-06-17T08:00:01+00:00,Jarvis+ (JAR) Gets Listed on KuCoin! World Premiere!,Jarvis+ (JAR) is now available on KuCoin. Supported trading pairs include JAR/BTC and JAR/ETH.,new-listings,https://www.kucoin.com/announcement/en-jarvis-jar-gets-listed-on-kucoin-world-premiere?lang=en_US,,JAR,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-04-01_2019-07-01_p1
2017,2019-06-04T10:05:55+00:00,Announcement of Completion of COTI Lottery Draw and Opening of Trading Service,"In accordance with the lottery rules of the COTI token sale, KuCoin has completed the COTI lottery draw. The results of the lottery draw are as follows:",new-listings,https://www.kucoin.com/announcement/en-announcement-of-completion-of-coti-lottery-draw-and-opening-of-trading-service?lang=en_US,,,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-04-01_2019-07-01_p1
1996,2019-05-30T08:11:35+00:00,Nimiq (NIM) Gets Listed on KuCoin!,KuCoin is extremely proud to announce yet another great project coming to our trading platform. Nimiq (NIM) is now available on KuCoin. Supported trading pairs include NIM/BTC and NIM/ETH.,new-listings,https://www.kucoin.com/announcement/en-nimiq-nim-gets-listed-on-kucoin?lang=en_US,,NIM,LOW_NO_EXPLICIT_PAIR,announcement_new-listings_2019-04-01_2019-07-01_p1
