currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation,historical_base_usdt_kline_found
00,00,P00LS,False,False,0,00,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
0G,0G,0g,False,False,1,0G,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
1000BONKUP,1000BONKUP,1000BONK 2-4 Long,False,False,1,1000BONKUP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
1CAT,1CAT,Bitcoin Cats,False,False,1,1CAT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
1EARTH,1EARTH,EarthFund,False,True,1,1EARTH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
1INCH,1INCH,1INCH Token,False,True,2,1INCH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
2CRZ,2CRZ,2Crazy,False,False,1,2CRZ,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
2U2,2U2,2U2.ai,False,False,1,2U2,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
2Z,2Z,DoubleZero,False,False,1,2Z,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
9BIT,9BIT,The9bit,False,False,1,9BIT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
A,A,Vaulta,False,False,1,,LOW,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
A2Z,A2Z,Arena Z,False,False,1,A2Z,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
A47,A47,AGENDA 47,False,False,1,A47,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AA,AA,A3S Protocol,False,False,1,AA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AAVE,AAVE,Aave,True,True,2,AAVE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AAVE3L,AAVE3L,AAVE 3x Long,False,False,1,AAVE3L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AAVE3S,AAVE3S,AAVE 3x Short,False,False,1,AAVE3S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ABBC,ABBC,ABBC Coin,False,False,1,ABBC,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ABT,ABT,Arcblock,False,False,1,ABT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACA,ACA,Acala,False,True,1,ACA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACAT,ACAT,Alphacat,False,False,1,ACAT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACEOLD,ACEOLD,ACENT,False,False,1,ACEOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACH,ACH,Alchemy Pay,False,True,1,ACH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ACN,ACN,AITECH Cloud Network,False,False,1,ACN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACOIN,ACOIN,Alchemy,False,False,1,ACOIN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACQ,ACQ,Acquire.Fi,False,False,1,ACQ,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACS,ACS,Access Protocol,False,True,1,ACS,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ACTOLD,ACTOLD,AChain,False,False,1,ACTOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACTSOL,ACTSOL,Act I The AI Prophecy,False,False,1,ACTSOL,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACU,ACU,Acurast,False,False,1,ACU,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ACX,ACX,Across Protocol,False,False,1,ACX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ADA,ADA,Cardano,True,True,1,ADA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ADA3L,ADA3L,ADA 3x Long,False,False,1,ADA3L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ADA3S,ADA3S,ADA 3x Short,False,False,1,ADA3S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ADB,ADB,Adbank,False,False,1,ADB,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ADI,ADI,ADI,False,False,2,ADI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ADS,ADS,Alkimi,False,False,1,ADS,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ADX,ADX,heyAura,False,False,1,ADX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AED,AED,UAE Dirham,False,False,0,AED,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AEG,AEG,Aether Games,False,False,1,AEG,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AEON,AEON,AEON,False,False,1,AEON,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AERGO,AERGO,Aergo,False,False,1,AERGO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
