announcement_id,published_at,title,candidate_symbols,event_type
88249,2023-10-17T06:31:19+00:00,KuCoin Earn Will Delist Mojito Swap,,RENAME_OR_MIGRATION
4778,2020-09-17T08:33:20+00:00,Uniswap (UNI) Gets Listed on KuCoin!,UNI,RENAME_OR_MIGRATION
5599,2020-12-21T10:00:08+00:00,MoneySwap (MSWAP) Gets Listed on KuCoin!,MSWAP,RENAME_OR_MIGRATION
5067,2020-10-21T13:46:58+00:00,"Token Swap Completed, UBIX.Network (UBX) Gets listed on KuCoin",SWAP;UBX,RENAME_OR_MIGRATION
6345,2021-02-23T10:00:41+00:00,ZeroSwap (ZEE) Gets Listed on KuCoin!,ZEE,RENAME_OR_MIGRATION
6277,2021-02-20T03:14:14+00:00,PancakeSwap (CAKE) Gets Listed on KuCoin!,CAKE,RENAME_OR_MIGRATION
5963,2021-01-21T16:13:42+00:00,SushiSwap (SUSHI) Gets Listed on KuCoin!,SUSHI,RENAME_OR_MIGRATION
9729,2021-09-22T10:09:15+00:00,DinoSwap (DINO) Gets Listed on KuCoin!,DINO;UTC,RENAME_OR_MIGRATION
9441,2021-09-07T10:00:10+00:00,IX Swap (IXS) Gets Listed on KuCoin! World Premiere!,IXS;UTC,RENAME_OR_MIGRATION
9278,2021-08-31T09:41:37+00:00,MakiSwap (MAKI) Gets Listed on KuCoin!,MAKI;UTC,RENAME_OR_MIGRATION
11129,2021-12-16T09:56:26+00:00,Falcon Swaps (FALCONS) Gets Listed on KuCoin! World Premiere!,FALCONS;UTC,RENAME_OR_MIGRATION
10663,2021-11-23T14:14:42+00:00,Burger Swap (BURGER) Gets Listed on KuCoin!,BURGER;UTC,RENAME_OR_MIGRATION
10481,2021-11-16T10:00:26+00:00,Kava Swap (SWP) Gets Listed on KuCoin!,SWP;UTC,RENAME_OR_MIGRATION
12003,2022-02-09T10:00:20+00:00,MojitoSwap (MJT) Gets Listed on KuCoin! World Premiere!,MJT;UTC,RENAME_OR_MIGRATION
15713,2022-05-05T09:00:12+00:00,Biswap (BSW) Gets Listed on KuCoin!,BSW;UTC,RENAME_OR_MIGRATION
13210,2022-04-05T13:02:50+00:00,Titan Swap (TITAN) Gets Listed on KuCoin!,TITAN;UTC,RENAME_OR_MIGRATION
116628,2024-07-29T02:02:37+00:00,Liquidswap (LSD) Gets Listed on KuCoin! World Premiere!,LSD;UTC,RENAME_OR_MIGRATION
