announcement_non_spot_text,classification,p0b_boundary_status,p0b_evidence_note,p0b_pre_delisting_kline_found,p0b_resolution,pair,post_delisting_kline_checked,post_delisting_kline_found,pre_delisting_kline_found,technical_failure_reason
True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,EXACT_FULL_HISTORY,full-history pre-event row retained,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,ACS-USDT,True,True,True,
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,BOND-USDT,True,False,False,No E3 pre-event row in bounded window
True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,EXACT_FULL_HISTORY,full-history pre-event row retained,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,CELR-USDT,True,True,True,
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,DAR-USDT,True,False,False,No E3 pre-event row in bounded window
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,DC-USDT,True,False,False,No E3 pre-event row in bounded window
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,KLAY-USDT,True,False,False,No E3 pre-event row in bounded window
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,LIT-USDT,True,False,False,No E3 pre-event row in bounded window
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,MSN-USDT,True,False,False,No E3 pre-event row in bounded window
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,ORN-USDT,True,False,False,No E3 pre-event row in bounded window
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,PERP-USDT,True,False,False,No E3 pre-event row in bounded window
True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,EXACT_FULL_HISTORY,full-history pre-event row retained,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,POLS-USDT,True,True,True,
True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,EXACT_FULL_HISTORY,full-history pre-event row retained,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,QI-USDT,True,True,True,
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,RNDR-USDT,True,False,False,No E3 pre-event row in bounded window
True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,EXACT_FULL_HISTORY,full-history pre-event row retained,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,RPL-USDT,True,True,True,
True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,EXACT_FULL_HISTORY,full-history pre-event row retained,True,CONFIRMED_HISTORICALLY_DELISTED_PAIR,XEM-USDT,True,True,True,
True,NO_HISTORICAL_KLINES_FOUND,NO_BOUNDARY,no retained pre-event row in complete acquired history,False,NO_HISTORICAL_KLINES_AFTER_COMPLETE_PROBE,ZKX-USDT,True,False,False,No E3 pre-event row in bounded window
