pair,resolution,boundary_status,first_valid_open,last_valid_open,discovery_channels
00-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
0G-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
1000BONKUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
1CAT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
1EARTH-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
1INCH-USDT,,EXACT_FULL_HISTORY,2020-12-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
2CRZ-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
2U2-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
2Z-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
9BIT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
A-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
A2Z-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
A47-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AAVE-USDT,,EXACT_FULL_HISTORY,2020-10-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AAVE3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AAVE3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ABBC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ABT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ACA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ACAT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ACCORDING-USDT,,NOT_CONFIRMED,,,announcement_listing
ACE-USDT,,NOT_CONFIRMED,,,announcement_listing
ACEOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ACH-USDT,,EXACT_FULL_HISTORY,2022-05-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ACN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ACOIN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ACQ-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ACS-USDT,,EXACT_FULL_HISTORY,2023-02-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ACTOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ACTSOL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ACU-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ACX-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ADA-USDT,,EXACT_FULL_HISTORY,2019-07-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ADA3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ADA3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ADB-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ADI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ADS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
