pair,boundary_status,first_valid_open,last_valid_open,total_daily_rows,missing_calendar_day_count,maximum_internal_gap_days,duplicate_count
1INCH-USDT,EXACT_FULL_HISTORY,2020-12-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1468,0,0,0
AAVE-USDT,EXACT_FULL_HISTORY,2020-10-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1532,0,0,0
ACH-USDT,EXACT_FULL_HISTORY,2022-05-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,952,0,0,0
ACS-USDT,EXACT_FULL_HISTORY,2023-02-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,686,0,0,0
ADA-USDT,EXACT_FULL_HISTORY,2019-07-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2008,0,0,0
ADX-USDT,EXACT_FULL_HISTORY,2021-11-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1141,0,0,0
AGI-USDT,EXACT_FULL_HISTORY,2023-04-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,631,0,0,0
AGIX2L-USDT,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,0,0,0
AGIX2S-USDT,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,0,0,0
AGLD-USDT,EXACT_FULL_HISTORY,2021-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1175,0,0,0
AIOZ-USDT,EXACT_FULL_HISTORY,2021-06-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1295,0,0,0
AKT-USDT,EXACT_FULL_HISTORY,2022-05-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,970,0,0,0
ALEPH-USDT,EXACT_FULL_HISTORY,2020-09-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1576,0,0,0
ALEX-USDT,EXACT_FULL_HISTORY,2024-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,362,0,0,0
ALGO-USDT,EXACT_FULL_HISTORY,2019-06-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021,0,0,0
ALICE-USDT,EXACT_FULL_HISTORY,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1196,0,0,0
ALPINE-USDT,EXACT_FULL_HISTORY,2022-04-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,994,0,0,0
AMP-USDT,EXACT_FULL_HISTORY,2022-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1063,0,0,0
ANKR-USDT,EXACT_FULL_HISTORY,2021-03-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,1374,0,0,0
APE-USDT,EXACT_FULL_HISTORY,2022-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1021,0,0,0
API3-USDT,EXACT_FULL_HISTORY,2020-12-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,1462,0,0,0
APT-USDT,EXACT_FULL_HISTORY,2022-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,805,0,0,0
APT2L-USDT,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,187,0,0,0
APT2S-USDT,EXACT_FULL_HISTORY,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,187,0,0,0
AR-USDT,EXACT_FULL_HISTORY,2021-10-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,1163,0,0,0
ARB-USDT,EXACT_FULL_HISTORY,2023-03-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,650,0,0,0
ARKM-USDT,EXACT_FULL_HISTORY,2023-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,440,0,0,0
ARPA-USDT,EXACT_FULL_HISTORY,2019-07-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,1997,0,0,0
ARTFI-USDT,EXACT_FULL_HISTORY,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,198,0,0,0
ARTY-USDT,EXACT_FULL_HISTORY,2023-12-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,377,0,0,0
