applicable_end,applicable_start,boundary_status,coverage_ratio,covered_pair_days,documented_inactivity_boundary,expected_applicable_pair_days,first_valid_open,last_valid_open,missing_pair_days,pair,product_eligible
2024-12-31T00:00:00+00:00,2020-12-25T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1468,True,1468,2020-12-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,1INCH-USDT,True
2024-12-31T00:00:00+00:00,2020-10-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1532,True,1532,2020-10-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,AAVE-USDT,True
2024-12-31T00:00:00+00:00,2022-05-25T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,952,True,952,2022-05-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ACH-USDT,True
2024-12-31T00:00:00+00:00,2023-02-15T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,686,True,686,2023-02-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ACS-USDT,True
2024-12-31T00:00:00+00:00,2019-07-04T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,2008,True,2008,2019-07-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ADA-USDT,True
2024-12-31T00:00:00+00:00,2021-11-17T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1141,True,1141,2021-11-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ADX-USDT,True
2024-12-31T00:00:00+00:00,2023-04-11T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,631,True,631,2023-04-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,AGI-USDT,True
2024-12-31T00:00:00+00:00,2021-10-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1175,True,1175,2021-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,AGLD-USDT,True
2024-12-31T00:00:00+00:00,2021-06-16T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1295,True,1295,2021-06-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,AIOZ-USDT,True
2024-12-31T00:00:00+00:00,2022-05-07T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,970,True,970,2022-05-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,AKT-USDT,True
2024-12-31T00:00:00+00:00,2020-09-08T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1576,True,1576,2020-09-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ALEPH-USDT,True
2024-12-31T00:00:00+00:00,2024-01-05T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,362,True,362,2024-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ALEX-USDT,True
2024-12-31T00:00:00+00:00,2019-06-21T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,2021,True,2021,2019-06-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ALGO-USDT,True
2024-12-31T00:00:00+00:00,2021-09-23T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1196,True,1196,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ALICE-USDT,True
2024-12-31T00:00:00+00:00,2022-04-13T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,994,True,994,2022-04-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ALPINE-USDT,True
2024-12-31T00:00:00+00:00,2022-02-03T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1063,True,1063,2022-02-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,AMP-USDT,True
