changed_members,comparison,decision_time,exact_match,jaccard,left_eligible_count,mean_common_rank_displacement,right_eligible_count,symmetric_difference_size,top_n
BTC-USDT;ETH-USDT;VET-USDT,C_P0B_vs_C2,2019-01-07T00:00:00+00:00,False,0.0,3,0.0,0,3,4
BTC-USDT;ETH-USDT;VET-USDT,C_P0B_vs_C2,2019-01-07T00:00:00+00:00,False,0.0,3,0.0,0,3,6
BTC-USDT;ETH-USDT;VET-USDT,C_P0B_vs_C2,2019-01-07T00:00:00+00:00,False,0.0,3,0.0,0,3,8
BTC-USDT;ETH-USDT;VET-USDT,C_P0B_vs_C2,2019-01-07T00:00:00+00:00,False,0.0,3,0.0,0,3,10
BTC-USDT;ETH-USDT;VET-USDT,C_P0B_vs_C2,2019-01-07T00:00:00+00:00,False,0.0,3,0.0,0,3,30
BTC;ETH;VET,C_P0B_vs_C2,2019-01-07T00:00:00+00:00,False,0.0,3,0.0,0,3,HYSTERESIS
BTC-USDT;ETH-USDT;NEO-USDT;VET-USDT,C_P0B_vs_C2,2019-01-14T00:00:00+00:00,False,0.0,4,0.0,0,4,4
BTC-USDT;ETH-USDT;NEO-USDT;VET-USDT,C_P0B_vs_C2,2019-01-14T00:00:00+00:00,False,0.0,4,0.0,0,4,6
BTC-USDT;ETH-USDT;NEO-USDT;VET-USDT,C_P0B_vs_C2,2019-01-14T00:00:00+00:00,False,0.0,4,0.0,0,4,8
BTC-USDT;ETH-USDT;NEO-USDT;VET-USDT,C_P0B_vs_C2,2019-01-14T00:00:00+00:00,False,0.0,4,0.0,0,4,10
BTC-USDT;ETH-USDT;NEO-USDT;VET-USDT,C_P0B_vs_C2,2019-01-14T00:00:00+00:00,False,0.0,4,0.0,0,4,30
BTC;ETH;NEO;VET,C_P0B_vs_C2,2019-01-14T00:00:00+00:00,False,0.0,4,0.0,0,4,HYSTERESIS
BTC-USDT;ETH-USDT,C_P0B_vs_C2,2019-01-21T00:00:00+00:00,False,0.0,2,0.0,0,2,4
BTC-USDT;ETH-USDT,C_P0B_vs_C2,2019-01-21T00:00:00+00:00,False,0.0,2,0.0,0,2,6
BTC-USDT;ETH-USDT,C_P0B_vs_C2,2019-01-21T00:00:00+00:00,False,0.0,2,0.0,0,2,8
BTC-USDT;ETH-USDT,C_P0B_vs_C2,2019-01-21T00:00:00+00:00,False,0.0,2,0.0,0,2,10
BTC-USDT;ETH-USDT,C_P0B_vs_C2,2019-01-21T00:00:00+00:00,False,0.0,2,0.0,0,2,30
BTC;ETH,C_P0B_vs_C2,2019-01-21T00:00:00+00:00,False,0.0,2,0.0,0,2,HYSTERESIS
,C_P0B_vs_C2,2019-01-28T00:00:00+00:00,True,1.0,2,0.0,2,0,4
,C_P0B_vs_C2,2019-01-28T00:00:00+00:00,True,1.0,2,0.0,2,0,6
,C_P0B_vs_C2,2019-01-28T00:00:00+00:00,True,1.0,2,0.0,2,0,8
,C_P0B_vs_C2,2019-01-28T00:00:00+00:00,True,1.0,2,0.0,2,0,10
,C_P0B_vs_C2,2019-01-28T00:00:00+00:00,True,1.0,2,0.0,2,0,30
,C_P0B_vs_C2,2019-01-28T00:00:00+00:00,True,1.0,2,2.0,2,0,HYSTERESIS
,C_P0B_vs_C2,2019-02-04T00:00:00+00:00,True,1.0,2,0.0,2,0,4
,C_P0B_vs_C2,2019-02-04T00:00:00+00:00,True,1.0,2,0.0,2,0,6
,C_P0B_vs_C2,2019-02-04T00:00:00+00:00,True,1.0,2,0.0,2,0,8
,C_P0B_vs_C2,2019-02-04T00:00:00+00:00,True,1.0,2,0.0,2,0,10
,C_P0B_vs_C2,2019-02-04T00:00:00+00:00,True,1.0,2,0.0,2,0,30
,C_P0B_vs_C2,2019-02-04T00:00:00+00:00,True,1.0,2,2.0,2,0,HYSTERESIS
,C_P0B_vs_C2,2019-02-11T00:00:00+00:00,True,1.0,2,0.0,2,0,4
,C_P0B_vs_C2,2019-02-11T00:00:00+00:00,True,1.0,2,0.0,2,0,6
,C_P0B_vs_C2,2019-02-11T00:00:00+00:00,True,1.0,2,0.0,2,0,8
,C_P0B_vs_C2,2019-02-11T00:00:00+00:00,True,1.0,2,0.0,2,0,10
,C_P0B_vs_C2,2019-02-11T00:00:00+00:00,True,1.0,2,0.0,2,0,30
,C_P0B_vs_C2,2019-02-11T00:00:00+00:00,True,1.0,2,2.0,2,0,HYSTERESIS
,C_P0B_vs_C2,2019-02-18T00:00:00+00:00,True,1.0,2,0.0,2,0,4
,C_P0B_vs_C2,2019-02-18T00:00:00+00:00,True,1.0,2,0.0,2,0,6
,C_P0B_vs_C2,2019-02-18T00:00:00+00:00,True,1.0,2,0.0,2,0,8
,C_P0B_vs_C2,2019-02-18T00:00:00+00:00,True,1.0,2,0.0,2,0,10
,C_P0B_vs_C2,2019-02-18T00:00:00+00:00,True,1.0,2,0.0,2,0,30
,C_P0B_vs_C2,2019-02-18T00:00:00+00:00,True,1.0,2,2.0,2,0,HYSTERESIS
,C_P0B_vs_C2,2019-02-25T00:00:00+00:00,True,1.0,2,0.0,2,0,4
,C_P0B_vs_C2,2019-02-25T00:00:00+00:00,True,1.0,2,0.0,2,0,6
,C_P0B_vs_C2,2019-02-25T00:00:00+00:00,True,1.0,2,0.0,2,0,8
,C_P0B_vs_C2,2019-02-25T00:00:00+00:00,True,1.0,2,0.0,2,0,10
,C_P0B_vs_C2,2019-02-25T00:00:00+00:00,True,1.0,2,0.0,2,0,30
,C_P0B_vs_C2,2019-02-25T00:00:00+00:00,True,1.0,2,2.0,2,0,HYSTERESIS
,C_P0B_vs_C2,2019-03-04T00:00:00+00:00,True,1.0,2,0.0,2,0,4
,C_P0B_vs_C2,2019-03-04T00:00:00+00:00,True,1.0,2,0.0,2,0,6
,C_P0B_vs_C2,2019-03-04T00:00:00+00:00,True,1.0,2,0.0,2,0,8
,C_P0B_vs_C2,2019-03-04T00:00:00+00:00,True,1.0,2,0.0,2,0,10
,C_P0B_vs_C2,2019-03-04T00:00:00+00:00,True,1.0,2,0.0,2,0,30
,C_P0B_vs_C2,2019-03-04T00:00:00+00:00,True,1.0,2,2.0,2,0,HYSTERESIS
,C_P0B_vs_C2,2019-03-11T00:00:00+00:00,True,1.0,3,0.0,3,0,4
,C_P0B_vs_C2,2019-03-11T00:00:00+00:00,True,1.0,3,0.0,3,0,6
,C_P0B_vs_C2,2019-03-11T00:00:00+00:00,True,1.0,3,0.0,3,0,8
,C_P0B_vs_C2,2019-03-11T00:00:00+00:00,True,1.0,3,0.0,3,0,10
,C_P0B_vs_C2,2019-03-11T00:00:00+00:00,True,1.0,3,0.0,3,0,30
,C_P0B_vs_C2,2019-03-11T00:00:00+00:00,True,1.0,3,3.0,3,0,HYSTERESIS
,C_P0B_vs_C2,2019-03-18T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-03-18T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-03-18T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-03-18T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-03-18T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-03-18T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-03-25T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-03-25T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-03-25T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-03-25T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-03-25T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-03-25T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-01T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-01T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-01T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-01T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-01T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-01T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-08T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-15T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-22T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,8
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,10
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,0.0,13,0,30
,C_P0B_vs_C2,2019-04-29T00:00:00+00:00,True,1.0,13,6.0,13,0,HYSTERESIS
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,4
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,6
,C_P0B_vs_C2,2019-05-06T00:00:00+00:00,True,1.0,13,0.0,13,0,8
