base_token,canonical_product_id,classification,classification_evidence,exclusion_reason,historical_row_count,is_product,leverage_direction,leverage_multiplier,pair,product_eligible,registered,variant_c2_presence,variant_d2_presence
1INCH,1INCH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1468,False,,,1INCH-USDT,True,False,True,False
AAVE,AAVE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1532,False,,,AAVE-USDT,True,False,True,True
ACH,ACH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,952,False,,,ACH-USDT,True,False,True,True
ACS,ACS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,686,False,,,ACS-USDT,True,False,True,True
ADA,ADA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2008,False,,,ADA-USDT,True,False,True,True
ADX,ADX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1141,False,,,ADX-USDT,True,False,True,True
AGI,AGI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,631,False,,,AGI-USDT,True,False,True,False
AGIX2L,AGIX2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,188,True,L,2,AGIX2L-USDT,False,True,False,False
AGIX2S,AGIX2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,188,True,S,2,AGIX2S-USDT,False,True,False,False
AGLD,AGLD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1175,False,,,AGLD-USDT,True,False,True,True
AIOZ,AIOZ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1295,False,,,AIOZ-USDT,True,False,True,True
AKT,AKT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,970,False,,,AKT-USDT,True,False,True,True
ALEPH,ALEPH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1576,False,,,ALEPH-USDT,True,False,True,True
ALEX,ALEX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,362,False,,,ALEX-USDT,True,False,True,True
ALGO,ALGO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2021,False,,,ALGO-USDT,True,False,True,True
ALICE,ALICE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1196,False,,,ALICE-USDT,True,False,True,True
ALPINE,ALPINE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,994,False,,,ALPINE-USDT,True,False,True,True
AMP,AMP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1063,False,,,AMP-USDT,True,False,True,True
ANKR,ANKR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1374,False,,,ANKR-USDT,True,False,True,True
APE,APE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1021,False,,,APE-USDT,True,False,True,True
API3,API3,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1462,False,,,API3-USDT,True,False,True,True
APT,APT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,805,False,,,APT-USDT,True,False,True,True
APT2L,APT2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,187,True,L,2,APT2L-USDT,False,True,False,False
APT2S,APT2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,187,True,S,2,APT2S-USDT,False,True,False,False
AR,AR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1163,False,,,AR-USDT,True,False,True,True
ARB,ARB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,650,False,,,ARB-USDT,True,False,True,True
ARKM,ARKM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,440,False,,,ARKM-USDT,True,False,True,True
ARPA,ARPA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1997,False,,,ARPA-USDT,True,False,True,True
ARTFI,ARTFI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,198,False,,,ARTFI-USDT,True,False,True,False
ARTY,ARTY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,377,False,,,ARTY-USDT,True,False,True,True
ASTR,ASTR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1077,False,,,ASTR-USDT,True,False,True,True
ATA,ATA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1147,False,,,ATA-USDT,True,False,True,True
ATOM,ATOM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2049,False,,,ATOM-USDT,True,False,True,True
AUCTION,AUCTION,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,391,False,,,AUCTION-USDT,True,False,True,True
AUDIO,AUDIO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1148,False,,,AUDIO-USDT,True,False,True,True
AURORA,AURORA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,982,False,,,AURORA-USDT,True,False,True,True
AVA,AVA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2127,False,,,AVA-USDT,True,False,True,False
AVAX,AVAX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1398,False,,,AVAX-USDT,True,False,True,True
AXS,AXS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1265,False,,,AXS-USDT,True,False,True,True
AZERO,AZERO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,778,False,,,AZERO-USDT,True,False,True,True
BABYDOGE,BABYDOGE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,623,False,,,BABYDOGE-USDT,True,False,True,True
BAL,BAL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1216,False,,,BAL-USDT,True,False,True,True
BAND,BAND,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1195,False,,,BAND-USDT,True,False,True,True
BAT,BAT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1423,False,,,BAT-USDT,True,False,True,True
BAX,BAX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1364,False,,,BAX-USDT,True,False,True,False
BCH,BCH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1507,False,,,BCH-USDT,True,False,True,True
BCHSV,BCHSV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2147,False,,,BCHSV-USDT,True,False,True,False
BDX,BDX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,722,False,,,BDX-USDT,True,False,True,True
BFC,BFC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,966,False,,,BFC-USDT,True,False,True,True
BICO,BICO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1013,False,,,BICO-USDT,True,False,True,True
BIGTIME,BIGTIME,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,447,False,,,BIGTIME-USDT,True,False,True,True
BLUR,BLUR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,687,False,,,BLUR-USDT,True,False,True,True
BLUR2L,BLUR2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,181,True,L,2,BLUR2L-USDT,False,True,False,False
BLUR2S,BLUR2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,181,True,S,2,BLUR2S-USDT,False,True,False,False
BLZ,BLZ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,672,False,,,BLZ-USDT,True,False,True,True
BNB,BNB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2023,False,,,BNB-USDT,True,False,True,True
BNC,BNC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1007,False,,,BNC-USDT,True,False,True,True
BOBA,BOBA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,967,False,,,BOBA-USDT,True,False,True,True
BONK,BONK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,400,False,,,BONK-USDT,True,False,True,True
