pair,canonical_asset_id,discovery_channels,provenance_category,current_seed_only,secondary_channels
1INCH-USDT,1INCH,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AAVE-USDT,AAVE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ACH-USDT,ACH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ACS-USDT,ACS,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ADA-USDT,ADA,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ADX-USDT,ADX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AGI-USDT,AGI,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AGIX2L-USDT,AGIX2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AGIX2S-USDT,AGIX2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AGLD-USDT,AGLD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AIOZ-USDT,AIOZ,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AKT-USDT,AKT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALEPH-USDT,ALEPH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALEX-USDT,ALEX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALGO-USDT,ALGO,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ALICE-USDT,ALICE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ALPINE-USDT,ALPINE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
AMP-USDT,AMP,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ANKR-USDT,ANKR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
APE-USDT,APE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
API3-USDT,API3,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
APT-USDT,APT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
APT2L-USDT,APT2L,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
APT2S-USDT,APT2S,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
AR-USDT,AR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ARB-USDT,ARB,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
ARKM-USDT,ARKM,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ARPA-USDT,ARPA,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ARTFI-USDT,ARTFI,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ARTY-USDT,ARTY,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
