variant,membership_type,decision_time,member_count,one_week_turnover_count,four_week_turnover_count,one_week_retention_rate,four_week_retention_rate,changed
C_P0B,top_6,2019-01-07T00:00:00+00:00,3,3,3,1.0,1.0,True
C_P0B,top_6,2019-01-14T00:00:00+00:00,4,1,4,1.0,1.0,True
C_P0B,top_6,2019-01-21T00:00:00+00:00,2,2,2,0.5,1.0,True
C_P0B,top_6,2019-01-28T00:00:00+00:00,2,0,2,1.0,1.0,False
C_P0B,top_6,2019-02-04T00:00:00+00:00,2,0,1,1.0,0.6666666666666666,False
C_P0B,top_6,2019-02-11T00:00:00+00:00,2,0,2,1.0,0.5,False
C_P0B,top_6,2019-02-18T00:00:00+00:00,2,0,0,1.0,1.0,False
C_P0B,top_6,2019-02-25T00:00:00+00:00,2,0,0,1.0,1.0,False
C_P0B,top_6,2019-03-04T00:00:00+00:00,2,0,0,1.0,1.0,False
C_P0B,top_6,2019-03-11T00:00:00+00:00,3,1,1,1.0,1.0,True
C_P0B,top_6,2019-03-18T00:00:00+00:00,6,3,4,1.0,1.0,True
C_P0B,top_6,2019-03-25T00:00:00+00:00,6,0,4,1.0,1.0,False
C_P0B,top_6,2019-04-01T00:00:00+00:00,6,0,4,1.0,1.0,False
C_P0B,top_6,2019-04-08T00:00:00+00:00,6,0,3,1.0,1.0,False
C_P0B,top_6,2019-04-15T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-04-22T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-04-29T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-05-06T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-05-13T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-05-20T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-05-27T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-06-03T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-06-10T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-06-17T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-06-24T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-07-01T00:00:00+00:00,6,0,0,1.0,1.0,False
C_P0B,top_6,2019-07-08T00:00:00+00:00,6,0,0,1.0,1.0,False
