variant,scope,year,decision_count,mean_inventory_available_count,mean_eligible_asset_count,mean_listing_age_days,median_of_median_listing_age_days,newly_eligible_count,newly_inactive_count,temporary_eligibility_loss_count,permanent_exit_count,weeks_at_least_4,weeks_at_least_6,weeks_at_least_8,weeks_at_least_10,weeks_at_least_30
C2,FULL_ONLY,2019,12,15.25,3.4166666666666665,336.88247863247864,468.5,13,0,0,0,2,2,2,2,0
C2,POST_WARMUP,2019,40,26.725,19.875,379.501576247522,358.5,18,0,0,0,40,40,40,40,6
C2,POST_WARMUP,2020,52,44.69230769230769,37.51923076923077,502.3131767475917,408.75,26,0,0,0,52,52,52,52,52
C2,POST_WARMUP,2021,52,127.73076923076923,96.51923076923077,487.02633505557753,322.25,109,0,0,0,52,52,52,52,52
C2,POST_WARMUP,2022,52,241.71153846153845,222.23076923076923,515.8134755897746,410.5,92,0,0,0,52,52,52,52,52
C2,POST_WARMUP,2023,52,305.5,289.11538461538464,742.0473082893636,660.25,59,0,0,0,52,52,52,52,52
C2,POST_WARMUP,2024,53,361.33962264150944,352.6792452830189,962.6005935930814,965.0,47,0,0,0,53,53,53,53,53
D2,FULL_ONLY,2019,12,6.0,2.25,345.8333333333333,470.0,6,0,0,0,2,2,0,0,0
D2,POST_WARMUP,2019,40,13.45,9.55,409.49724450386213,506.5,12,0,0,0,40,40,15,14,0
D2,POST_WARMUP,2020,52,27.057692307692307,21.23076923076923,460.3982088619869,363.0,20,0,0,0,52,52,52,52,5
D2,POST_WARMUP,2021,52,100.1923076923077,72.26923076923077,407.37315731076194,271.75,96,0,0,0,52,52,52,52,52
D2,POST_WARMUP,2022,52,206.78846153846155,188.25,454.89611464650756,370.75,89,0,0,0,52,52,52,52,52
D2,POST_WARMUP,2023,52,258.3076923076923,246.25,696.1974521135679,652.5,43,0,0,0,52,52,52,52,52
D2,POST_WARMUP,2024,53,298.58490566037733,292.79245283018867,942.2205860981247,963.0,33,0,0,0,53,53,53,53,53
