comparison,scope,top_n,decision_count,exact_match_count,exact_match_rate,zero_substitution_weeks,one_substitution_weeks,two_substitution_weeks,three_substitution_weeks,more_than_three_substitution_weeks,mean_substitutions,median_substitutions,mean_jaccard
D2_vs_C2,FULL,4,313,259,0.8274760383386581,259,54,0,0,0,0.17252396166134185,0.0,0.9309904153354632
D2_vs_C2,FULL,6,313,158,0.5047923322683706,158,146,9,0,0,0.5239616613418531,0.0,0.8523505248744867
D2_vs_C2,FULL,8,313,114,0.36421725239616615,114,105,88,4,2,0.9616613418530351,1.0,0.815956691515797
D2_vs_C2,FULL,10,313,79,0.2523961661341853,79,83,81,32,38,1.597444089456869,1.0,0.7631595241818885
D2_vs_C2,FULL,30,313,10,0.03194888178913738,10,25,35,46,197,6.792332268370607,5.0,0.6952242890648799
D2_vs_C2,FULL,HYSTERESIS,313,127,0.4057507987220447,127,164,22,0,0,0.6645367412140575,1.0,0.8151528982199909
D2_vs_C2,POST_WARMUP,4,301,248,0.8239202657807309,248,53,0,0,0,0.1760797342192691,0.0,0.9295681063122923
D2_vs_C2,POST_WARMUP,6,301,148,0.49169435215946844,148,144,9,0,0,0.5382059800664452,1.0,0.8483626008542953
D2_vs_C2,POST_WARMUP,8,301,104,0.34551495016611294,104,105,86,4,2,0.9867109634551495,1.0,0.8102805463270579
D2_vs_C2,POST_WARMUP,10,301,69,0.2292358803986711,69,83,81,32,36,1.6345514950166113,1.0,0.7563751862755185
D2_vs_C2,POST_WARMUP,30,301,0,0.0,0,25,35,46,195,7.016611295681063,5.0,0.6866515799143867
D2_vs_C2,POST_WARMUP,HYSTERESIS,301,117,0.38870431893687707,117,162,22,0,0,0.6843853820598007,1.0,0.8096820123398196
