comparison,scope,year,top_n,decision_count,exact_match_rate,mean_jaccard,mean_symmetric_difference,mean_substitution_count,mean_rank_displacement,mean_spearman_common,mean_eligible_count_difference,mean_turnover_difference
A2_vs_C2,FULL_ONLY,2019,4,12,0.8333333333333334,0.9583333333333334,0.16666666666666666,0.16666666666666666,0.0,1.0,-1.6666666666666667,-0.8333333333333334
A2_vs_C2,FULL_ONLY,2019,6,12,0.8333333333333334,0.9166666666666666,0.5,0.5,0.0,1.0,-1.6666666666666667,-0.8333333333333334
A2_vs_C2,FULL_ONLY,2019,8,12,0.8333333333333334,0.8958333333333334,0.8333333333333334,0.8333333333333334,0.0,1.0,-1.6666666666666667,-0.8333333333333334
A2_vs_C2,FULL_ONLY,2019,10,12,0.8333333333333334,0.8833333333333334,1.1666666666666667,1.1666666666666667,0.0,1.0,-1.6666666666666667,-0.8333333333333334
A2_vs_C2,FULL_ONLY,2019,30,12,0.8333333333333334,0.8717948717948717,1.6666666666666667,1.6666666666666667,0.0,1.0,-1.6666666666666667,-0.8333333333333334
A2_vs_C2,FULL_ONLY,2019,HYSTERESIS,12,0.8333333333333334,0.9166666666666666,0.5,0.5,0.0,1.0,-1.6666666666666667,-0.25
A2_vs_C2,POST_WARMUP,2019,4,40,0.0,0.6016666666666667,1.975,1.375,3.8775072150072147,0.9835554985945155,-14.0,-13.15
A2_vs_C2,POST_WARMUP,2019,6,40,0.0,0.40639880952380947,4.45,3.4,3.8775072150072147,0.9835554985945155,-14.0,-11.725
A2_vs_C2,POST_WARMUP,2019,8,40,0.0,0.31895833333333334,6.875,5.25,3.8775072150072147,0.9835554985945155,-14.0,-10.3
A2_vs_C2,POST_WARMUP,2019,10,40,0.0,0.2668761936592819,9.15,7.225,3.8775072150072147,0.9835554985945155,-14.0,-8.975
A2_vs_C2,POST_WARMUP,2019,30,40,0.0,0.26697911522930795,14.1,14.1,3.8775072150072147,0.9835554985945155,-14.0,-0.325
A2_vs_C2,POST_WARMUP,2019,HYSTERESIS,40,0.0,0.4313988095238095,4.2,3.15,3.8775072150072147,0.9835554985945155,-14.0,0.075
A2_vs_C2,POST_WARMUP,2020,4,52,0.1346153846153846,0.653846153846154,1.7307692307692308,0.8653846153846154,10.7596752606368,0.9758396705093244,-25.01923076923077,-24.576923076923077
A2_vs_C2,POST_WARMUP,2020,6,52,0.0,0.42902930402930395,4.884615384615385,2.4423076923076925,10.7596752606368,0.9758396705093244,-25.01923076923077,-24.576923076923077
A2_vs_C2,POST_WARMUP,2020,8,52,0.0,0.36941007710238477,7.461538461538462,3.730769230769231,10.7596752606368,0.9758396705093244,-25.01923076923077,-24.576923076923077
A2_vs_C2,POST_WARMUP,2020,10,52,0.0,0.348145915170802,9.76923076923077,4.884615384615385,10.7596752606368,0.9758396705093244,-25.01923076923077,-24.73076923076923
A2_vs_C2,POST_WARMUP,2020,30,52,0.0,0.2878756113694444,23.576923076923077,23.576923076923077,10.7596752606368,0.9758396705093244,-25.01923076923077,-7.615384615384615
A2_vs_C2,POST_WARMUP,2020,HYSTERESIS,52,0.0,0.4024725274725274,5.1923076923076925,2.5961538461538463,10.7596752606368,0.9758396705093244,-25.01923076923077,-0.15384615384615385
A2_vs_C2,POST_WARMUP,2021,4,52,0.0,0.5333333333333333,2.5,1.25,23.640031758317356,0.9624519015067414,-79.4423076923077,-77.46153846153847
