metric,old_value,corrected_value,classification,source
C_static_count,376,364,NUMERICALLY_CHANGED_SAME_INTERPRETATION,P2R/P1R2
D_static_count,299,299,UNCHANGED_MATERIALLY,P2R/P1R2
C_minus_D_count,77,65,DECISION_RELEVANT_CHANGE,P2R/P1R2
D2_vs_C2_top6_exact_full,0.4984025559105431,0.5047923322683706,NUMERICALLY_CHANGED_SAME_INTERPRETATION,P2R vs recomputed P2R2
D2_vs_C2_top10_exact_full,0.24600638977635783,0.2523961661341853,NUMERICALLY_CHANGED_SAME_INTERPRETATION,P2R vs recomputed P2R2
D2_vs_C2_top10_jaccard_full,0.760497117366127,0.7631595241818885,NUMERICALLY_CHANGED_SAME_INTERPRETATION,P2R vs recomputed P2R2
D2_vs_C2_top6_jaccard_post_warmup,0.8483626008542953,0.8483626008542953,SUPERSEDED,P2S vs recomputed P2R2
D2_vs_C2_top10_jaccard_post_warmup,0.7563751862755185,0.7563751862755185,SUPERSEDED,P2S vs recomputed P2R2
current_seed_top6_slot_share_full,0.08998935037273695,0.0873269435569755,NUMERICALLY_CHANGED_SAME_INTERPRETATION,P2R vs recomputed P2R2
old_p2r_risk,SEVERE,RECOMPUTED_SEPARATELY,DECISION_RELEVANT_CHANGE,P2R vs recomputed P2R2
old_p2s_decision,RD18_P2S_CONSENSUS_UNIVERSE_REDESIGN_REQUIRED,RECOMPUTED_SEPARATELY,SUPERSEDED,P2S vs recomputed P2R2
