pair,top_6_slots,slot_share,global_top_6_slot_share,cumulative_slot_share
BCHSV-USDT,65,0.38922155688622756,0.03528773072747014,0.38922155688622756
PEPE-USDT,33,0.19760479041916168,0.017915309446254073,0.5868263473053892
NEO-USDT,18,0.10778443113772455,0.009771986970684038,0.6946107784431138
VET-USDT,15,0.08982035928143713,0.008143322475570033,0.7844311377245509
GRAM-USDT,11,0.0658682634730539,0.005971769815418024,0.8502994011976048
SUI-USDT,10,0.059880239520958084,0.0054288816503800215,0.9101796407185628
TEL-USDT,10,0.059880239520958084,0.0054288816503800215,0.9700598802395209
KAS-USDT,2,0.011976047904191617,0.0010857763300760044,0.9820359281437125
MANA-USDT,2,0.011976047904191617,0.0010857763300760044,0.9940119760479041
XLM-USDT,1,0.005988023952095809,0.0005428881650380022,1.0
1INCH-USDT,0,0.0,0.0,1.0
AGI-USDT,0,0.0,0.0,1.0
AGIX2L-USDT,0,0.0,0.0,1.0
AGIX2S-USDT,0,0.0,0.0,1.0
APT2L-USDT,0,0.0,0.0,1.0
APT2S-USDT,0,0.0,0.0,1.0
ARTFI-USDT,0,0.0,0.0,1.0
AVA-USDT,0,0.0,0.0,1.0
BAX-USDT,0,0.0,0.0,1.0
BLUR2L-USDT,0,0.0,0.0,1.0
BLUR2S-USDT,0,0.0,0.0,1.0
CFX2L-USDT,0,0.0,0.0,1.0
CFX2S-USDT,0,0.0,0.0,1.0
CGPT-USDT,0,0.0,0.0,1.0
CHR-USDT,0,0.0,0.0,1.0
COMP-USDT,0,0.0,0.0,1.0
COTI-USDT,0,0.0,0.0,1.0
DAG-USDT,0,0.0,0.0,1.0
DASH-USDT,0,0.0,0.0,1.0
DCR-USDT,0,0.0,0.0,1.0
DENT-USDT,0,0.0,0.0,1.0
DGB-USDT,0,0.0,0.0,1.0
ENJ-USDT,0,0.0,0.0,1.0
ETC-USDT,0,0.0,0.0,1.0
ETN-USDT,0,0.0,0.0,1.0
GAS-USDT,0,0.0,0.0,1.0
GRT2L-USDT,0,0.0,0.0,1.0
GRT2S-USDT,0,0.0,0.0,1.0
KNC-USDT,0,0.0,0.0,1.0
KPOL-USDT,0,0.0,0.0,1.0
LOCUS-USDT,0,0.0,0.0,1.0
LSK-USDT,0,0.0,0.0,1.0
LYX-USDT,0,0.0,0.0,1.0
MAN-USDT,0,0.0,0.0,1.0
MAPO-USDT,0,0.0,0.0,1.0
MONPRO-USDT,0,0.0,0.0,1.0
MTV-USDT,0,0.0,0.0,1.0
NAVI-USDT,0,0.0,0.0,1.0
NFP-USDT,0,0.0,0.0,1.0
NXRA-USDT,0,0.0,0.0,1.0
ONT-USDT,0,0.0,0.0,1.0
OORT-USDT,0,0.0,0.0,1.0
OP2L-USDT,0,0.0,0.0,1.0
OP2S-USDT,0,0.0,0.0,1.0
ORDI-USDT,0,0.0,0.0,1.0
P2P-USDT,0,0.0,0.0,1.0
PUNDIX-USDT,0,0.0,0.0,1.0
PZP-USDT,0,0.0,0.0,1.0
QKC-USDT,0,0.0,0.0,1.0
REQ-USDT,0,0.0,0.0,1.0
SNX-USDT,0,0.0,0.0,1.0
SOUL-USDT,0,0.0,0.0,1.0
STRAX-USDT,0,0.0,0.0,1.0
TIME-USDT,0,0.0,0.0,1.0
TRAC-USDT,0,0.0,0.0,1.0
UTK-USDT,0,0.0,0.0,1.0
VANRY-USDT,0,0.0,0.0,1.0
VOLT-USDT,0,0.0,0.0,1.0
WAX-USDT,0,0.0,0.0,1.0
XDB-USDT,0,0.0,0.0,1.0
XEC-USDT,0,0.0,0.0,1.0
XRD-USDT,0,0.0,0.0,1.0
XYO-USDT,0,0.0,0.0,1.0
ZBCN-USDT,0,0.0,0.0,1.0
ZIL-USDT,0,0.0,0.0,1.0
ZKJ-USDT,0,0.0,0.0,1.0
ZRX-USDT,0,0.0,0.0,1.0
