asset_id,historical_symbol,eligible_weeks,top_30_weeks,top_10_weeks,top_6_weeks,hysteresis_weeks,maximum_rank,median_rank,best_rank,total_slot_contribution,consecutive_top6_duration,displaced_asset_when_applicable,displaced_assets,discovery_channels
1INCH-USDT,1INCH,197,14,0,0,0,252,121.0,20,0,0,,,current_currency_non_causal_seed
AGI-USDT,AGI,77,0,0,0,0,283,214.0,129,0,0,,,current_currency_non_causal_seed
AGIX2L-USDT,AGIX2L,14,0,0,0,0,303,264.5,233,0,0,,,current_currency_non_causal_seed
AGIX2S-USDT,AGIX2S,14,0,0,0,0,313,275.5,255,0,0,,,current_currency_non_causal_seed
APT2L-USDT,APT2L,14,0,0,0,0,309,296.5,269,0,0,,,current_currency_non_causal_seed
APT2S-USDT,APT2S,14,0,0,0,0,314,298.0,279,0,0,,,current_currency_non_causal_seed
ARTFI-USDT,ARTFI,16,0,0,0,0,291,192.0,177,0,0,,,current_currency_non_causal_seed
AVA-USDT,AVA,291,76,0,0,0,326,142.0,12,0,0,,,current_currency_non_causal_seed
BAX-USDT,BAX,182,0,0,0,0,339,182.0,47,0,0,,,current_currency_non_causal_seed
BCHSV-USDT,BCHSV,303,119,99,65,68,254,72.0,2,65,37,ADA-USDT,ADA-USDT;ATOM-USDT;KCS-USDT;LTC-USDT;TRX-USDT;XRP-USDT;XTZ-USDT,current_currency_non_causal_seed
BLUR2L-USDT,BLUR2L,13,0,0,0,0,306,288.0,239,0,0,,,current_currency_non_causal_seed
BLUR2S-USDT,BLUR2S,13,0,0,0,0,312,291.0,276,0,0,,,current_currency_non_causal_seed
CFX2L-USDT,CFX2L,79,0,0,0,0,366,335.0,204,0,0,,,current_currency_non_causal_seed
CFX2S-USDT,CFX2S,79,0,0,0,0,366,336.0,234,0,0,,,current_currency_non_causal_seed
CGPT-USDT,CGPT,78,0,0,0,0,211,111.5,58,0,0,,,current_currency_non_causal_seed
CHR-USDT,CHR,279,60,11,0,0,287,96.0,8,0,0,,,current_currency_non_causal_seed
COMP-USDT,COMP,223,25,2,0,0,279,118.0,9,0,0,,,current_currency_non_causal_seed
COTI-USDT,COTI,278,85,20,0,0,236,66.0,8,0,0,,,current_currency_non_causal_seed
DAG-USDT,DAG,255,57,0,0,0,167,78.0,13,0,0,,,current_currency_non_causal_seed
DASH-USDT,DASH,250,58,3,0,0,189,79.0,9,0,0,,,current_currency_non_causal_seed
DCR-USDT,DCR,45,0,0,0,0,362,349.0,313,0,0,,,current_currency_non_causal_seed
DENT-USDT,DENT,45,0,0,0,0,339,318.0,234,0,0,,,current_currency_non_causal_seed
DGB-USDT,DGB,229,16,0,0,0,282,131.0,22,0,0,,,current_currency_non_causal_seed
ENJ-USDT,ENJ,185,9,0,0,0,248,116.0,24,0,0,,,current_currency_non_causal_seed
ETC-USDT,ETC,303,110,43,0,0,152,42.0,7,0,0,,,current_currency_non_causal_seed
ETN-USDT,ETN,273,45,0,0,0,366,189.0,11,0,0,,,current_currency_non_causal_seed
GAS-USDT,GAS,187,0,0,0,0,342,252.0,56,0,0,,,current_currency_non_causal_seed
GRAM-USDT,GRAM,101,80,37,11,9,87,13.0,5,11,5,ADA-USDT,ADA-USDT;FET-USDT;INJ-USDT;JASMY-USDT;LTC-USDT;ONDO-USDT;SHIB-USDT;WIF-USDT;XMR-USDT;XRP-USDT,current_currency_non_causal_seed
GRT2L-USDT,GRT2L,14,0,0,0,0,310,294.0,277,0,0,,,current_currency_non_causal_seed
GRT2S-USDT,GRT2S,14,0,0,0,0,315,299.5,281,0,0,,,current_currency_non_causal_seed
KAS-USDT,KAS,74,72,24,2,4,33,13.0,6,2,2,AVAX-USDT,AVAX-USDT;RUNE-USDT,current_currency_non_causal_seed
KNC-USDT,KNC,127,0,0,0,0,351,276.0,151,0,0,,,current_currency_non_causal_seed
KPOL-USDT,KPOL,234,26,2,0,0,362,119.5,9,0,0,,,current_currency_non_causal_seed
LOCUS-USDT,LOCUS,76,0,0,0,0,354,178.5,70,0,0,,,current_currency_non_causal_seed
LSK-USDT,LSK,45,0,0,0,0,353,321.0,234,0,0,,,current_currency_non_causal_seed
LYX-USDT,LYX,63,0,0,0,0,186,133.0,83,0,0,,,current_currency_non_causal_seed
MAN-USDT,MAN,182,0,0,0,0,277,187.5,39,0,0,,,current_currency_non_causal_seed
MANA-USDT,MANA,185,43,10,2,4,254,59.0,5,2,2,AVAX-USDT,AVAX-USDT,current_currency_non_causal_seed
MAPO-USDT,MAPO,23,0,0,0,0,256,161.0,124,0,0,,,current_currency_non_causal_seed
MONPRO-USDT,MONPRO,19,0,0,0,0,336,111.0,90,0,0,,,current_currency_non_causal_seed
MTV-USDT,MTV,286,54,14,0,0,329,82.0,9,0,0,,,current_currency_non_causal_seed
NAVI-USDT,NAVI,96,0,0,0,0,289,217.5,96,0,0,,,current_currency_non_causal_seed
NEO-USDT,NEO,304,114,37,18,25,215,59.0,4,18,17,TRX-USDT,TRX-USDT,current_currency_non_causal_seed
NFP-USDT,NFP,38,0,0,0,0,346,318.5,260,0,0,,,current_currency_non_causal_seed
NXRA-USDT,NXRA,82,0,0,0,0,215,112.5,61,0,0,,,current_currency_non_causal_seed
ONT-USDT,ONT,303,83,5,0,0,334,138.0,8,0,0,,,current_currency_non_causal_seed
OORT-USDT,OORT,15,0,0,0,0,323,298.0,117,0,0,,,current_currency_non_causal_seed
OP2L-USDT,OP2L,27,0,0,0,0,317,286.0,270,0,0,,,current_currency_non_causal_seed
