pair,canonical_asset_id,confidence_class,variant_d_presence,p2t_identity_classification,current_seed_only,restricted_claim
1INCH,1INCH,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AAVE,AAVE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ACH,ACH,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ACS,ACS,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ADA,ADA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ADX,ADX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AGI,AGI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AGLD,AGLD,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AIOZ,AIOZ,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AKT,AKT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ALEPH,ALEPH,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ALEX,ALEX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ALGO,ALGO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ALICE,ALICE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ALPINE,ALPINE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AMP,AMP,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ANKR,ANKR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
APE,APE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
API3,API3,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
APT,APT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AR,AR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ARB,ARB,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ARKM,ARKM,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ARPA,ARPA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ARTFI,ARTFI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ARTY,ARTY,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ASTR,ASTR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ATA,ATA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
ATOM,ATOM,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AUCTION,AUCTION,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AUDIO,AUDIO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AURORA,AURORA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AVA,AVA,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AVAX,AVAX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AXS,AXS,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
AZERO,AZERO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BABYDOGE,BABYDOGE,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BAL,BAL,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BAND,BAND,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BAT,BAT,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BAX,BAX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BCH,BCH,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BCHSV,BCHSV,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BDX,BDX,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BFC,BFC,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BICO,BICO,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BIGTIME,BIGTIME,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BLUR,BLUR,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BLZ,BLZ,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BNB,BNB,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BNC,BNC,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
BOBA,BOBA,EVIDENCE_STRONG,True,,False,RESTRICTED_TO_376_KLINE_CONFIRMED_HISTORICAL_KUCOIN_SPOT_PAIRS
