variant,scope,flag,flagged_rows,affected_assets,affected_decisions,unresolved
E05,TOP_6,EXTREME_SINGLE_DAY_CONCENTRATION,32,8,18,False
E05,TOP_6,NO_FLAG,782,10,301,False
E05,TOP_6,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E05,TOP_6,VOLUME_PATTERN_PLAUSIBLE,992,33,300,False
E05,TOP_10,EXTREME_SINGLE_DAY_CONCENTRATION,79,15,42,False
E05,TOP_10,NO_FLAG,862,23,301,False
E05,TOP_10,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E05,TOP_10,VOLUME_PATTERN_PLAUSIBLE,2069,51,300,False
E05,TOP_30,EXTREME_SINGLE_DAY_CONCENTRATION,223,42,118,False
E05,TOP_30,NO_FLAG,2631,96,301,False
E05,TOP_30,PRICE_RANGE_VOLUME_DIVERGENCE,6,6,3,False
E05,TOP_30,VOLUME_PATTERN_PLAUSIBLE,5764,58,301,False
E05,HYSTERESIS,EXTREME_SINGLE_DAY_CONCENTRATION,34,7,20,False
E05,HYSTERESIS,NO_FLAG,773,6,301,False
E05,HYSTERESIS,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E05,HYSTERESIS,VOLUME_PATTERN_PLAUSIBLE,999,28,300,False
E10,TOP_6,EXTREME_SINGLE_DAY_CONCENTRATION,32,8,18,False
E10,TOP_6,NO_FLAG,782,10,301,False
E10,TOP_6,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E10,TOP_6,VOLUME_PATTERN_PLAUSIBLE,992,33,300,False
E10,TOP_10,EXTREME_SINGLE_DAY_CONCENTRATION,79,15,42,False
E10,TOP_10,NO_FLAG,862,23,301,False
E10,TOP_10,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E10,TOP_10,VOLUME_PATTERN_PLAUSIBLE,2069,51,300,False
E10,TOP_30,EXTREME_SINGLE_DAY_CONCENTRATION,223,42,118,False
E10,TOP_30,NO_FLAG,2631,96,301,False
E10,TOP_30,PRICE_RANGE_VOLUME_DIVERGENCE,6,6,3,False
E10,TOP_30,VOLUME_PATTERN_PLAUSIBLE,5764,58,301,False
E10,HYSTERESIS,EXTREME_SINGLE_DAY_CONCENTRATION,34,7,20,False
E10,HYSTERESIS,NO_FLAG,773,6,301,False
E10,HYSTERESIS,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E10,HYSTERESIS,VOLUME_PATTERN_PLAUSIBLE,999,28,300,False
E15,TOP_6,EXTREME_SINGLE_DAY_CONCENTRATION,32,8,18,False
E15,TOP_6,NO_FLAG,783,11,301,False
E15,TOP_6,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E15,TOP_6,VOLUME_PATTERN_PLAUSIBLE,991,32,300,False
E15,TOP_10,EXTREME_SINGLE_DAY_CONCENTRATION,79,15,42,False
E15,TOP_10,NO_FLAG,862,23,301,False
E15,TOP_10,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E15,TOP_10,VOLUME_PATTERN_PLAUSIBLE,2069,51,300,False
E15,TOP_30,EXTREME_SINGLE_DAY_CONCENTRATION,223,42,118,False
E15,TOP_30,NO_FLAG,2631,96,301,False
E15,TOP_30,PRICE_RANGE_VOLUME_DIVERGENCE,6,6,3,False
E15,TOP_30,VOLUME_PATTERN_PLAUSIBLE,5764,58,301,False
E15,HYSTERESIS,EXTREME_SINGLE_DAY_CONCENTRATION,34,7,20,False
E15,HYSTERESIS,NO_FLAG,775,7,301,False
E15,HYSTERESIS,PRICE_RANGE_VOLUME_DIVERGENCE,2,2,1,False
E15,HYSTERESIS,VOLUME_PATTERN_PLAUSIBLE,997,28,300,False
