decision_time,period,variant,top_n,rank,pair,canonical_asset_id,confidence_class
2019-01-28T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-01-28T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-04T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-11T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-18T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-02-25T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-04T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-04T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
