cost_multiplier,end_equity,period,return,start_equity,trade_count,universe_id
1.0,100000.0,2019-04,0.0,100000.0,0,C2
1.0,100000.0,2019-05,0.0,100000.0,0,C2
1.0,100000.0,2019-06,0.0,100000.0,0,C2
1.0,100000.0,2019-07,0.0,100000.0,0,C2
1.0,95949.18245063911,2019-08,-0.040508175493608856,100000.0,7,C2
1.0,96011.23306709742,2019-09,0.0006467029199568319,95949.18245063911,3,C2
1.0,94079.81551362475,2019-10,-0.020116578985324485,96011.23306709742,6,C2
1.0,89335.51077230714,2019-11,-0.050428508128085525,94079.81551362475,18,C2
1.0,89047.32248840193,2019-12,-0.003225909623326917,89335.51077230714,1,C2
1.0,86455.64780525128,2020-01,-0.029104465027437576,89047.32248840193,15,C2
1.0,97671.74267207505,2020-02,0.12973235585590626,86455.64780525128,19,C2
1.0,98341.27220519255,2020-03,0.0068548949245781365,97671.74267207505,5,C2
1.0,110897.66966697818,2020-04,0.12768186927240732,98341.27220519255,15,C2
1.0,118243.74185992658,2020-05,0.06624189863509655,110897.66966697818,23,C2
1.0,117151.5005170728,2020-06,-0.009237202118888233,118243.74185992658,18,C2
1.0,140515.63389982766,2020-07,0.19943520381414115,117151.5005170728,30,C2
1.0,144002.83618693094,2020-08,0.024817183613812466,140515.63389982766,37,C2
1.0,133504.81516733282,2020-09,-0.07290148789827011,144002.83618693094,30,C2
1.0,129516.070612295,2020-10,-0.029877158737970477,133504.81516733282,38,C2
1.0,142549.8640243892,2020-11,0.1006345648881728,129516.070612295,32,C2
1.0,155000.17193759838,2020-12,0.08734001956732174,142549.8640243892,31,C2
1.0,158290.8642130153,2021-01,0.021230249194444273,155000.17193759838,37,C2
1.0,197152.9435290397,2021-02,0.24551056379177316,158290.8642130153,31,C2
1.0,194121.2110041775,2021-03,-0.015377566627178818,197152.9435290397,42,C2
1.0,204416.25821684435,2021-04,0.05303411801014013,194121.2110041775,36,C2
1.0,198171.18063869685,2021-05,-0.03055078706862313,204416.25821684435,21,C2
1.0,192762.92696300903,2021-06,-0.027290818262560967,198171.18063869685,9,C2
1.0,190621.8753276189,2021-07,-0.011107175374033273,192762.92696300903,11,C2
1.0,203906.9932269978,2021-08,0.06969356416489947,190621.8753276189,41,C2
1.0,198609.26863829867,2021-09,-0.02598108335990945,203906.9932269978,25,C2
1.0,201053.49885588337,2021-10,0.012306727849826782,198609.26863829867,38,C2
1.0,199205.5418843937,2021-11,-0.009191369371862157,201053.49885588337,19,C2
1.0,205161.6720069142,2021-12,0.029899419796147297,199205.5418843937,20,C2
1.0,199427.22194425185,2022-01,-0.02795088383988742,205161.6720069142,7,C2
1.0,198397.23055898934,2022-02,-0.005164748198470348,199427.22194425185,2,C2
1.0,199630.4046693687,2022-03,0.006215682078347884,198397.23055898934,15,C2
1.0,195774.03147962908,2022-04,-0.019317564356625017,199630.4046693687,10,C2
1.0,195774.03147962908,2022-05,0.0,195774.03147962908,0,C2
1.0,195774.03147962908,2022-06,0.0,195774.03147962908,0,C2
1.0,195774.03147962908,2022-07,0.0,195774.03147962908,0,C2
1.0,195774.03147962908,2022-08,0.0,195774.03147962908,0,C2
1.0,195236.25380796395,2022-09,-0.0027469305688844203,195774.03147962908,1,C2
1.0,194718.78494640713,2022-10,-0.0026504752650386987,195236.25380796395,2,C2
1.0,194718.78494640713,2022-11,0.0,194718.78494640713,0,C2
