pair,symbol,generation_status,candidate_rows,audit_rows,source_1h_bytes,source_1h_sha256
1INCH-USDT,1INCH/USDT,GENERATED,72,317,1430789,5dbe6382735f187c9ef0266788b31003f852aa45ea0b543c105082acc74c5676
AAVE-USDT,AAVE/USDT,GENERATED,143,516,1565416,84cff93676d92507a914d04ac4efb3cfe5fe062f92741d260991aeb98ae15056
ACH-USDT,ACH/USDT,GENERATED,96,306,961830,74d2e0e557d6f4a078a1e0312cd3dc3570fd7876582649b2bb993b65e11b67ba
ACS-USDT,ACS/USDT,GENERATED,3,72,759616,a667dfd8c8a11849497b1bb5d67257ed2505bacf8386ea768d5f2bceb63f7a36
ADA-USDT,ADA/USDT,GENERATED,285,766,2538961,8f585ac8b067d883078d7234a0e0b64cbe5c4ee0d9d475b7fefa37bc0b00ab7c
ADX-USDT,ADX/USDT,GENERATED,77,417,756422,5674e923f9faab0c2c358429d1ed9c5afe4ddbc3f9c365a383b5414a3b6891ee
AGI-USDT,AGI/USDT,GENERATED,29,120,662510,73a29e755e27460a90db9a9878ef8c3a8248aad918dc742cd9dd41211eccf650
AGLD-USDT,AGLD/USDT,GENERATED,61,406,931576,6e5255f76aaa3b0c9560a954c4f3d83b0c7eace260b32d35d14b2710747b28b7
AIOZ-USDT,AIOZ/USDT,GENERATED,84,287,1159829,aea924cf01e9b1da0586fe7ae04a4272424066dda6c9e35f613f42366ba0d962
AKT-USDT,AKT/USDT,GENERATED,118,398,850987,fcb504269f2f3cda8535c6aac8ee988d8f05a8f191307078b6357e722057812d
ALEPH-USDT,ALEPH/USDT,GENERATED,53,246,1656405,5e3f01133d0be5c4da612b8844b9f87d0386f40b3e88fd7bab0708ceff8201a0
ALEX-USDT,ALEX/USDT,GENERATED,2,14,272296,cfe6c6bb3123a1a820da7c9f156af534eded962603b465571d00208a0110c116
ALGO-USDT,ALGO/USDT,GENERATED,166,636,1459851,7458cbef939513fc7ae64cbc55b7a2ec514e6bd469a6714e32eff8c58f62c0c7
ALICE-USDT,ALICE/USDT,GENERATED,31,209,812439,433f81abae4fad5bc134fcfa313028e77ca5c1cf744b6d9a23551d318925ba18
ALPINE-USDT,ALPINE/USDT,GENERATED,0,153,563432,5ea27932bef744c90386e761dd8003105fdfcbf7125dbc537d79e3f7862f30b7
AMP-USDT,AMP/USDT,GENERATED,24,137,849953,4748372918a8ae25260a81c82227fde50e712d46df432b9d2ef6f833dd603da8
ANKR-USDT,ANKR/USDT,GENERATED,71,310,971008,492a007026faa47b6d61454d25add1c3d999b9281118207b39446b8af48d0b4e
APE-USDT,APE/USDT,GENERATED,22,124,1017198,18531651549fd5f539749814f13252a78b3a8f4bdbc0bd2ee1f3dfa748c46bb5
API3-USDT,API3/USDT,GENERATED,122,366,1105238,7cdde45bd7188f15a951f618db42fe6b8cbc42d950bd9dcc109a48988d8cd23e
APT-USDT,APT/USDT,GENERATED,83,304,878619,a1abf14b0339457f41e333e3c4de8bcad8d712e787b0e09f762549f29813ebab
AR-USDT,AR/USDT,GENERATED,82,273,1020316,2e3336b312f39e2dfd8083ae6b536da2ba74ca2a285fb24db10671d40638f44f
ARB-USDT,ARB/USDT,GENERATED,64,181,560150,1aec394bf348adbf76b1084d2fc47d92c6d92e6e6de57f2593981602882a0c3e
ARKM-USDT,ARKM/USDT,GENERATED,23,96,425921,496aa29e88666c9ee3bf42130540995fa28f331807c597ddc5e4e2e6f8b4a3ee
ARPA-USDT,ARPA/USDT,GENERATED,172,815,2268817,42f0042469d62b45e6aa1e916148a6dc2abe29462e43c9dd7c5406d3a548904d
ARTFI-USDT,ARTFI/USDT,NO_FEATURE_ROWS_AFTER_CAUSAL_WARMUP,0,0,152108,bd6c25c7d9ee726099ade11951f252b1048df1b330f44e1ade97b153aa59c394
ASTR-USDT,ASTR/USDT,GENERATED,82,283,856613,2c5e45c3dea66bce4ae04361295568a13bfe8bd55766f9f046f912c1151d3e36
ATA-USDT,ATA/USDT,GENERATED,5,223,910539,ab35deb146d95ec8b55ba844c854c96e8bfe393eb1c057b32fba81056e3887cd
ATOM-USDT,ATOM/USDT,GENERATED,220,828,2224986,6ce2daf7f94959f2cf3be56a884d8ff1b397ef4ebbdcbc4b52d27d8c9ee4b45a
AUCTION-USDT,AUCTION/USDT,GENERATED,0,32,241475,c84582ba255f30c57f46a64be9df3ac8902c1e99cd8e1c9c01d648b489fa18ea
AUDIO-USDT,AUDIO/USDT,GENERATED,32,156,811879,1e03a671d9693414efbf8f627d53236f42531cb3f9551ae339979ba17fdbc0b2
AURORA-USDT,AURORA/USDT,GENERATED,37,108,721165,d9d04bbdf412eb45ba211aabf159706a26f3b974b84874a35ccf70d11025bfcc
AVA-USDT,AVA/USDT,GENERATED,114,656,2587807,ba3579fde487301c35b5a84e8f69faad89d19d40d0455830df01acc061523902
AVAX-USDT,AVAX/USDT,GENERATED,130,459,1302735,39e0d8ff2b0190b1d203d2e5f761fc9f8c75a054f9ecdcb6cb01a0426e359d09
AXS-USDT,AXS/USDT,GENERATED,40,211,1044481,6a1f341475322919b86332a125770b683c74572cb21cc116d4a9adc01fe7ab88
AZERO-USDT,AZERO/USDT,GENERATED,28,102,641143,6df4c73bcf24650868ba95acae9ee40d97d7d7db3defe14240cdacbb50f3c709
BABYDOGE-USDT,BABYDOGE/USDT,GENERATED,43,137,444850,aa8bbd9119454fff12757277cb93d96fcf184d236bad7e19febaceb506f157bf
BAL-USDT,BAL/USDT,GENERATED,0,198,876869,1f7efbf87c7d6ec8a49ecb8a700e65a7f3205a91d0299019a37cceebc6cef3d9
BAND-USDT,BAND/USDT,GENERATED,43,294,1017356,352408747dd772cdc34630f2f2f004ebfb0192b21a9819a8071d4d0b2d316b5d
BAT-USDT,BAT/USDT,GENERATED,27,386,1032136,7d192aaf3bc96612dcb3deee0e175c6745e047cc78915c70e58d67064126ddb7
BAX-USDT,BAX/USDT,GENERATED,53,187,1303777,749ac61fe36fd28220a80fcd068190d63a281a5cb168cfdee552179881503549
BCH-USDT,BCH/USDT,GENERATED,144,449,1294744,ee3cbb9f56f69f7d29cbe1712b07d394df2a07a1c39306b74e08f57df2225771
BDX-USDT,BDX/USDT,GENERATED,87,269,534269,c50780e0f17be3bbe4d2216bf93d5bca0ec232349e54f4e432a92dd4796b53bb
BFC-USDT,BFC/USDT,GENERATED,0,213,648388,cbc0dfd3005f50601f02c3ea94961b47e86ecc4af31f0f957333fa9fa898c194
BICO-USDT,BICO/USDT,GENERATED,38,231,682684,d3de52519eb3a114e90b3d5f34d9750ab50a2127b81171b776a25521ef206e19
BIGTIME-USDT,BIGTIME/USDT,GENERATED,10,46,501752,b9c266937f2c0aa2762dff1cba9f1c12ad6c9bbc4beed339b72fdd8628b352e0
BLUR-USDT,BLUR/USDT,GENERATED,48,178,524000,10519ca724b93ae7783d1a96538d4341cb2d047608f627de99cc720a52e42616
BLZ-USDT,BLZ/USDT,GENERATED,41,185,696551,7b8171261e2d97b6f710e3e92ca45feaa836d33ce8068afb6c44cde79167be75
BNB-USDT,BNB/USDT,GENERATED,385,1226,2008383,2a8db08e2d07197f356f993a2f249ddae4f8f1236663f9d54e2b820483702220
BNC-USDT,BNC/USDT,GENERATED,44,194,685092,26edb9e807f467e1a124ef231ca7fa4a5078f6294d897aa41256e71f45aedde9
BOBA-USDT,BOBA/USDT,GENERATED,31,178,873909,8da9da73c8d82c2b8310b371f4ea1d1d0067c2361efa9c290cce458c590f9f50
BONK-USDT,BONK/USDT,GENERATED,21,79,492288,77ff7ef93d0d9d0926906e7d82a7565a8caa74481df44edd82891c97bb34d4ad
BOSON-USDT,BOSON/USDT,GENERATED,40,213,1033176,504ae339d3024803509f4f2ef2329f1f1c676dfe226b84dc424261c1d2774ba8
BRISE-USDT,BRISE/USDT,GENERATED,31,129,760023,4d941ed4836a42233e309bcda72a87f971d8b1639feb58b37b882bbd172fb100
BTC-USDT,BTC/USDT,GENERATED,481,1417,2325503,16ad84288c8ec859da367b9cafaf1c76a05045de4f81289b4b31b7840c08d773
BTT-USDT,BTT/USDT,GENERATED,62,312,1976597,ab7c2292b2e5f82955aecad7f9a9bdc61f6c4fe30485a892b26638bd995103c2
C98-USDT,C98/USDT,GENERATED,33,155,894313,211f6377ed53d8ab1dd453a066b2911fde8d3285be4b8d564c473b48cc6f77df
CAKE-USDT,CAKE/USDT,GENERATED,63,205,1048944,8fcf96aa1fc83e8835087e8424eada6fc0aef1f2e1312fd0e37d939f2d6e76d5
CCD-USDT,CCD/USDT,GENERATED,13,101,769902,b40bb3007f51d59beb2432014373d5bdfe14c54ae3f07a56fbf88e38985f2b94
CELO-USDT,CELO/USDT,GENERATED,78,326,1105476,5f3a67435f10db4afa6885620bbdd59df3281844f77cb9799debb71ed2aa1d12
CELR-USDT,CELR/USDT,GENERATED,27,331,650220,b9cb1baf3a87f6923806b3e201b50a7804cfef0533ff412d593455309db677ea
CERE-USDT,CERE/USDT,GENERATED,27,135,895136,b4439ace517f7cbeafe203ddbd61d99f8223cbeaf056b06e8f0dfb1f1e83a472
CETUS-USDT,CETUS/USDT,GENERATED,74,236,605746,89d9b8d26f2ad7402f368f9cb970e340a73f481254375e62583dcfb2ac814e77
CFG-USDT,CFG/USDT,GENERATED,70,266,925992,9cabb2a804f017946f3e2de0522f30fb3dd2121d6894fedc83e0dd2c3684bf90
CFX-USDT,CFX/USDT,GENERATED,104,377,1054758,887e01f79d9a31a949dce54e89125457fa956e1ca6675aaed911069746daf001
CGPT-USDT,CGPT/USDT,GENERATED,54,188,694716,3eef9808d747f086dfd21df9a63950079d4e0d4b6fb422829db52954e4ad91c1
CHR-USDT,CHR/USDT,GENERATED,171,638,2451027,72c7dca724e500a98c35b8f6f2d5bdb6971777bf43e013ba2e964a7779d8fd7c
CHZ-USDT,CHZ/USDT,GENERATED,78,321,1412749,3f3f37509b23faa7ca1100e32183456a89e9aa8b215bb85b85e43c31837bf126
CKB-USDT,CKB/USDT,GENERATED,77,360,1425317,34e583655e3879b745c1b5bb938eaedd5f949e5c965333daacb0ebfb1d999f2b
COMP-USDT,COMP/USDT,GENERATED,135,486,1279212,390f77d6d57ef40db1725b21964873c2aea22df2aebfc55df734b3a32aeaeb71
COQ-USDT,COQ/USDT,GENERATED,6,28,308214,431a8a74b595d729eba7f893e958f704252ab2adf34812be76e8dc5dfc1d0b74
COTI-USDT,COTI/USDT,GENERATED,175,592,2362786,52d0b4ba721d112037fb64bcea5b94d8959bcc7a228782343a38b058fcb0cb56
CPOOL-USDT,CPOOL/USDT,GENERATED,69,248,1073906,3157a63913ce1d1801f516cf47dc8219200735d3241684b7bf20a4127fab2f3c
CREDI-USDT,CREDI/USDT,GENERATED,76,253,1022198,119a60e7fe6ec53f3107314b048a81f3213585af70847ce0649b54aac5cc4217
CRO-USDT,CRO/USDT,GENERATED,178,562,1265474,f162e62e263b6b46ce5b7166c8da92ae1e9dd0b8e8af60cadab8d51e60a90849
CRV-USDT,CRV/USDT,GENERATED,82,362,1063543,73cbe08cb0894093667e3903c52c922c17bd07f7de991601e1e3c20aaf50bcac
CSPR-USDT,CSPR/USDT,GENERATED,52,205,670318,8d71c589eb50fe26e43455b259a0ff91f1be4d6bbfad64288b331abf9b56197f
CTC-USDT,CTC/USDT,GENERATED,42,231,762157,816a4715c339434cd2d69ac3b14129eb3e1f01bf7eb4e3e13e92d0a8cf9f2172
CTSI-USDT,CTSI/USDT,GENERATED,45,230,825683,b4e1914f05c7ebe89b37f247c558b4a2c94d8d105af6426ecd181b961371ba42
CVX-USDT,CVX/USDT,GENERATED,5,132,1017481,7a0e3de67d6bfd2cf75fdd465c809ca17c3c65a267f4ff7ad887cca3c75d6e20
CWEB-USDT,CWEB/USDT,GENERATED,23,147,736610,6d8d107d9c96f4fbc85e8db46b9d1ee456538a2ac0eb85cb562935afed902cca
CYBER-USDT,CYBER/USDT,GENERATED,0,27,329438,7e79d7c06412d1de90424a9e24ba0e2fae2a1c526d4f53451f07a3f5768d6f1a
DAG-USDT,DAG/USDT,GENERATED,175,528,2191191,7926875e37990e1407f16dc99eae5457f84eb8336cb11e227064e15f06612379
DAO-USDT,DAO/USDT,GENERATED,64,230,1538684,4c2d4bd5a5d985b2a2a502c28bc3eae7095a587ad69437e6e64916026d44f20f
DASH-USDT,DASH/USDT,GENERATED,138,489,1365434,b4ecbd1573dbe8fa66eea601ea0d74895670f80a7a97c2af1427041bdcd5b4f7
DCR-USDT,DCR/USDT,GENERATED,0,38,232366,ce4056343a1a0c8f3499ca85c30e2fd7022fb13ce4bc783eceafbcb85aa69aa8
DENT-USDT,DENT/USDT,GENERATED,4,51,422145,a31d4a56ab2d01f5b8ad13a7f018879839d545f89990d7c564ecea55179d9565
DEXE-USDT,DEXE/USDT,GENERATED,42,306,1048363,08bf0710237abaa2588312de40beba96ac5ad7487174c5887519fcc4095a24d9
DGB-USDT,DGB/USDT,GENERATED,99,406,1711280,3e739611e8c07206cc59d3b06640a7322a0d556f64926fab445ba5cdb7aff4e9
DIA-USDT,DIA/USDT,GENERATED,59,371,1234085,a0717a46a7ad341e795406d2586e45895ae771de217b9ec8e9b45660a369aed0
DMTR-USDT,DMTR/USDT,GENERATED,49,183,1103337,3dd5c1c1a6b8104929c613e61f99ecc760121736f2be645796cb62bb36f56023
DODO-USDT,DODO/USDT,GENERATED,66,252,1003859,8cb7c77e5f70d16db89dd025c95c0fd64606671d88de25c8168fe159932d20ff
DOGE-USDT,DOGE/USDT,GENERATED,133,431,1353718,d1ff46fff28cd664da61a11abc8207e1e1d2e3745acfd8d274157b98305591e7
DOT-USDT,DOT/USDT,GENERATED,128,447,1710262,5fc2185ba5ee45b81c127636efcce7508e49abbb9046c647cac71b0023c55ef9
DUSK-USDT,DUSK/USDT,GENERATED,101,335,863584,085f9e514cbb0211f31798f3d7f23aa05131397575c5578e13331b92938caf00
DYDX-USDT,DYDX/USDT,GENERATED,57,285,1122733,4de4279b6846c47af42df54bcd41c081457bea8f1113d2a657c9663204b54ed6
EDU-USDT,EDU/USDT,GENERATED,5,94,480199,154d6c6f8fc94b43d5416ff1018288e3cf1d6afdd0f9144d9001ebeb1772dd5e
EGLD-USDT,EGLD/USDT,GENERATED,73,194,878647,f56c9043dd4d852ebe1c01249bc55b61961f9f25f04366965fda2c4a193d7cef
ELON-USDT,ELON/USDT,GENERATED,45,165,901961,b86721de8dd3c9c2b843a09abe0b3f569b8dd960ed88e944f6be9780e8df64ed
ENJ-USDT,ENJ/USDT,GENERATED,49,210,1107462,55b6c734debd8bda7f5525b35d08fd865733fff341ea96b8a3612d196f645ca5
ENS-USDT,ENS/USDT,GENERATED,86,290,951405,a1f08833e55de39765537856e8a915c9e47c7fba1e16c79c959de830c0ecc718
ERG-USDT,ERG/USDT,GENERATED,28,121,1082390,4a8f782864478ad8b99eabe7694b254dab6a2562b7b43637564ff286baa31801
ETC-USDT,ETC/USDT,GENERATED,245,834,2490595,23e6d411bd82e57025fac058d0bee91e393ff8a3db1b76e74b208a596d87b072
ETH-USDT,ETH/USDT,GENERATED,459,1439,2215326,58bdac8b9d0f724bfabbed33f20bf9b5954f9cb9258f6d135e7c3622f431dc6e
ETHW-USDT,ETHW/USDT,GENERATED,34,189,787953,63bcd0cf5a5cd3a324e78dc86795fc584af9221e4add1c73ee36f1c13b79367f
EUL-USDT,EUL/USDT,GENERATED,0,217,492328,42398430691ad45bd8b5287828c004f203e33c1b931cd6907ccde3a3fb93d6af
EWT-USDT,EWT/USDT,GENERATED,72,269,1147163,c6676843a00c37696f14c1672282b7f673d6d05ee25d81d755b414b68f5f6924
FET-USDT,FET/USDT,GENERATED,94,257,603206,faf0dd782bc5dd23562d2d0c4131bf0666327c13ba5fe650e194e244e1796bc3
FIDA-USDT,FIDA/USDT,GENERATED,38,173,586642,9541c28b1ba693faa1ab9c17d6cefe03cef87f72b3673776476fcdc01e437a2a
FIL-USDT,FIL/USDT,GENERATED,70,289,1631422,a566db8f6ed46ca1a5e6f1ce450c887b0cf6a7273f59ad34fe3fcc7bf48fc791
FLIP-USDT,FLIP/USDT,GENERATED,0,1,348546,0cdcae914b52f30952150da6839ceb8278be7a501c92bf93fdfed81c3fd6e3b1
FLOKI-USDT,FLOKI/USDT,GENERATED,68,217,707707,f7c5140670b23bf28af982249f47d0fa152f31a20cea14a28df178d05f61bc27
FLOW-USDT,FLOW/USDT,GENERATED,33,177,972934,a0cd9fc8608c68fa8a446ac7ee1b17a2f2c1ed76729c09f7e0a32788b67b56fb
FLR-USDT,FLR/USDT,GENERATED,42,141,527229,b9c74378a32ad28d92e58cc8ba36e3c113a5fd5cabf65b5ffe8318022797ccc6
FLUX-USDT,FLUX/USDT,GENERATED,115,377,1179265,99806d46598b44ef954fe2c7a90ac88002b472dd47770126ceb936fb861c67bc
FORT-USDT,FORT/USDT,GENERATED,9,182,546803,48ea4affd9de79bc334b7f2df242ab7358359669d387dbdfec9e5f7155795389
FORTH-USDT,FORTH/USDT,GENERATED,15,246,1248303,07300b12b464d11fcd40720b1297e8685a5788db1b8dc6420b87b0e84f271c4c
FTT-USDT,FTT/USDT,GENERATED,36,90,915509,9bc76acfc30bcff9b0f5f3a8f486e7e4dbf083418dadac89e81e012c3f6b9550
GAFI-USDT,GAFI/USDT,GENERATED,29,100,881231,7cecd5ae07b60861c1297a5ae607bb9d57ba7cfa33125023e69daf0ea155d51b
GALAX-USDT,GALAX/USDT,GENERATED,67,225,1047702,4056824dd7d5a054facad8b79beae32540716d196085742184ea4fa3c116f87e
GAS-USDT,GAS/USDT,GENERATED,5,278,1307058,ce6cd94c52395eb52c17bac37fee62988fd7701133ba3c7673b099ca3a105978
GHX-USDT,GHX/USDT,GENERATED,43,160,1062118,ef8aba116078fb4769baae660a14504ddadeaacd4b9ce78cc5c92a44d5d47c25
GLM-USDT,GLM/USDT,GENERATED,4,246,718494,8d7ebe27c2057e01f1ed24625c102f6c8a52edaa261fef479bb5e9e1a15ea2fb
GLMR-USDT,GLMR/USDT,GENERATED,28,153,842288,b92a7f43b11cf61204fc5fc734c857179c7d5ec5ff527a071323fcc07c8e39c8
GLQ-USDT,GLQ/USDT,GENERATED,96,281,1107291,f0bd4b095574497c83b019632ed14aab0341bcaba6cb10923feb8ad7a1a4c987
GMEE-USDT,GMEE/USDT,GENERATED,22,114,1191032,97a87c6acc7b0d60d070b802bb29d66b2fb4c5d50a95caa2ac3f6baeb5c89a8d
GMT-USDT,GMT/USDT,GENERATED,28,162,755724,476019622f3d34290ccfd0140870d58a711f3e350bf68064e225f3c76ff6c333
GMX-USDT,GMX/USDT,GENERATED,39,173,761001,cc1c438a25c399cbc353131f4b1bffb28b579809d2a51cdbf62ee96ca1b8b0ca
GODS-USDT,GODS/USDT,GENERATED,14,129,783370,9384b6ecbf338180ccc308f8fb1d09c1006ceec54b9a38fa17bfe938809de782
