universe_id,ledger,rows,bytes,sha256
C2,source-candidates.parquet,2184,195263,090a9b9d1273ae8b0b0bdc7c1addb1ea28e01e808b99603e7087637979c6a66e
C2,v3-candidates.parquet,2184,500208,b7724f47ef6c41957c28b40b237831b5edc4596049f8e9e77e39b2aed60caf55
C2,v3-evaluated.parquet,2184,537885,58782307d4ab7f834cdee7894dbb0a41f64892b1cc3eba78562a709d8b352557
C2,v3-trades.parquet,1243,352313,26c8cdadd720a0626fd3190ea47d73b5d973dc1c490cf8d3aab4c4fa04037c61
D2,source-candidates.parquet,2158,192061,b170fa09771a350ef4f6f1b5a2448055951b33a3adfaf42cda1363ae08924956
D2,v3-candidates.parquet,2158,493597,3c056be0e58e56c8f6247068757d990c455d8a9f9e6cbe41df5a45689ef4d4fd
D2,v3-evaluated.parquet,2158,530735,49812365cddef41c1dcb653b23207709f5b8d05db39de202cd829e965e3621b4
D2,v3-trades.parquet,1228,347810,0985893550056f9aeff57aff6e42e43b2461b5a041d735a32dd7d06c61657c0b
E2,source-candidates.parquet,2210,199613,989f174565f89036a4d453060eb9cf650feadd918b0ff654873b4e825f71e2e0
E2,v3-candidates.parquet,2210,510142,fd00feb092b21e5a39b4260b9c181813a16f639997cb859bc3a0c274439b6122
E2,v3-evaluated.parquet,2210,548179,0364c04c9cc9a4a03d0a3ceb5c9b42205e92b913f3e56cf3bb1b557957e769a4
E2,v3-trades.parquet,1256,355106,2f5e73058a1cf348efe0f58aee3b9e37487799bb0064d808e44f6e05e24d9dc1
