affected_decisions,candidate_content_sha256,candidate_file_sha256,capacity_reduction_decisions,membership_rows,membership_sha256,omitted_pair,post_2024_accessed,replacement_decisions,schema_version,source_candidate_rows,universe_id,v3_candidate_rows
84,027987b249d38fbd6e1762ad6f6685bd8f19f84abff14d0a81272b0e71dfd47c,21cd50a577f4f095ce3908eb9315e6314e069ce1d76df0b20e5eda8547baf4ad,0,1806,cc320614dd38d2a482ff6804341ae95685bf0c3183da9e6d8948da32c60def6c,ADA-USDT,False,84,rd18-p3e-loao-candidate-metadata-v1,2182,C2,2182
29,ce5a9f18c49a34af6e72a25308483f078fc5de4560d0fdffc707da1962e333ac,ed216e9494f2d235d29b8977efe68e68db2263a38f77c150faa4784027c700c8,0,1806,fa796571bf725a110d23bc7dcab1173ba31da99d4f4d04b5207f332275bdbc2e,ATOM-USDT,False,29,rd18-p3e-loao-candidate-metadata-v1,2179,C2,2179
48,a2906212da7d7ff506d32a17a2854e25aefde51c79009ff5b05f75f26bcebbf0,bb0f4d1ecde59229209c957d1ea4478077516b5f9442acfc4b1e04180872a54e,0,1806,d1e1a8811654918c7e78070913661dba311d6cf56c28a14bacfcc6650e7e447f,AVAX-USDT,False,48,rd18-p3e-loao-candidate-metadata-v1,2190,C2,2190
68,1232b672f49f9f86c03b66380f6d10ea5e69b8ad4fe21145b7ef735836b35410,b7724f47ef6c41957c28b40b237831b5edc4596049f8e9e77e39b2aed60caf55,0,1806,cd12baba671e5bdabcec00768478abff7272d3ff1c9b7f613067f80eb77abbc3,BCHSV-USDT,False,68,rd18-p3e-loao-candidate-metadata-v1,2184,C2,2184
1,004fb982d4e6babcd857904f12e88247f6790fc1e7bb03c499e21de329a01850,34862fa52f51485a0635b6871f5d6b028bcadbb99197b82eaeb73b55e9b7db5d,0,1806,a9c985af5efa199cc9e4ce0a4964338cef7bb4ea4b6ba135a54a5b13b14f3f64,BNB-USDT,False,1,rd18-p3e-loao-candidate-metadata-v1,2183,C2,2183
301,edb89919349f4d355fd109d458ae55f2804447e845770770a443464cfa3cacb0,039d44f044cd86da38a21f4e52f1ba4c0849b387d3fca9d1e324950e7030a8e0,18,1788,494ec9224859e1c91b8b83629d53bd97159df563879748b7d6245c6a7fc8a5c7,BTC-USDT,False,283,rd18-p3e-loao-candidate-metadata-v1,2087,C2,2087
52,a6943c76de9d8547377acf3d7f548e41cb91d7593edf3ebed4202323212ea951,06d2e98080232b2272d6910825af456e20343b4dcae2e2fc42fa55b3de5e8dc5,0,1806,18d05899f302212cf2666a71ecbf10ad5535959e33b459d963bbfa60ed286ffb,DOGE-USDT,False,52,rd18-p3e-loao-candidate-metadata-v1,2216,C2,2216
20,748a3ef427e0f84e8c13c672f197b51b4ec0a3db2d0ae7e7de3a926ad2c7eedd,36c61798c9e8e9dce9dffab2237b408b8bf77e3e5d870d9a37d0056ecb7c86bb,0,1806,85986a6016550b7ca5e5c622e4914bfc62da5af245868be0f8d114a5be98665a,DOT-USDT,False,20,rd18-p3e-loao-candidate-metadata-v1,2182,C2,2182
301,9811b3e3bda5122343b0f1ff45b32178f19bc38d122ed78aa30c53791840ca58,aaafd19b8efcbf323911b9cf5ee443f9e62ed1712723bd0790d1633ac9c6dd8e,18,1788,4731b8d1fcd5f260815426d1aeeb0257bb433e9be9f6470af1225fbe27232e2b,ETH-USDT,False,283,rd18-p3e-loao-candidate-metadata-v1,2109,C2,2109
5,2c884b975e337f215b8944a8f44096624d394862ea42ed0df38ef1d14dc6a942,9688de6cc5dc437456ad6889fc3dab16b353d1a34b273052ee2120b19b76b3cf,0,1806,bbf07fe287cd446fe25bba13c262cfbb1d32b5cc6ec8ab087478a42aa4f6523a,ICP-USDT,False,5,rd18-p3e-loao-candidate-metadata-v1,2186,C2,2186
