variant_id,entry_family,cost_multiplier,candidate_rows,trade_rows,minimum_cash,maximum_positions_contract,next_bar_execution,spot_only,long_only,post_2024_accessed,performance_gate_evaluated
RD19_P2_V01,VOLATILITY_CONTRACTION_BREAKOUT,1.0,2,2,97101.34982380125,2,True,True,True,False,False
RD19_P2_V01,VOLATILITY_CONTRACTION_BREAKOUT,2.0,2,2,97098.45406937947,2,True,True,True,False,False
RD19_P2_V02,VOLATILITY_CONTRACTION_BREAKOUT,1.0,3,3,97101.34982380125,3,True,True,True,False,False
RD19_P2_V02,VOLATILITY_CONTRACTION_BREAKOUT,2.0,3,3,97098.45406937947,3,True,True,True,False,False
RD19_P2_V03,CONFIRMED_PULLBACK,1.0,3,3,96131.67596780765,3,True,True,True,False,False
RD19_P2_V03,CONFIRMED_PULLBACK,2.0,3,3,96127.81150823504,3,True,True,True,False,False
RD19_P2_V04,VOLATILITY_CONTRACTION_BREAKOUT,1.0,2,2,97101.39588007558,2,True,True,True,False,False
RD19_P2_V04,VOLATILITY_CONTRACTION_BREAKOUT,2.0,2,2,97098.50017166407,2,True,True,True,False,False
RD19_P2_V05,CONFIRMED_PULLBACK,1.0,3,3,96131.67596780765,3,True,True,True,False,False
RD19_P2_V05,CONFIRMED_PULLBACK,2.0,3,3,96127.81150823504,3,True,True,True,False,False
RD19_P2_V06,CONFIRMED_PULLBACK,1.0,2,2,96131.67596780765,2,True,True,True,False,False
RD19_P2_V06,CONFIRMED_PULLBACK,2.0,2,2,96127.81150823504,2,True,True,True,False,False
RD19_P2_V07,CONFIRMED_PULLBACK,1.0,2,2,96131.67596780765,2,True,True,True,False,False
RD19_P2_V07,CONFIRMED_PULLBACK,2.0,2,2,96127.81150823504,2,True,True,True,False,False
RD19_P2_V08,VOLATILITY_CONTRACTION_BREAKOUT,1.0,2,2,97101.34982380125,2,True,True,True,False,False
RD19_P2_V08,VOLATILITY_CONTRACTION_BREAKOUT,2.0,2,2,97098.45406937947,2,True,True,True,False,False
RD19_P2_V09,VOLATILITY_CONTRACTION_BREAKOUT,1.0,3,3,97101.3036772031,3,True,True,True,False,False
RD19_P2_V09,VOLATILITY_CONTRACTION_BREAKOUT,2.0,3,3,97098.40787668082,3,True,True,True,False,False
RD19_P2_V10,VOLATILITY_CONTRACTION_BREAKOUT,1.0,3,3,97101.34982380125,3,True,True,True,False,False
RD19_P2_V10,VOLATILITY_CONTRACTION_BREAKOUT,2.0,3,3,97098.45406937947,3,True,True,True,False,False
RD19_P2_V11,CONFIRMED_PULLBACK,1.0,3,3,96131.67596780765,3,True,True,True,False,False
RD19_P2_V11,CONFIRMED_PULLBACK,2.0,3,3,96127.81150823504,3,True,True,True,False,False
RD19_P2_V12,CONFIRMED_PULLBACK,1.0,2,2,96131.67596780765,2,True,True,True,False,False
RD19_P2_V12,CONFIRMED_PULLBACK,2.0,2,2,96127.81150823504,2,True,True,True,False,False
