check_id,passed,blocking
all_fixture_variants_nonempty,True,True
both_cost_multipliers_exercised,True,True
both_entry_families_exercised,True,True
fixture_candidate_ids_present,True,True
fixture_cash_nonnegative,True,True
fixture_long_only,True,True
fixture_next_bar_execution,True,True
fixture_spot_only,True,True
fixture_trade_ids_present,True,True
performance_reporting_absent,True,True
post_2024_access_absent,True,True
production_authorization_absent,True,True
real_feature_preflight_before_cutoff,True,True
real_feature_preflight_complete,True,True
real_historical_exit_simulation_absent,True,True
real_historical_strategy_replay_absent,True,True
real_sources_nonempty,True,True
variant_count_is_12,True,True
variant_ids_unique,True,True
